Ukazatel;Kraje;Pohlaví;Věk (roky);Dvouleté období (kraje);value
Naděje dožití (ex);Hlavní město Praha;muži;0;2001-2002;73.65891442
Naděje dožití (ex);Hlavní město Praha;muži;0;2002-2003;73.7089732
Naděje dožití (ex);Hlavní město Praha;muži;0;2003-2004;74.08318252
Naděje dožití (ex);Hlavní město Praha;muži;0;2004-2005;74.7064031
Naděje dožití (ex);Hlavní město Praha;muži;0;2005-2006;75.19585439
Naděje dožití (ex);Hlavní město Praha;muži;0;2006-2007;75.55386499
Naděje dožití (ex);Hlavní město Praha;muži;0;2007-2008;75.91012886
Naděje dožití (ex);Hlavní město Praha;muži;0;2008-2009;76.23922461
Naděje dožití (ex);Hlavní město Praha;muži;0;2009-2010;76.31085674
Naděje dožití (ex);Hlavní město Praha;muži;0;2010-2011;76.52131925
Naděje dožití (ex);Hlavní město Praha;muži;0;2011-2012;76.8793987
Naděje dožití (ex);Hlavní město Praha;muži;0;2012-2013;77.19957221
Naděje dožití (ex);Hlavní město Praha;muži;0;2013-2014;77.44352481
Naděje dožití (ex);Hlavní město Praha;muži;0;2014-2015;77.53391106
Naděje dožití (ex);Hlavní město Praha;muži;0;2015-2016;77.69105278
Naděje dožití (ex);Hlavní město Praha;muži;0;2016-2017;78.0601298
Naděje dožití (ex);Hlavní město Praha;muži;0;2017-2018;78.2540592061
Naděje dožití (ex);Hlavní město Praha;muži;0;2018-2019;78.374001802
Naděje dožití (ex);Hlavní město Praha;muži;0;2019-2020;78.1557050008
Naděje dožití (ex);Hlavní město Praha;muži;0;2020-2021;77.0854793992
Naděje dožití (ex);Hlavní město Praha;muži;0;2021-2022;77.1106172989
Naděje dožití (ex);Hlavní město Praha;muži;0;2022-2023;78.20069236
Naděje dožití (ex);Hlavní město Praha;muži;1;2001-2002;72.96289008
Naděje dožití (ex);Hlavní město Praha;muži;1;2002-2003;72.9656407
Naděje dožití (ex);Hlavní město Praha;muži;1;2003-2004;73.31545436
Naděje dožití (ex);Hlavní město Praha;muži;1;2004-2005;73.93117169
Naděje dožití (ex);Hlavní město Praha;muži;1;2005-2006;74.43169017
Naděje dožití (ex);Hlavní město Praha;muži;1;2006-2007;74.77786604
Naděje dožití (ex);Hlavní město Praha;muži;1;2007-2008;75.05468862
Naděje dožití (ex);Hlavní město Praha;muži;1;2008-2009;75.37560252
Naděje dožití (ex);Hlavní město Praha;muži;1;2009-2010;75.49409
Naděje dožití (ex);Hlavní město Praha;muži;1;2010-2011;75.7104095
Naděje dožití (ex);Hlavní město Praha;muži;1;2011-2012;76.04744859
Naděje dožití (ex);Hlavní město Praha;muži;1;2012-2013;76.33859574
Naděje dožití (ex);Hlavní město Praha;muži;1;2013-2014;76.55510411
Naděje dožití (ex);Hlavní město Praha;muži;1;2014-2015;76.67380879
Naděje dožití (ex);Hlavní město Praha;muži;1;2015-2016;76.8539948
Naděje dožití (ex);Hlavní město Praha;muži;1;2016-2017;77.19192592
Naděje dožití (ex);Hlavní město Praha;muži;1;2017-2018;77.4036953534
Naděje dožití (ex);Hlavní město Praha;muži;1;2018-2019;77.5288737753
Naděje dožití (ex);Hlavní město Praha;muži;1;2019-2020;77.2992976941
Naděje dožití (ex);Hlavní město Praha;muži;1;2020-2021;76.2367011379
Naděje dožití (ex);Hlavní město Praha;muži;1;2021-2022;76.2375041927
Naděje dožití (ex);Hlavní město Praha;muži;1;2022-2023;77.31862043
Naděje dožití (ex);Hlavní město Praha;muži;2;2001-2002;72.03121431
Naděje dožití (ex);Hlavní město Praha;muži;2;2002-2003;72.01739717
Naděje dožití (ex);Hlavní město Praha;muži;2;2003-2004;72.38220495
Naděje dožití (ex);Hlavní město Praha;muži;2;2004-2005;72.99111123
Naděje dožití (ex);Hlavní město Praha;muži;2;2005-2006;73.44311136
Naděje dožití (ex);Hlavní město Praha;muži;2;2006-2007;73.79726878
Naděje dožití (ex);Hlavní město Praha;muži;2;2007-2008;74.08898239
Naděje dožití (ex);Hlavní město Praha;muži;2;2008-2009;74.40477743
Naděje dožití (ex);Hlavní město Praha;muži;2;2009-2010;74.50373564
Naděje dožití (ex);Hlavní město Praha;muži;2;2010-2011;74.72185633
Naděje dožití (ex);Hlavní město Praha;muži;2;2011-2012;75.06573514
Naděje dožití (ex);Hlavní město Praha;muži;2;2012-2013;75.36731156
Naděje dožití (ex);Hlavní město Praha;muži;2;2013-2014;75.59192846
Naděje dožití (ex);Hlavní město Praha;muži;2;2014-2015;75.71402599
Naděje dožití (ex);Hlavní město Praha;muži;2;2015-2016;75.89965011
Naděje dožití (ex);Hlavní město Praha;muži;2;2016-2017;76.22136936
Naděje dožití (ex);Hlavní město Praha;muži;2;2017-2018;76.4167200062
Naděje dožití (ex);Hlavní město Praha;muži;2;2018-2019;76.5430736868
Naděje dožití (ex);Hlavní město Praha;muži;2;2019-2020;76.305342424
Naděje dožití (ex);Hlavní město Praha;muži;2;2020-2021;75.2374970945
Naděje dožití (ex);Hlavní město Praha;muži;2;2021-2022;75.2477826249
Naděje dožití (ex);Hlavní město Praha;muži;2;2022-2023;76.36324015
Naděje dožití (ex);Hlavní město Praha;muži;3;2001-2002;71.05298598
Naděje dožití (ex);Hlavní město Praha;muži;3;2002-2003;71.03403094
Naděje dožití (ex);Hlavní město Praha;muži;3;2003-2004;71.4074264
Naděje dožití (ex);Hlavní město Praha;muži;3;2004-2005;72.01385022
Naděje dožití (ex);Hlavní město Praha;muži;3;2005-2006;72.45004952
Naděje dožití (ex);Hlavní město Praha;muži;3;2006-2007;72.81010789
Naděje dožití (ex);Hlavní město Praha;muži;3;2007-2008;73.10596413
Naděje dožití (ex);Hlavní město Praha;muži;3;2008-2009;73.41590568
Naděje dožití (ex);Hlavní město Praha;muži;3;2009-2010;73.50859678
Naděje dožití (ex);Hlavní město Praha;muži;3;2010-2011;73.73108275
Naděje dožití (ex);Hlavní město Praha;muži;3;2011-2012;74.07639849
Naděje dožití (ex);Hlavní město Praha;muži;3;2012-2013;74.37513336
Naděje dožití (ex);Hlavní město Praha;muži;3;2013-2014;74.60710201
Naděje dožití (ex);Hlavní město Praha;muži;3;2014-2015;74.72944218
Naděje dožití (ex);Hlavní město Praha;muži;3;2015-2016;74.9170794
Naděje dožití (ex);Hlavní město Praha;muži;3;2016-2017;75.23299426
Naděje dožití (ex);Hlavní město Praha;muži;3;2017-2018;75.425354157
Naděje dožití (ex);Hlavní město Praha;muži;3;2018-2019;75.5542178289
Naděje dožití (ex);Hlavní město Praha;muži;3;2019-2020;75.310476872
Naděje dožití (ex);Hlavní město Praha;muži;3;2020-2021;74.2386000049
Naděje dožití (ex);Hlavní město Praha;muži;3;2021-2022;74.2591486768
Naděje dožití (ex);Hlavní město Praha;muži;3;2022-2023;75.38660917
Naděje dožití (ex);Hlavní město Praha;muži;4;2001-2002;70.06293325
Naděje dožití (ex);Hlavní město Praha;muži;4;2002-2003;70.04226411
Naděje dožití (ex);Hlavní město Praha;muži;4;2003-2004;70.41926921
Naděje dožití (ex);Hlavní město Praha;muži;4;2004-2005;71.02466334
Naděje dožití (ex);Hlavní město Praha;muži;4;2005-2006;71.46033434
Naděje dožití (ex);Hlavní město Praha;muži;4;2006-2007;71.82612615
Naděje dožití (ex);Hlavní město Praha;muži;4;2007-2008;72.11760171
Naděje dožití (ex);Hlavní město Praha;muži;4;2008-2009;72.42245788
Naděje dožití (ex);Hlavní město Praha;muži;4;2009-2010;72.51426529
Naděje dožití (ex);Hlavní město Praha;muži;4;2010-2011;72.74606997
Naděje dožití (ex);Hlavní město Praha;muži;4;2011-2012;73.08731918
Naděje dožití (ex);Hlavní město Praha;muži;4;2012-2013;73.3781325
Naděje dožití (ex);Hlavní město Praha;muži;4;2013-2014;73.61470151
Naděje dožití (ex);Hlavní město Praha;muži;4;2014-2015;73.73750311
Naděje dožití (ex);Hlavní město Praha;muži;4;2015-2016;73.92592576
Naděje dožití (ex);Hlavní město Praha;muži;4;2016-2017;74.24023189
Naděje dožití (ex);Hlavní město Praha;muži;4;2017-2018;74.4361111326
