Rok sčítání,Ukazatel,Území,Energie používaná k vytápění,value
2021,Počet  obydlených bytů,Jihomoravský kraj,Elektřina,42575
2021,Počet  obydlených bytů,Jihomoravský kraj,"Dřevo, dřevěné pelety",31680
2021,Počet  obydlených bytů,Olomoucký kraj,Obydlené byty celkem,259885
2021,Počet  obydlených bytů,Olomoucký kraj,Energie z kotelny mimo dům,71235
2021,Počet  obydlených bytů,Olomoucký kraj,"Uhlí, koks, uhelné brikety",10024
2021,Počet  obydlených bytů,Olomoucký kraj,Plyn,107010
2021,Počet  obydlených bytů,Olomoucký kraj,Elektřina,19651
2021,Počet  obydlených bytů,Olomoucký kraj,"Dřevo, dřevěné pelety",31381
2021,Počet  obydlených bytů,Zlínský kraj,Obydlené byty celkem,226219
2021,Počet  obydlených bytů,Zlínský kraj,Energie z kotelny mimo dům,57264
2021,Počet  obydlených bytů,Zlínský kraj,"Uhlí, koks, uhelné brikety",5053
2021,Počet  obydlených bytů,Zlínský kraj,Plyn,96720
2021,Počet  obydlených bytů,Zlínský kraj,Elektřina,16109
2021,Počet  obydlených bytů,Zlínský kraj,"Dřevo, dřevěné pelety",33626
2021,Počet  obydlených bytů,Moravskoslezský kraj,Obydlené byty celkem,503041
2021,Počet  obydlených bytů,Moravskoslezský kraj,Energie z kotelny mimo dům,240609
2021,Počet  obydlených bytů,Moravskoslezský kraj,"Uhlí, koks, uhelné brikety",27118
2021,Počet  obydlených bytů,Moravskoslezský kraj,Plyn,142445
2021,Počet  obydlených bytů,Moravskoslezský kraj,Elektřina,25018
2021,Počet  obydlených bytů,Moravskoslezský kraj,"Dřevo, dřevěné pelety",32633
