Ukazatel;Roky;ČR, kraje;Věk nevěsty (pětileté skupiny);value
Sňatky;2023;Královéhradecký kraj;65 a více;51
Sňatky;2023;Pardubický kraj;Celkem;2231
Sňatky;2023;Pardubický kraj;16 - 19;17
Sňatky;2023;Pardubický kraj;20 - 24;232
Sňatky;2023;Pardubický kraj;25 - 29;671
Sňatky;2023;Pardubický kraj;30 - 34;515
Sňatky;2023;Pardubický kraj;35 - 39;259
Sňatky;2023;Pardubický kraj;40 - 44;165
Sňatky;2023;Pardubický kraj;45 - 49;129
Sňatky;2023;Pardubický kraj;50 - 54;109
Sňatky;2023;Pardubický kraj;55 - 59;68
Sňatky;2023;Pardubický kraj;60 - 64;28
Sňatky;2023;Pardubický kraj;65 a více;38
Sňatky;2023;Kraj Vysočina;Celkem;2184
Sňatky;2023;Kraj Vysočina;16 - 19;16
Sňatky;2023;Kraj Vysočina;20 - 24;275
Sňatky;2023;Kraj Vysočina;25 - 29;701
Sňatky;2023;Kraj Vysočina;30 - 34;472
Sňatky;2023;Kraj Vysočina;35 - 39;235
Sňatky;2023;Kraj Vysočina;40 - 44;157
Sňatky;2023;Kraj Vysočina;45 - 49;124
Sňatky;2023;Kraj Vysočina;50 - 54;99
Sňatky;2023;Kraj Vysočina;55 - 59;49
Sňatky;2023;Kraj Vysočina;60 - 64;33
Sňatky;2023;Kraj Vysočina;65 a více;23
Sňatky;2023;Jihomoravský kraj;Celkem;5578
Sňatky;2023;Jihomoravský kraj;16 - 19;28
Sňatky;2023;Jihomoravský kraj;20 - 24;528
Sňatky;2023;Jihomoravský kraj;25 - 29;1558
Sňatky;2023;Jihomoravský kraj;30 - 34;1430
Sňatky;2023;Jihomoravský kraj;35 - 39;734
Sňatky;2023;Jihomoravský kraj;40 - 44;418
Sňatky;2023;Jihomoravský kraj;45 - 49;328
Sňatky;2023;Jihomoravský kraj;50 - 54;257
Sňatky;2023;Jihomoravský kraj;55 - 59;140
Sňatky;2023;Jihomoravský kraj;60 - 64;78
Sňatky;2023;Jihomoravský kraj;65 a více;79
Sňatky;2023;Olomoucký kraj;Celkem;2774
Sňatky;2023;Olomoucký kraj;16 - 19;17
Sňatky;2023;Olomoucký kraj;20 - 24;308
Sňatky;2023;Olomoucký kraj;25 - 29;758
Sňatky;2023;Olomoucký kraj;30 - 34;608
Sňatky;2023;Olomoucký kraj;35 - 39;347
Sňatky;2023;Olomoucký kraj;40 - 44;234
Sňatky;2023;Olomoucký kraj;45 - 49;189
Sňatky;2023;Olomoucký kraj;50 - 54;138
Sňatky;2023;Olomoucký kraj;55 - 59;82
Sňatky;2023;Olomoucký kraj;60 - 64;54
Sňatky;2023;Olomoucký kraj;65 a více;39
Sňatky;2023;Zlínský kraj;Celkem;2423
Sňatky;2023;Zlínský kraj;16 - 19;12
Sňatky;2023;Zlínský kraj;20 - 24;266
Sňatky;2023;Zlínský kraj;25 - 29;768
Sňatky;2023;Zlínský kraj;30 - 34;546
Sňatky;2023;Zlínský kraj;35 - 39;304
Sňatky;2023;Zlínský kraj;40 - 44;166
Sňatky;2023;Zlínský kraj;45 - 49;145
Sňatky;2023;Zlínský kraj;50 - 54;90
Sňatky;2023;Zlínský kraj;55 - 59;61
Sňatky;2023;Zlínský kraj;60 - 64;36
Sňatky;2023;Zlínský kraj;65 a více;29
Sňatky;2023;Moravskoslezský kraj;Celkem;5494
Sňatky;2023;Moravskoslezský kraj;16 - 19;37
Sňatky;2023;Moravskoslezský kraj;20 - 24;514
Sňatky;2023;Moravskoslezský kraj;25 - 29;1450
Sňatky;2023;Moravskoslezský kraj;30 - 34;1195
Sňatky;2023;Moravskoslezský kraj;35 - 39;702
Sňatky;2023;Moravskoslezský kraj;40 - 44;476
Sňatky;2023;Moravskoslezský kraj;45 - 49;406
Sňatky;2023;Moravskoslezský kraj;50 - 54;327
Sňatky;2023;Moravskoslezský kraj;55 - 59;196
Sňatky;2023;Moravskoslezský kraj;60 - 64;95
Sňatky;2023;Moravskoslezský kraj;65 a více;96
