ČR a kraje,Ukazatel,Pohlaví,Čtvrtletí,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2015,Celkem,4987.14147309
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2015,"Zaměstnanci, členové produkčních družstev",4115.97535436
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2015,Zaměstnavatelé,178.1853504
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2015,Osoby pracující na vlastní účet,663.996579
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2015,Pomáhající rodinní příslušníci,28.9841893300001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2015,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2014,Celkem,5017.05061218
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2014,"Zaměstnanci, členové produkčních družstev",4118.04040734
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2014,Zaměstnavatelé,176.41857871
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2014,Osoby pracující na vlastní účet,693.10661586
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2014,Pomáhající rodinní příslušníci,29.4850102700001
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2014,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2014,Celkem,4994.94717319
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2014,"Zaměstnanci, členové produkčních družstev",4104.91845171
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2014,Zaměstnavatelé,171.32455399
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2014,Osoby pracující na vlastní účet,691.59540895
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2014,Pomáhající rodinní příslušníci,27.1087585400001
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2014,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2014,Celkem,4962.21893099
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2014,"Zaměstnanci, členové produkčních družstev",4064.08245979
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2014,Zaměstnavatelé,167.21414334
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2014,Osoby pracující na vlastní účet,700.42044282
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2014,Pomáhající rodinní příslušníci,30.5018850400001
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2014,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2014,Celkem,4922.96298111
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2014,"Zaměstnanci, členové produkčních družstev",4030.01322304
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2014,Zaměstnavatelé,172.95019803
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2014,Osoby pracující na vlastní účet,689.0518972
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2014,Pomáhající rodinní příslušníci,30.9476628400001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2014,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2013,Celkem,4957.7129322
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2013,"Zaměstnanci, členové produkčních družstev",4067.29613025
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2013,Zaměstnavatelé,170.13662022
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2013,Osoby pracující na vlastní účet,680.95586543
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2013,Pomáhající rodinní příslušníci,39.3243163000001
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2013,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2013,Celkem,4953.60648867
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2013,"Zaměstnanci, členové produkčních družstev",4064.24597639
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2013,Zaměstnavatelé,166.31498412
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2013,Osoby pracující na vlastní účet,673.69895157
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2013,Pomáhající rodinní příslušníci,49.3465765900001
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2013,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2013,Celkem,4952.99077765
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2013,"Zaměstnanci, členové produkčních družstev",4074.02205471
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2013,Zaměstnavatelé,164.83084387
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2013,Osoby pracující na vlastní účet,662.73933639
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2013,Pomáhající rodinní příslušníci,51.3985426800001
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2013,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2013,Celkem,4884.02486713
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2013,"Zaměstnanci, členové produkčních družstev",4015.15736004
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2013,Zaměstnavatelé,162.78235917
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2013,Osoby pracující na vlastní účet,659.15071363
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2013,Pomáhající rodinní příslušníci,46.9344342900001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2013,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2012,Celkem,4916.63523018
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2012,"Zaměstnanci, členové produkčních družstev",4014.21975479
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2012,Zaměstnavatelé,159.74481959
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2012,Osoby pracující na vlastní účet,692.93752923
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2012,Pomáhající rodinní příslušníci,49.7331265700001
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2012,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2012,Celkem,4920.55064155
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2012,"Zaměstnanci, členové produkčních družstev",4026.70049823
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2012,Zaměstnavatelé,165.03131494
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2012,Osoby pracující na vlastní účet,706.4176192
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2012,Pomáhající rodinní příslušníci,22.4012091800001
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2012,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2012,Celkem,4888.13419183
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2012,"Zaměstnanci, členové produkčních družstev",3980.1535526
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2012,Zaměstnavatelé,168.32569691
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2012,Osoby pracující na vlastní účet,719.17017155
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2012,Pomáhající rodinní příslušníci,20.4847707700001
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2012,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2012,Celkem,4834.89315485
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2012,"Zaměstnanci, členové produkčních družstev",3937.02490644
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2012,Zaměstnavatelé,169.29688588
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2012,Osoby pracující na vlastní účet,708.68940155
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2012,Pomáhající rodinní příslušníci,19.8819609800001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2012,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2011,Celkem,4885.49482835
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2011,"Zaměstnanci, členové produkčních družstev",4015.96322524
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2011,Zaměstnavatelé,175.54342216
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2011,Osoby pracující na vlastní účet,698.78813315
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2011,Pomáhající rodinní příslušníci,25.1645843700001
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2011,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2011,Celkem,4927.91482313
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2011,"Zaměstnanci, členové produkčních družstev",4042.6412756
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2011,Zaměstnavatelé,174.01785596
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2011,Osoby pracující na vlastní účet,685.62562677
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2011,Pomáhající rodinní příslušníci,25.6300648000001
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2011,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2011,Celkem,4908.3698475648
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2011,"Zaměstnanci, členové produkčních družstev",4034.2947751908
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2011,Zaměstnavatelé,178.5923663595
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2011,Osoby pracující na vlastní účet,669.2896638395
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2011,Pomáhající rodinní příslušníci,26.1930421750001
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2011,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2011,Celkem,4864.3745203758
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2011,"Zaměstnanci, členové produkčních družstev",3989.0451885198
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2011,Zaměstnavatelé,176.3971296486
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2011,Osoby pracující na vlastní účet,672.4968941436
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2011,Pomáhající rodinní příslušníci,26.4353080638001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2011,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2010,Celkem,4918.7738635116
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2010,"Zaměstnanci, členové produkčních družstev",4035.8056329154
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2010,Zaměstnavatelé,181.0772432356
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2010,Osoby pracující na vlastní účet,672.7383657245
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2010,Pomáhající rodinní příslušníci,28.9852549701001
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2010,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2010,Celkem,4912.0649768263
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2010,"Zaměstnanci, členové produkčních družstev",4035.4307695679
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2010,Zaměstnavatelé,176.587582881
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2010,Osoby pracující na vlastní účet,668.7035213369
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2010,Pomáhající rodinní příslušníci,31.1858842905001
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2010,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2010,Celkem,4880.946948463
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2010,"Zaměstnanci, členové produkčních družstev",4013.2471718511
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2010,Zaměstnavatelé,178.2221342366
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2010,Osoby pracující na vlastní účet,659.3885050285
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2010,Pomáhající rodinní příslušníci,29.9525968068001
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2010,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2010,Celkem,4829.1717654792
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2010,"Zaměstnanci, členové produkčních družstev",3992.4507349078
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2010,Zaměstnavatelé,176.4275223894
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2010,Osoby pracující na vlastní účet,632.4760659182
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2010,Pomáhající rodinní příslušníci,27.8174422638001
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2010,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2009,Celkem,4927.29652633889
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2009,"Zaměstnanci, členové produkčních družstev",4096.29623565807
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2009,Zaměstnavatelé,181.8839057959
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2009,Osoby pracující na vlastní účet,621.4198328846
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2009,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2009,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2009,Celkem,4921.66877179277
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2009,"Zaměstnanci, členové produkčních družstev",4089.1281420387
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2009,Zaměstnavatelé,183.920529436
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2009,Osoby pracující na vlastní účet,619.648550143
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2009,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2009,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2009,Celkem,4941.29450457996
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2009,"Zaměstnanci, členové produkčních družstev",4118.59451156674
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2009,Zaměstnavatelé,183.2107355591
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2009,Osoby pracující na vlastní účet,611.4128688504
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2009,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2009,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2009,Celkem,4946.81228254092
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2009,"Zaměstnanci, členové produkčních družstev",4123.82043343498
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2009,Zaměstnavatelé,185.3463616306
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2009,Osoby pracující na vlastní účet,604.449174141
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2009,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2009,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2008,Celkem,5033.49369805368
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2008,"Zaměstnanci, členové produkčních družstev",4220.44282310755
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2008,Zaměstnavatelé,186.1439099365
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2008,Osoby pracující na vlastní účet,591.5134658256
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2008,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2008,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2008,Celkem,5014.80548959033
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2008,"Zaměstnanci, členové produkčních družstev",4206.64659658053
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2008,Zaměstnavatelé,180.1317804457
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2008,Osoby pracující na vlastní účet,594.818022869896
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2008,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2008,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2008,Celkem,5003.30001975618
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2008,"Zaměstnanci, členové produkčních družstev",4195.22995353005
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2008,Zaměstnavatelé,176.9053196244
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2008,Osoby pracující na vlastní účet,601.008508984099
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2008,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2008,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2008,Celkem,4958.38980344212
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2008,"Zaměstnanci, členové produkčních družstev",4161.13233041013
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2008,Zaměstnavatelé,171.5557029613
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2008,Osoby pracující na vlastní účet,597.96822283
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2008,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2008,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2007,Celkem,4967.20417738968
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2007,"Zaměstnanci, členové produkčních družstev",4155.12535504035
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2007,Zaměstnavatelé,173.1890083804
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2007,Osoby pracující na vlastní účet,597.1305376457
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2007,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2007,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2007,Celkem,4941.88523239589
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2007,"Zaměstnanci, členové produkčních družstev",4121.76622645708
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2007,Zaměstnavatelé,180.8246364026
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2007,Osoby pracující na vlastní účet,595.8155510995
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2007,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2007,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2007,Celkem,4913.90087751282
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2007,"Zaměstnanci, členové produkčních družstev",4104.35044115159
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2007,Zaměstnavatelé,186.0451298767
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2007,Osoby pracující na vlastní účet,578.0464290553
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2007,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2007,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2007,Celkem,4864.98056190665
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2007,"Zaměstnanci, členové produkčních družstev",4063.38267438519
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2007,Zaměstnavatelé,195.9845093419
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2007,Osoby pracující na vlastní účet,558.0670666205
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2007,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2007,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2006,Celkem,4861.68459037189
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2006,"Zaměstnanci, členové produkčních družstev",4057.6936000657
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2006,Zaměstnavatelé,203.4566084862
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2006,Osoby pracující na vlastní účet,552.2432085774
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2006,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2006,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2006,Celkem,4839.43929031293
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2006,"Zaměstnanci, členové produkčních družstev",4034.61628415261
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2006,Zaměstnavatelé,203.5286597165
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2006,Osoby pracující na vlastní účet,553.075334037
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2006,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2006,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2006,Celkem,4825.94600303278
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2006,"Zaměstnanci, členové produkčních družstev",4028.80083531279
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2006,Zaměstnavatelé,195.4515585919
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2006,Osoby pracující na vlastní účet,551.5609669744
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2006,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2006,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2006,Celkem,4785.18992489848
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2006,"Zaměstnanci, členové produkčních družstev",4006.88006024019
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2006,Zaměstnavatelé,181.0583592899
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2006,Osoby pracující na vlastní účet,546.338568561
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2006,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2006,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2005,Celkem,4803.69136221162
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2005,"Zaměstnanci, členové produkčních družstev",4026.40753275459
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2005,Zaměstnavatelé,176.7310785425
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2005,Osoby pracující na vlastní účet,547.8291901058
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2005,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2005,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2005,Celkem,4797.22171270252
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2005,"Zaměstnanci, členové produkčních družstev",4020.33184748098
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2005,Zaměstnavatelé,174.1861103031
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2005,Osoby pracující na vlastní účet,549.019031905
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2005,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2005,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2005,Celkem,4750.69940516277
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2005,"Zaměstnanci, členové produkčních družstev",3957.8477390845
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2005,Zaměstnavatelé,179.4255030379
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2005,Osoby pracující na vlastní účet,552.7377666262
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2005,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2005,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2005,Celkem,4704.4506755996
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2005,"Zaměstnanci, členové produkčních družstev",3913.4812235271
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2005,Zaměstnavatelé,178.2258704161
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2005,Osoby pracující na vlastní účet,554.6803499176
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2005,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2005,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2004,Celkem,4732.66189061388
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2004,"Zaměstnanci, členové produkčních družstev",3929.3345592797
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2004,Zaměstnavatelé,187.265465392
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2004,Osoby pracující na vlastní účet,559.7957027248
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2004,Pomáhající rodinní příslušníci,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2004,Nezjištěno,
