ČR a kraje,Ukazatel,Pohlaví,Čtvrtletí,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2023,"Zaměstnanci, členové produkčních družstev",4226.681766665
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2023,Zaměstnavatelé,123.59394686
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2023,Osoby pracující na vlastní účet,703.003596302
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2023,Pomáhající rodinní příslušníci,8.524716698
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2023,Nezjištěno,2.111339304
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2023,Celkem,5012.11054386
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2023,"Zaměstnanci, členové produkčních družstev",4196.59066797
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2023,Zaměstnavatelé,120.77030576
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2023,Osoby pracující na vlastní účet,681.94541821
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2023,Pomáhající rodinní příslušníci,10.2429399
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2023,Nezjištěno,2.56121202
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2022,Celkem,5194.35306103
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2022,"Zaměstnanci, členové produkčních družstev",4356.79061852
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2022,Zaměstnavatelé,123.48952229
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2022,Osoby pracující na vlastní účet,691.7814077
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2022,Pomáhající rodinní příslušníci,22.29151252
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2022,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2022,Celkem,5187.6263345
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2022,"Zaměstnanci, členové produkčních družstev",4357.28009916
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2022,Zaměstnavatelé,130.24931861
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2022,Osoby pracující na vlastní účet,675.50321017
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2022,Pomáhající rodinní příslušníci,24.59370656
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2022,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2022,Celkem,5160.1734787
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2022,"Zaměstnanci, členové produkčních družstev",4336.1594385
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2022,Zaměstnavatelé,130.358864
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2022,Osoby pracující na vlastní účet,668.3432286
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2022,Pomáhající rodinní příslušníci,25.3119476
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2022,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2022,Celkem,5140.69568
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2022,"Zaměstnanci, členové produkčních družstev",4329.6875639
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2022,Zaměstnavatelé,128.6517846
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2022,Osoby pracující na vlastní účet,657.4399494
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2022,Pomáhající rodinní příslušníci,24.9163821
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2022,Nezjištěno,0.0
