Odvětví CZ-NACE,Území,Ukazatel,Roky,value
G Obchod,Česko,Počet aktivních podniků,2005,205087.0
G Obchod,Česko,Počet aktivních podniků,2006,202074.0
G Obchod,Česko,Počet aktivních podniků,2007,204167.0
G Obchod,Česko,Počet aktivních podniků,2008,212578.0
G Obchod,Česko,Počet aktivních podniků,2009,222781.0
G Obchod,Česko,Počet aktivních podniků,2010,231934.0
G Obchod,Česko,Počet aktivních podniků,2011,245411.0
G Obchod,Česko,Počet aktivních podniků,2012,248104.0
G Obchod,Česko,Počet aktivních podniků,2013,244747.0
G Obchod,Česko,Počet aktivních podniků,2014,242804.0
G Obchod,Česko,Počet aktivních podniků,2015,241572.0
G Obchod,Česko,Počet aktivních podniků,2016,231411.0
G Obchod,Česko,Počet aktivních podniků,2017,227908.0
G Obchod,Česko,Počet aktivních podniků,2018,225257.0
G Obchod,Česko,Počet aktivních podniků,2019,225467.0
G Obchod,Česko,Počet aktivních podniků,2020,224561.0
G Obchod,Česko,Počet aktivních podniků,2021,226918.0
G Obchod,Česko,Počet aktivních podniků,2022,225177.0
G Obchod,Česko,Počet aktivních podniků,2023,223508.0
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2005,663866.875332471
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2006,652128.91059495
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2007,663175.67810706
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2008,685747.011217611
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2009,684428.403825309
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2010,684388.863552682
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2011,700534.483379674
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2012,710874.046224374
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2013,706681.754294452
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2014,705210.673540523
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2015,708842.522466905
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2016,699659.476964863
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2017,706914.09168493
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2018,714820.63490511
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2019,720995.520131706
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2020,726938.867368111
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2021,743391.157948068
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2022,746590.660953209
G Obchod,Česko,Počet zaměstnaných osob celkem ve fyzických osobách,2023,740513.4811282973
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2005,487827.088291681
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2006,494586.79600542
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2007,507049.68603766
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2008,521813.28260265
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2009,512810.168599504
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2010,503217.856016133
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2011,504376.806224329
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2012,508306.466035987
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2013,504926.476071652
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2014,500594.629357314
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2015,503250.882019597
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2016,503509.687931238
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2017,510773.043895948
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2018,521975.931911974
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2019,525733.788496243
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2020,522409.007481094
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2021,526813.136256934
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2022,532164.167896719
G Obchod,Česko,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2023,525412.2259287465
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2005,16421.0593456087
