Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Čtvrtletí;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2007;110.7845901543
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2007;113.7011429297
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2006;108.2116732717
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2006;107.1413154597
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2006;106.4950335424
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2006;111.5917134035
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2005;105.2873472617
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2005;104.2850622324
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2005;104.2365325367
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2005;101.5911812606
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2004;108.9921294577
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2004;108.2410888514
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2004;113.3782190812
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2004;111.2321499516
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2003;102.8586398391
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2003;104.8394572486
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2003;103.0170275688
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2003;103.9671595683
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2002;104.7720206405
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2002;104.5465341297
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2002;100.491496066
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2002;98.3791133196
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2001;103.5528450312
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2001;104.9411685456
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2001;109.8667119865
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2001;111.9885465431
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2025;96.2345090659
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2024;98.448096453
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2024;91.4632789708
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2024;97.13727449
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2024;84.1462673212
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2023;81.1438092422
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2023;83.6310665166
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2023;79.6688720273
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2023;88.1049804867
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2022;99.6653695592
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2022;105.4032831962
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2022;100.6395705691
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2022;99.2968935245
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2021;101.3184694088
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2021;117.3129749319
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2021;111.8344408148
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2021;103.0435254589
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2020;88.3602403547
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2020;72.3727848128
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2020;76.5140664325
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2020;88.6754861695
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2019;91.4515208805
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2019;94.9824287064
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2019;93.4018219298
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2019;94.8997114285
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2018;98.3009086835
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2018;101.6974454318
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2018;105.1276421427
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2018;92.79371045
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2017;101.6435562105
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2017;96.2172059993
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2017;94.4459085549
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2017;99.39353111
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2016;90.5976666109
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2016;92.3534467883
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2016;92.1731188766
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2016;99.0614129418
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2015;98.2567011309
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2015;102.7623645607
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2015;95.3250908397
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2015;93.4085923095
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2014;96.6448759549
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2014;93.2277015128
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2014;99.0655993927
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2014;99.3755757489
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2013;97.5524295055
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2013;88.666081147
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2013;78.8408544915
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2013;90.9251683993
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2012;93.440548427
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2012;94.5829666177
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2012;99.7174795356
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2012;95.0000992873
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2011;91.4396708459
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2011;103.1093773872
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2011;110.1895622862
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2011;101.3849762047
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2010;105.4276793438
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2010;103.5449554464
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2010;101.6985193619
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2010;87.2948909032
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2009;102.9823058462
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2009;95.4727530793
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2009;94.4168579039
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2009;102.9047596838
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2008;94.5193150446
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2008;92.5173882637
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2008;99.8068113285
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2008;101.6610986999
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2007;98.1343354607
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2007;98.4647034329
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2007;98.9252848054
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2007;99.98345029
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2006;101.5980940136
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2006;112.5240211691
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2006;90.4104040837
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2006;97.3928573079
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2005;99.8743275532
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2005;89.2379091762
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2005;101.506067089
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2005;96.1677050519
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2004;92.7589184731
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2004;100.3750965277
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2004;103.2132865163
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2004;96.2015424085
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2003;99.4116944954
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2003;98.7508827932
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2003;102.2049256724
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2003;97.4357239558
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2002;104.3083240034
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2002;97.129864988
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2002;91.6234368066
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2002;97.4012100208
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2001;91.0806925534
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2001;97.844290765
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2001;106.2816633312
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2001;99.8447804099
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;4. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;3. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;2. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Těžba a dobývání;1. čtvrtletí 2000;
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2025;99.8364571255
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2024;97.7369208511
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2024;104.1054397132
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2024;99.2889690396
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2024;97.2158683494
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2023;100.7870162262
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2023;96.8414690243
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2023;99.9305294161
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2023;103.2495585051
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2022;103.1861616135
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2022;105.3277123728
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2022;100.5003395197
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2022;101.7995269675
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2021;98.4063117438
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2021;99.1080188542
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2021;131.9917481669
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2021;103.2864962917
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2020;102.405301367
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2020;96.5925938962
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2020;77.482139101
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2020;97.4205312843
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2019;96.8900201778
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2019;102.9215104
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2019;99.9222995411
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2019;100.3479477886
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2018;103.3343019509
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2018;103.1300467596
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2018;103.5935774518
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2018;103.2819683932
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2017;108.30422153
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;3. čtvrtletí 2017;105.353917746
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;2. čtvrtletí 2017;105.0863970949
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;1. čtvrtletí 2017;109.1423001305
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Zpracovatelský průmysl;4. čtvrtletí 2016;103.4917771429
