Ukazatel,Roky,"ČR, kraje",Věk (jednoleté skupiny),value
Míry plodnosti,2024,Česko,15,0.89526972
Míry plodnosti,2024,Česko,16,2.238241006
Míry plodnosti,2024,Česko,17,4.628190516
Míry plodnosti,2024,Česko,18,8.252601363
Míry plodnosti,2024,Česko,19,13.45340528
Míry plodnosti,2024,Česko,20,19.26562646
Míry plodnosti,2024,Česko,21,28.11206683
Míry plodnosti,2024,Česko,22,33.86202199
Míry plodnosti,2024,Česko,23,39.91783365
Míry plodnosti,2024,Česko,24,52.41010709
Míry plodnosti,2024,Česko,25,66.88430608
Míry plodnosti,2024,Česko,26,79.56260166
Míry plodnosti,2024,Česko,27,89.61568323
Míry plodnosti,2024,Česko,28,97.44508344
Míry plodnosti,2024,Česko,29,101.6705775
Míry plodnosti,2024,Česko,30,105.2097375
Míry plodnosti,2024,Česko,31,99.76207686
Míry plodnosti,2024,Česko,32,91.48911262
Míry plodnosti,2024,Česko,33,85.78894301
Míry plodnosti,2024,Česko,34,73.62748304
Míry plodnosti,2024,Česko,35,63.95903479
Míry plodnosti,2024,Česko,36,53.58110079
Míry plodnosti,2024,Česko,37,42.38300236
Míry plodnosti,2024,Česko,38,33.70433595
Míry plodnosti,2024,Česko,39,26.15422065
Míry plodnosti,2024,Česko,40,21.23619715
Míry plodnosti,2024,Česko,41,12.49400607
Míry plodnosti,2024,Česko,42,8.145131433
Míry plodnosti,2024,Česko,43,4.868473727
Míry plodnosti,2024,Česko,44,3.244724319
Míry plodnosti,2024,Česko,45,1.752798824
Míry plodnosti,2024,Česko,46,0.86202133
Míry plodnosti,2024,Česko,47,0.541418517
Míry plodnosti,2024,Česko,48,0.392718782
Míry plodnosti,2024,Česko,49,0.524901319
Míry plodnosti,2024,Hlavní město Praha,15,0.139295166
Míry plodnosti,2024,Hlavní město Praha,16,1.447596989
Míry plodnosti,2024,Hlavní město Praha,17,2.060035315
Míry plodnosti,2024,Hlavní město Praha,18,2.860411899
Míry plodnosti,2024,Hlavní město Praha,19,7.144820005
Míry plodnosti,2024,Hlavní město Praha,20,11.51449472
Míry plodnosti,2024,Hlavní město Praha,21,16.77852349
Míry plodnosti,2024,Hlavní město Praha,22,22.25433526
Míry plodnosti,2024,Hlavní město Praha,23,27.1166883
Míry plodnosti,2024,Hlavní město Praha,24,35.00936464
Míry plodnosti,2024,Hlavní město Praha,25,44.18938307
Míry plodnosti,2024,Hlavní město Praha,26,54.89453759
Míry plodnosti,2024,Hlavní město Praha,27,63.96833504
Míry plodnosti,2024,Hlavní město Praha,28,72.01169733
Míry plodnosti,2024,Hlavní město Praha,29,83.21902149
Míry plodnosti,2024,Hlavní město Praha,30,89.62313945
Míry plodnosti,2024,Hlavní město Praha,31,98.61853383
Míry plodnosti,2024,Hlavní město Praha,32,97.66495495
Míry plodnosti,2024,Hlavní město Praha,33,95.97233903
Míry plodnosti,2024,Hlavní město Praha,34,85.15792416
Míry plodnosti,2024,Hlavní město Praha,35,76.30595314
Míry plodnosti,2024,Hlavní město Praha,36,63.8221262
Míry plodnosti,2024,Hlavní město Praha,37,53.88739946
Míry plodnosti,2024,Hlavní město Praha,38,44.45625221
Míry plodnosti,2024,Hlavní město Praha,39,32.05413587
Míry plodnosti,2024,Hlavní město Praha,40,29.36699794
Míry plodnosti,2024,Hlavní město Praha,41,16.82778375
Míry plodnosti,2024,Hlavní město Praha,42,10.39971062
Míry plodnosti,2024,Hlavní město Praha,43,6.81492109
Míry plodnosti,2024,Hlavní město Praha,44,6.207532925
Míry plodnosti,2024,Hlavní město Praha,45,2.490960225
Míry plodnosti,2024,Hlavní město Praha,46,1.773192553
Míry plodnosti,2024,Hlavní město Praha,47,1.395272489
Míry plodnosti,2024,Hlavní město Praha,48,0.827061451
