Ukazatel;Rok sčítání;Území;Materiál nosných zdí;value
Počet obydlených domů;2021;Česká republika;Obydlené domy celkem;1952668
Počet obydlených domů;2021;Česká republika;Kámen, cihly, tvárnice;1609257
Počet obydlených domů;2021;Česká republika;Stěnové panely;87929
Počet obydlených domů;2021;Česká republika;Dřevo;41177
Počet obydlených domů;2021;Česká republika;Nepálené cihly;23108
Počet obydlených domů;2021;Česká republika;Ostatní materiály a kombinace;66923
Počet obydlených domů;2021;Česká republika;Nezjištěno;124274
Počet obydlených domů;2021;Hlavní město Praha;Obydlené domy celkem;98217
Počet obydlených domů;2021;Hlavní město Praha;Kámen, cihly, tvárnice;76031
Počet obydlených domů;2021;Hlavní město Praha;Stěnové panely;10841
Počet obydlených domů;2021;Hlavní město Praha;Dřevo;833
Počet obydlených domů;2021;Hlavní město Praha;Nepálené cihly;99
Počet obydlených domů;2021;Hlavní město Praha;Ostatní materiály a kombinace;5624
Počet obydlených domů;2021;Hlavní město Praha;Nezjištěno;4789
Počet obydlených domů;2021;Středočeský kraj;Obydlené domy celkem;331341
Počet obydlených domů;2021;Středočeský kraj;Kámen, cihly, tvárnice;274011
Počet obydlených domů;2021;Středočeský kraj;Stěnové panely;10455
Počet obydlených domů;2021;Středočeský kraj;Dřevo;8941
Počet obydlených domů;2021;Středočeský kraj;Nepálené cihly;1579
Počet obydlených domů;2021;Středočeský kraj;Ostatní materiály a kombinace;10696
Počet obydlených domů;2021;Středočeský kraj;Nezjištěno;25659
Počet obydlených domů;2021;Jihočeský kraj;Obydlené domy celkem;133404
Počet obydlených domů;2021;Jihočeský kraj;Kámen, cihly, tvárnice;113504
Počet obydlených domů;2021;Jihočeský kraj;Stěnové panely;4755
Počet obydlených domů;2021;Jihočeský kraj;Dřevo;1596
Počet obydlených domů;2021;Jihočeský kraj;Nepálené cihly;180
Počet obydlených domů;2021;Jihočeský kraj;Ostatní materiály a kombinace;2304
Počet obydlených domů;2021;Jihočeský kraj;Nezjištěno;11065
Počet obydlených domů;2021;Plzeňský kraj;Obydlené domy celkem;115802
Počet obydlených domů;2021;Plzeňský kraj;Kámen, cihly, tvárnice;95002
Počet obydlených domů;2021;Plzeňský kraj;Stěnové panely;5251
Počet obydlených domů;2021;Plzeňský kraj;Dřevo;1873
Počet obydlených domů;2021;Plzeňský kraj;Nepálené cihly;999
Počet obydlených domů;2021;Plzeňský kraj;Ostatní materiály a kombinace;3766
Počet obydlených domů;2021;Plzeňský kraj;Nezjištěno;8911
Počet obydlených domů;2021;Karlovarský kraj;Obydlené domy celkem;42406
Počet obydlených domů;2021;Karlovarský kraj;Kámen, cihly, tvárnice;33743
Počet obydlených domů;2021;Karlovarský kraj;Stěnové panely;4099
Počet obydlených domů;2021;Karlovarský kraj;Dřevo;857
Počet obydlených domů;2021;Karlovarský kraj;Nepálené cihly;121
Počet obydlených domů;2021;Karlovarský kraj;Ostatní materiály a kombinace;1205
Počet obydlených domů;2021;Karlovarský kraj;Nezjištěno;2381
Počet obydlených domů;2021;Ústecký kraj;Obydlené domy celkem;123776
Počet obydlených domů;2021;Ústecký kraj;Kámen, cihly, tvárnice;97371
Počet obydlených domů;2021;Ústecký kraj;Stěnové panely;9979
Počet obydlených domů;2021;Ústecký kraj;Dřevo;2514
Počet obydlených domů;2021;Ústecký kraj;Nepálené cihly;407
Počet obydlených domů;2021;Ústecký kraj;Ostatní materiály a kombinace;5016
Počet obydlených domů;2021;Ústecký kraj;Nezjištěno;8489
Počet obydlených domů;2021;Liberecký kraj;Obydlené domy celkem;79493
Počet obydlených domů;2021;Liberecký kraj;Kámen, cihly, tvárnice;61146
Počet obydlených domů;2021;Liberecký kraj;Stěnové panely;4806
Počet obydlených domů;2021;Liberecký kraj;Dřevo;2965
Počet obydlených domů;2021;Liberecký kraj;Nepálené cihly;241
Počet obydlených domů;2021;Liberecký kraj;Ostatní materiály a kombinace;4677
Počet obydlených domů;2021;Liberecký kraj;Nezjištěno;5658
Počet obydlených domů;2021;Královéhradecký kraj;Obydlené domy celkem;116863
Počet obydlených domů;2021;Královéhradecký kraj;Kámen, cihly, tvárnice;97669
Počet obydlených domů;2021;Královéhradecký kraj;Stěnové panely;3776
Počet obydlených domů;2021;Královéhradecký kraj;Dřevo;2604
Počet obydlených domů;2021;Královéhradecký kraj;Nepálené cihly;614
Počet obydlených domů;2021;Královéhradecký kraj;Ostatní materiály a kombinace;3981
Počet obydlených domů;2021;Královéhradecký kraj;Nezjištěno;8219
Počet obydlených domů;2021;Pardubický kraj;Obydlené domy celkem;113293
Počet obydlených domů;2021;Pardubický kraj;Kámen, cihly, tvárnice;97304
Počet obydlených domů;2021;Pardubický kraj;Stěnové panely;3060
Počet obydlených domů;2021;Pardubický kraj;Dřevo;2118
Počet obydlených domů;2021;Pardubický kraj;Nepálené cihly;470
Počet obydlených domů;2021;Pardubický kraj;Ostatní materiály a kombinace;3349
Počet obydlených domů;2021;Pardubický kraj;Nezjištěno;6992
Počet obydlených domů;2021;Kraj Vysočina;Obydlené domy celkem;114230
Počet obydlených domů;2021;Kraj Vysočina;Kámen, cihly, tvárnice;99584
Počet obydlených domů;2021;Kraj Vysočina;Stěnové panely;3160
