Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu nečleněné,Rezidence,Ukazatel,value
2024,HUZ celkem,Praha,Celkem,Počet hostů,8063367.0
2024,HUZ celkem,Praha,Celkem,Počet přenocování,18279256.0
2024,HUZ celkem,Praha,Celkem,Průměrný počet přenocování ,2.2669507663
2024,HUZ celkem,Praha,Rezidenti,Počet hostů,1561069.0
2024,HUZ celkem,Praha,Rezidenti,Počet přenocování,2614466.0
2024,HUZ celkem,Praha,Rezidenti,Průměrný počet přenocování ,1.6747920816
2024,HUZ celkem,Praha,Nerezidenti,Počet hostů,6502298.0
2024,HUZ celkem,Praha,Nerezidenti,Počet přenocování,15664790.0
2024,HUZ celkem,Praha,Nerezidenti,Průměrný počet přenocování ,2.4091159772
2024,HUZ celkem,Praha,Belgie,Počet hostů,66463.0
2024,HUZ celkem,Praha,Belgie,Počet přenocování,164489.0
2024,HUZ celkem,Praha,Belgie,Průměrný počet přenocování ,2.4748958067
2024,HUZ celkem,Praha,Bulharsko,Počet hostů,36859.0
2024,HUZ celkem,Praha,Bulharsko,Počet přenocování,93976.0
2024,HUZ celkem,Praha,Bulharsko,Průměrný počet přenocování ,2.5496079655
2024,HUZ celkem,Praha,Dánsko,Počet hostů,70967.0
2024,HUZ celkem,Praha,Dánsko,Počet přenocování,203715.0
2024,HUZ celkem,Praha,Dánsko,Průměrný počet přenocování ,2.8705595558
2024,HUZ celkem,Praha,Estonsko,Počet hostů,16278.0
2024,HUZ celkem,Praha,Estonsko,Počet přenocování,40872.0
2024,HUZ celkem,Praha,Estonsko,Průměrný počet přenocování ,2.5108735717
2024,HUZ celkem,Praha,Finsko,Počet hostů,40017.0
2024,HUZ celkem,Praha,Finsko,Počet přenocování,111729.0
2024,HUZ celkem,Praha,Finsko,Průměrný počet přenocování ,2.7920383837
2024,HUZ celkem,Praha,Francie,Počet hostů,223149.0
2024,HUZ celkem,Praha,Francie,Počet přenocování,589349.0
2024,HUZ celkem,Praha,Francie,Průměrný počet přenocování ,2.6410559761
2024,HUZ celkem,Praha,Chorvatsko,Počet hostů,38578.0
2024,HUZ celkem,Praha,Chorvatsko,Počet přenocování,93543.0
2024,HUZ celkem,Praha,Chorvatsko,Průměrný počet přenocování ,2.4247757789
2024,HUZ celkem,Praha,Irsko,Počet hostů,50081.0
2024,HUZ celkem,Praha,Irsko,Počet přenocování,137222.0
2024,HUZ celkem,Praha,Irsko,Průměrný počet přenocování ,2.7400011981
2024,HUZ celkem,Praha,Island,Počet hostů,10102.0
2024,HUZ celkem,Praha,Island,Počet přenocování,28452.0
2024,HUZ celkem,Praha,Island,Průměrný počet přenocování ,2.8164719857
2024,HUZ celkem,Praha,Itálie,Počet hostů,367861.0
2024,HUZ celkem,Praha,Itálie,Počet přenocování,996367.0
2024,HUZ celkem,Praha,Itálie,Průměrný počet přenocování ,2.7085420852
2024,HUZ celkem,Praha,Kypr,Počet hostů,10073.0
2024,HUZ celkem,Praha,Kypr,Počet přenocování,30900.0
2024,HUZ celkem,Praha,Kypr,Průměrný počet přenocování ,3.0676064727
2024,HUZ celkem,Praha,Litva,Počet hostů,24381.0
2024,HUZ celkem,Praha,Litva,Počet přenocování,51745.0
2024,HUZ celkem,Praha,Litva,Průměrný počet přenocování ,2.1223493704
2024,HUZ celkem,Praha,Lotyšsko,Počet hostů,19855.0
2024,HUZ celkem,Praha,Lotyšsko,Počet přenocování,47278.0
2024,HUZ celkem,Praha,Lotyšsko,Průměrný počet přenocování ,2.3811634349
2024,HUZ celkem,Praha,Lucembursko,Počet hostů,4943.0
2024,HUZ celkem,Praha,Lucembursko,Počet přenocování,11698.0
2024,HUZ celkem,Praha,Lucembursko,Průměrný počet přenocování ,2.3665790006
2024,HUZ celkem,Praha,Lichtenštejnsko,Počet hostů,816.0
2024,HUZ celkem,Praha,Lichtenštejnsko,Počet přenocování,1882.0
2024,HUZ celkem,Praha,Lichtenštejnsko,Průměrný počet přenocování ,2.306372549
2024,HUZ celkem,Praha,Maďarsko,Počet hostů,103735.0
2024,HUZ celkem,Praha,Maďarsko,Počet přenocování,227428.0
2024,HUZ celkem,Praha,Maďarsko,Průměrný počet přenocování ,2.1923940811
2024,HUZ celkem,Praha,Malta,Počet hostů,5782.0
2024,HUZ celkem,Praha,Malta,Počet přenocování,18438.0
2024,HUZ celkem,Praha,Malta,Průměrný počet přenocování ,3.1888619855
2024,HUZ celkem,Praha,Německo,Počet hostů,1052848.0
2024,HUZ celkem,Praha,Německo,Počet přenocování,2452658.0
2024,HUZ celkem,Praha,Německo,Průměrný počet přenocování ,2.3295461453
2024,HUZ celkem,Praha,Nizozemské království,Počet hostů,156482.0
2024,HUZ celkem,Praha,Nizozemské království,Počet přenocování,399502.0
2024,HUZ celkem,Praha,Nizozemské království,Průměrný počet přenocování ,2.5530220728
2024,HUZ celkem,Praha,Norsko,Počet hostů,40749.0
2024,HUZ celkem,Praha,Norsko,Počet přenocování,106843.0
2024,HUZ celkem,Praha,Norsko,Průměrný počet přenocování ,2.6219784535
2024,HUZ celkem,Praha,Polsko,Počet hostů,349177.0
2024,HUZ celkem,Praha,Polsko,Počet přenocování,700093.0
2024,HUZ celkem,Praha,Polsko,Průměrný počet přenocování ,2.0049802822
2024,HUZ celkem,Praha,Portugalsko,Počet hostů,41779.0
2024,HUZ celkem,Praha,Portugalsko,Počet přenocování,117097.0
2024,HUZ celkem,Praha,Portugalsko,Průměrný počet přenocování ,2.8027717274
2024,HUZ celkem,Praha,Rakousko,Počet hostů,157932.0
2024,HUZ celkem,Praha,Rakousko,Počet přenocování,315669.0
2024,HUZ celkem,Praha,Rakousko,Průměrný počet přenocování ,1.9987652914
2024,HUZ celkem,Praha,Rumunsko,Počet hostů,77134.0
2024,HUZ celkem,Praha,Rumunsko,Počet přenocování,182596.0
2024,HUZ celkem,Praha,Rumunsko,Průměrný počet přenocování ,2.3672569814
2024,HUZ celkem,Praha,Rusko,Počet hostů,22397.0
2024,HUZ celkem,Praha,Rusko,Počet přenocování,51064.0
2024,HUZ celkem,Praha,Rusko,Průměrný počet přenocování ,2.2799482073
2024,HUZ celkem,Praha,Řecko,Počet hostů,53099.0
2024,HUZ celkem,Praha,Řecko,Počet přenocování,155989.0
2024,HUZ celkem,Praha,Řecko,Průměrný počet přenocování ,2.937701275
2024,HUZ celkem,Praha,Slovensko,Počet hostů,378148.0
2024,HUZ celkem,Praha,Slovensko,Počet přenocování,737167.0
2024,HUZ celkem,Praha,Slovensko,Průměrný počet přenocování ,1.9494139861
2024,HUZ celkem,Praha,Slovinsko,Počet hostů,22081.0
2024,HUZ celkem,Praha,Slovinsko,Počet přenocování,49280.0
2024,HUZ celkem,Praha,Slovinsko,Průměrný počet přenocování ,2.2317829808
2024,HUZ celkem,Praha,Velká Británie a Severní Irsko,Počet hostů,471964.0
2024,HUZ celkem,Praha,Velká Británie a Severní Irsko,Počet přenocování,1256183.0
2024,HUZ celkem,Praha,Velká Británie a Severní Irsko,Průměrný počet přenocování ,2.661607665
2024,HUZ celkem,Praha,Srbsko a Černá Hora,Počet hostů,33966.0
2024,HUZ celkem,Praha,Srbsko a Černá Hora,Počet přenocování,87686.0
2024,HUZ celkem,Praha,Srbsko a Černá Hora,Průměrný počet přenocování ,2.5815815816
2024,HUZ celkem,Praha,Španělsko,Počet hostů,235787.0
2024,HUZ celkem,Praha,Španělsko,Počet přenocování,676871.0
2024,HUZ celkem,Praha,Španělsko,Průměrný počet přenocování ,2.8706883755
2024,HUZ celkem,Praha,Švédsko,Počet hostů,88723.0
2024,HUZ celkem,Praha,Švédsko,Počet přenocování,218797.0
2024,HUZ celkem,Praha,Švédsko,Průměrný počet přenocování ,2.4660685504
2024,HUZ celkem,Praha,Švýcarsko,Počet hostů,88232.0
2024,HUZ celkem,Praha,Švýcarsko,Počet přenocování,222549.0
2024,HUZ celkem,Praha,Švýcarsko,Průměrný počet přenocování ,2.5223161665
2024,HUZ celkem,Praha,Turecko,Počet hostů,110105.0
2024,HUZ celkem,Praha,Turecko,Počet přenocování,263204.0
2024,HUZ celkem,Praha,Turecko,Průměrný počet přenocování ,2.3904818128
2024,HUZ celkem,Praha,Ukrajina,Počet hostů,200129.0
2024,HUZ celkem,Praha,Ukrajina,Počet přenocování,393773.0
2024,HUZ celkem,Praha,Ukrajina,Průměrný počet přenocování ,1.9675959006
2024,HUZ celkem,Praha,Ostatní evropské země,Počet hostů,85833.0
2024,HUZ celkem,Praha,Ostatní evropské země,Počet přenocování,192478.0
2024,HUZ celkem,Praha,Ostatní evropské země,Průměrný počet přenocování ,2.2424708445
