Území;Ukazatel;Očištění;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Úhrn 12 měsíců;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2025;101.854050971
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2025;100.7254140045
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2025;101.5519360604
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2024;101.8190140563
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2024;102.0980954042
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2024;101.6511144496
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2024;102.4012583159
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2024;101.1623045841
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2024;100.7223332916
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2024;99.8586085778
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2024;100.7746992906
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2024;101.0587619693
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2024;100.5648974107
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2024;102.607462051
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2024;103.0200408242
