Území,Ukazatel,Očištění,Typ indexu,CZ-NACE,Čtvrtletí,value
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2025,100.2284302729
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2025,101.4875379605
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2024,99.4131017715
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2024,100.0915161312
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2024,99.5818114463
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2024,98.7269290134
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2023,102.2720020688
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2023,97.9165151262
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2023,100.1179978971
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2023,99.3438239309
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2022,99.1153392958
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2022,101.5453172883
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2022,100.5290593342
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2022,101.4029057037
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2021,100.8373411935
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2021,97.954496617
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2021,101.0203442
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2021,98.4835724751
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2020,104.1913785626
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2020,120.9118368541
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2020,82.9733376502
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2020,97.3094976371
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2019,99.2839431804
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2019,97.9260370552
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2019,101.5840787514
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2019,99.3416142233
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2018,99.3134506936
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2018,100.8928127319
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2018,101.0091984827
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2018,99.9718250712
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2017,101.9010506332
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2017,99.6746122057
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2017,103.090193633
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2017,102.7038577703
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2016,101.1446654518
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2016,100.750462983
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2016,99.4592291304
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2016,101.9462664327
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2015,99.0698853952
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2015,101.2088027243
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2015,101.6529864508
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2015,100.779433195
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2014,101.6521031526
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2014,100.9709433627
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2014,101.3901773202
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2014,100.1923336963
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2013,100.9345019817
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2013,103.1593789843
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2013,102.5649044274
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2013,98.944991182
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,4. čtvrtletí 2012,97.6092313179
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,3. čtvrtletí 2012,98.4584157787
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,2. čtvrtletí 2012,99.8827716196
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Mezičtvrtletní index,Průmysl celkem,1. čtvrtletí 2012,99.1507967664
