Území;CZ NACE;Ukazatel;Roky;value
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2008;31560.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2009;33660.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2010;35261.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2011;35502.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2012;35652.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2013;35520.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2014;36424.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2015;37961.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2016;42720.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2017;46204.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2018;49786.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2019;52400.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2020;55797.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2021;58957.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2022;62772.0
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet aktivních podniků;2023;
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2008;107802.735180239
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2009;109391.777344233
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2010;112655.213505867
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2011;114081.590927947
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2012;115384.324403483
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2013;116580.481612588
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2014;118593.460983229
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2015;122702.556870017
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2016;131585.535157844
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2017;139846.639586793
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2018;146825.998108788
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2019;154161.239691759
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2020;158187.782722821
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2021;164649.448033761
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2022;173575.507834528
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Počet zaměstnaných osob celkem ve fyzických osobách;2023;
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2008;89721.943528366
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2009;89872.9169374582
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2010;91275.8657620905
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2011;92087.8069990107
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2012;93392.4641818339
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2013;94473.3532983984
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2014;96405.365836802
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2015;99542.5886517379
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2016;105419.491422436
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2017;111710.673325115
Česko;58 až 63 Sekce J - Informační a komunikační činnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2018;117104.831655821
