Území;Ukazatel;Hospodařící domácnosti podle typu domácnosti;Rok sčítání;value
Česká republika;Počet hospodařících domácností;Hospodařící domácnosti celkem;2011;4375122
Česká republika;Počet hospodařících domácností;HD tvořené 1 rodinou ;2011;2667867
Česká republika;Počet hospodařících domácností;Úplné rodiny bez závislých dětí;2011;1236561
Česká republika;Počet hospodařících domácností;Úplné rodiny se závislými dětmi;2011;860470
Česká republika;Počet hospodařících domácností;Neúplné rodiny bez závislých dětí;2011;271859
Česká republika;Počet hospodařících domácností;Neúplné rodiny se závislými dětmi;2011;298977
Česká republika;Počet hospodařících domácností;HD tvořené 2 a více rodinami;2011;69694
Česká republika;Počet hospodařících domácností;Domácnosti jednotlivců;2011;1422147
Česká republika;Počet hospodařících domácností;Vícečlenné nerodinné domácnosti;2011;215414
