Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Nejvyšší ukončené vzdělání,value
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,Základní ,13.314032947
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,Střední bez maturity,2.845086382
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,Střední s maturitou,1.558044994
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,Vyšší a vysokoškolské,2.2554602251
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,Celkem,1.7935734699
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,Základní ,7.2099015762
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,Střední bez maturity,2.2926585139
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,Střední s maturitou,1.1542229752
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,Vyšší a vysokoškolské,0.7644259212
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,Celkem,4.0861418849
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,Základní ,17.610934986
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,Střední bez maturity,4.0605919511
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,Střední s maturitou,1.4844352804
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,Vyšší a vysokoškolské,
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,Celkem,4.0906964037
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,Základní ,17.387821259
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,Střední bez maturity,3.3799772805
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,Střední s maturitou,2.2667941109
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,Vyšší a vysokoškolské,1.9242747516
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,Celkem,3.1874083221
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,Základní ,15.730834767
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,Střední bez maturity,2.5517080425
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,Střední s maturitou,2.555248654
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,Vyšší a vysokoškolské,
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Celkem,3.4201519736
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Základní ,11.92627431
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Střední bez maturity,3.8746721243
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Střední s maturitou,2.9870973557
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Vyšší a vysokoškolské,1.9230960891
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,Celkem,2.0676963444
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,Základní ,9.5493149673
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,Střední bez maturity,1.9277344548
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,Střední s maturitou,1.8484625106
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,Vyšší a vysokoškolské,1.3473728183
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,Celkem,1.8617974974
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,Základní ,11.874929179
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,Střední bez maturity,2.2421376589
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,Střední s maturitou,0.8121573798
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,Vyšší a vysokoškolské,1.6425743148
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Celkem,2.6560730204
