Ukazatel,Roky,"Česko, kraje, okresy",Druh soc. dávek,value
Počet vyplacených dávek státní sociální podpory,2024,Česko,Dávky státní sociální podpory celkem,10321468
Počet vyplacených dávek státní sociální podpory,2024,Česko,Přídavek na dítě,4044399
Počet vyplacených dávek státní sociální podpory,2024,Česko,Rodičovský příspěvek,2968844
Počet vyplacených dávek státní sociální podpory,2024,Česko,Příspěvek na bydlení,3299481
Počet vyplacených dávek státní sociální podpory,2024,Česko,Porodné,6395
Počet vyplacených dávek státní sociální podpory,2024,Česko,Pohřebné,2349
Počet vyplacených dávek státní sociální podpory,2024,Česko,Dávky pěstounské péče,451662
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Dávky státní sociální podpory celkem,938179
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Přídavek na dítě,204191
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Rodičovský příspěvek,354534
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Příspěvek na bydlení,378816
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Porodné,452
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Pohřebné,186
Počet vyplacených dávek státní sociální podpory,2024,Hlavní město Praha,Dávky pěstounské péče,32928
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Dávky státní sociální podpory celkem,1113766
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Přídavek na dítě,409619
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Rodičovský příspěvek,406618
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Příspěvek na bydlení,296552
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Porodné,684
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Pohřebné,293
Počet vyplacených dávek státní sociální podpory,2024,Středočeský kraj,Dávky pěstounské péče,48077
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Dávky státní sociální podpory celkem,582574
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Přídavek na dítě,245745
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Rodičovský příspěvek,177905
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Příspěvek na bydlení,158353
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Porodné,401
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Pohřebné,170
Počet vyplacených dávek státní sociální podpory,2024,Jihočeský kraj,Dávky pěstounské péče,24899
