Ukazatel,Kraje,Dvouleté období,value
Naděje dožití mužů při narození,Hlavní město Praha,2023-2024,78.8284411869
Naděje dožití mužů při narození,Hlavní město Praha,2022-2023,78.20069236
Naděje dožití mužů při narození,Hlavní město Praha,2021-2022,77.1106172989
Naděje dožití mužů při narození,Hlavní město Praha,2020-2021,77.0854793992
Naděje dožití mužů při narození,Hlavní město Praha,2019-2020,78.1557050008
Naděje dožití mužů při narození,Hlavní město Praha,2018-2019,78.374001802
Naděje dožití mužů při narození,Hlavní město Praha,2017-2018,78.2540592061
Naděje dožití mužů při narození,Hlavní město Praha,2016-2017,78.0601298
Naděje dožití mužů při narození,Hlavní město Praha,2015-2016,77.69105278
Naděje dožití mužů při narození,Hlavní město Praha,2014-2015,77.53391106
Naděje dožití mužů při narození,Středočeský kraj,2023-2024,77.2309278277
Naděje dožití mužů při narození,Středočeský kraj,2022-2023,76.64450343
Naděje dožití mužů při narození,Středočeský kraj,2021-2022,75.3987106673
Naděje dožití mužů při narození,Středočeský kraj,2020-2021,75.1255805487
Naděje dožití mužů při narození,Středočeský kraj,2019-2020,76.1585063348
Naděje dožití mužů při narození,Středočeský kraj,2018-2019,76.3196561062
Naděje dožití mužů při narození,Středočeský kraj,2017-2018,76.1370845775
Naděje dožití mužů při narození,Středočeský kraj,2016-2017,76.27622162
Naděje dožití mužů při narození,Středočeský kraj,2015-2016,76.13865211
Naděje dožití mužů při narození,Středočeský kraj,2014-2015,75.96693775
Naděje dožití mužů při narození,Jihočeský kraj,2023-2024,77.2652925839
Naděje dožití mužů při narození,Jihočeský kraj,2022-2023,76.92395418
Naděje dožití mužů při narození,Jihočeský kraj,2021-2022,75.6212731263
Naděje dožití mužů při narození,Jihočeský kraj,2020-2021,75.184845119
Naděje dožití mužů při narození,Jihočeský kraj,2019-2020,76.1819751881
Naděje dožití mužů při narození,Jihočeský kraj,2018-2019,76.587590541
Naděje dožití mužů při narození,Jihočeský kraj,2017-2018,76.3335321339
Naděje dožití mužů při narození,Jihočeský kraj,2016-2017,76.38976719
Naděje dožití mužů při narození,Jihočeský kraj,2015-2016,76.01734395
Naděje dožití mužů při narození,Jihočeský kraj,2014-2015,75.59703327
Naděje dožití mužů při narození,Plzeňský kraj,2023-2024,77.4321348304
Naděje dožití mužů při narození,Plzeňský kraj,2022-2023,77.03086287
Naděje dožití mužů při narození,Plzeňský kraj,2021-2022,75.2298693385
Naděje dožití mužů při narození,Plzeňský kraj,2020-2021,74.7330221059
Naděje dožití mužů při narození,Plzeňský kraj,2019-2020,75.9858954029
Naděje dožití mužů při narození,Plzeňský kraj,2018-2019,76.4264213536
Naděje dožití mužů při narození,Plzeňský kraj,2017-2018,76.2478793858
Naděje dožití mužů při narození,Plzeňský kraj,2016-2017,76.1541218
Naděje dožití mužů při narození,Plzeňský kraj,2015-2016,76.00083906
Naděje dožití mužů při narození,Plzeňský kraj,2014-2015,76.14438808
Naděje dožití mužů při narození,Karlovarský kraj,2023-2024,75.7485530151
Naděje dožití mužů při narození,Karlovarský kraj,2022-2023,75.21662205
Naděje dožití mužů při narození,Karlovarský kraj,2021-2022,73.2139087816
Naděje dožití mužů při narození,Karlovarský kraj,2020-2021,72.8022668562
Naděje dožití mužů při narození,Karlovarský kraj,2019-2020,74.5097080951
Naděje dožití mužů při narození,Karlovarský kraj,2018-2019,74.9067245803
Naděje dožití mužů při narození,Karlovarský kraj,2017-2018,74.4518994847
Naděje dožití mužů při narození,Karlovarský kraj,2016-2017,74.40493451
Naděje dožití mužů při narození,Karlovarský kraj,2015-2016,74.5692829
Naděje dožití mužů při narození,Karlovarský kraj,2014-2015,74.39516419
Naděje dožití mužů při narození,Ústecký kraj,2023-2024,75.0071887267
Naděje dožití mužů při narození,Ústecký kraj,2022-2023,74.54810774
Naděje dožití mužů při narození,Ústecký kraj,2021-2022,73.1032794808
Naděje dožití mužů při narození,Ústecký kraj,2020-2021,72.7000556464
Naděje dožití mužů při narození,Ústecký kraj,2019-2020,73.9332969529
Naděje dožití mužů při narození,Ústecký kraj,2018-2019,74.3845201828
Naděje dožití mužů při narození,Ústecký kraj,2017-2018,74.1923776037
Naděje dožití mužů při narození,Ústecký kraj,2016-2017,74.10422664
Naděje dožití mužů při narození,Ústecký kraj,2015-2016,73.80134262
Naděje dožití mužů při narození,Ústecký kraj,2014-2015,73.78862227
Naděje dožití mužů při narození,Liberecký kraj,2023-2024,76.6650132162
Naděje dožití mužů při narození,Liberecký kraj,2022-2023,76.19249472
Naděje dožití mužů při narození,Liberecký kraj,2021-2022,74.8801434104
Naděje dožití mužů při narození,Liberecký kraj,2020-2021,74.6564808967
Naděje dožití mužů při narození,Liberecký kraj,2019-2020,76.0315134953
Naděje dožití mužů při narození,Liberecký kraj,2018-2019,76.1368426372
Naděje dožití mužů při narození,Liberecký kraj,2017-2018,75.4471269434
Naděje dožití mužů při narození,Liberecký kraj,2016-2017,75.67168663
Naděje dožití mužů při narození,Liberecký kraj,2015-2016,75.70574904
Naděje dožití mužů při narození,Liberecký kraj,2014-2015,75.43545584
Naděje dožití mužů při narození,Královéhradecký kraj,2023-2024,78.2195236727
Naděje dožití mužů při narození,Královéhradecký kraj,2022-2023,77.70674125
Naděje dožití mužů při narození,Královéhradecký kraj,2021-2022,75.7541534691
Naděje dožití mužů při narození,Královéhradecký kraj,2020-2021,75.4719346748
Naděje dožití mužů při narození,Královéhradecký kraj,2019-2020,76.8442425069
Naděje dožití mužů při narození,Královéhradecký kraj,2018-2019,77.1614569152
Naděje dožití mužů při narození,Královéhradecký kraj,2017-2018,77.2336835884
Naděje dožití mužů při narození,Královéhradecký kraj,2016-2017,77.18579561
Naděje dožití mužů při narození,Královéhradecký kraj,2015-2016,76.76544574
Naděje dožití mužů při narození,Královéhradecký kraj,2014-2015,76.45958579
Naděje dožití mužů při narození,Pardubický kraj,2023-2024,77.3937047564
Naděje dožití mužů při narození,Pardubický kraj,2022-2023,76.87640611
Naděje dožití mužů při narození,Pardubický kraj,2021-2022,75.601308886
Naděje dožití mužů při narození,Pardubický kraj,2020-2021,75.0610565191
Naděje dožití mužů při narození,Pardubický kraj,2019-2020,76.0659268317
Naděje dožití mužů při narození,Pardubický kraj,2018-2019,76.5864907857
Naděje dožití mužů při narození,Pardubický kraj,2017-2018,76.5304964614
Naděje dožití mužů při narození,Pardubický kraj,2016-2017,76.60052415
Naděje dožití mužů při narození,Pardubický kraj,2015-2016,76.32798923
Naděje dožití mužů při narození,Pardubický kraj,2014-2015,76.23116026
Naděje dožití mužů při narození,Kraj Vysočina,2023-2024,77.841250237
Naděje dožití mužů při narození,Kraj Vysočina,2022-2023,77.27813642
Naděje dožití mužů při narození,Kraj Vysočina,2021-2022,76.2291054661
Naděje dožití mužů při narození,Kraj Vysočina,2020-2021,75.5648834256
Naděje dožití mužů při narození,Kraj Vysočina,2019-2020,75.8761107576
Naděje dožití mužů při narození,Kraj Vysočina,2018-2019,76.7151442747
Naděje dožití mužů při narození,Kraj Vysočina,2017-2018,76.9112124994
Naděje dožití mužů při narození,Kraj Vysočina,2016-2017,76.99733842
Naděje dožití mužů při narození,Kraj Vysočina,2015-2016,77.03871527
Naděje dožití mužů při narození,Kraj Vysočina,2014-2015,76.49638576
Naděje dožití mužů při narození,Jihomoravský kraj,2023-2024,77.5522189478
Naděje dožití mužů při narození,Jihomoravský kraj,2022-2023,77.042016
Naděje dožití mužů při narození,Jihomoravský kraj,2021-2022,75.5931892638
Naděje dožití mužů při narození,Jihomoravský kraj,2020-2021,75.2727384685
Naděje dožití mužů při narození,Jihomoravský kraj,2019-2020,76.3356591395
Naděje dožití mužů při narození,Jihomoravský kraj,2018-2019,76.5952371278
Naděje dožití mužů při narození,Jihomoravský kraj,2017-2018,76.3299807184
Naděje dožití mužů při narození,Jihomoravský kraj,2016-2017,76.45116861
Naděje dožití mužů při narození,Jihomoravský kraj,2015-2016,76.39994486
Naděje dožití mužů při narození,Jihomoravský kraj,2014-2015,76.25647272
Naděje dožití mužů při narození,Olomoucký kraj,2023-2024,76.5205411171
Naděje dožití mužů při narození,Olomoucký kraj,2022-2023,76.09499981
Naděje dožití mužů při narození,Olomoucký kraj,2021-2022,74.7250122571
Naděje dožití mužů při narození,Olomoucký kraj,2020-2021,74.0948173148
Naděje dožití mužů při narození,Olomoucký kraj,2019-2020,75.0839049845
Naděje dožití mužů při narození,Olomoucký kraj,2018-2019,75.7108430312
Naděje dožití mužů při narození,Olomoucký kraj,2017-2018,75.5553449511
Naděje dožití mužů při narození,Olomoucký kraj,2016-2017,75.45302087
Naděje dožití mužů při narození,Olomoucký kraj,2015-2016,75.19158623
Naděje dožití mužů při narození,Olomoucký kraj,2014-2015,75.10051035
Naděje dožití mužů při narození,Zlínský kraj,2023-2024,76.847280397
Naděje dožití mužů při narození,Zlínský kraj,2022-2023,76.54196254
Naděje dožití mužů při narození,Zlínský kraj,2021-2022,74.9825984045
Naděje dožití mužů při narození,Zlínský kraj,2020-2021,74.1486012416
Naděje dožití mužů při narození,Zlínský kraj,2019-2020,75.1005576113
Naděje dožití mužů při narození,Zlínský kraj,2018-2019,75.8540635695
Naděje dožití mužů při narození,Zlínský kraj,2017-2018,75.7663162989
Naděje dožití mužů při narození,Zlínský kraj,2016-2017,75.54399527
Naděje dožití mužů při narození,Zlínský kraj,2015-2016,75.37858246
Naděje dožití mužů při narození,Zlínský kraj,2014-2015,75.3543054
Naděje dožití mužů při narození,Moravskoslezský kraj,2023-2024,75.4139937478
Naděje dožití mužů při narození,Moravskoslezský kraj,2022-2023,74.83644479
Naděje dožití mužů při narození,Moravskoslezský kraj,2021-2022,73.2467820848
Naděje dožití mužů při narození,Moravskoslezský kraj,2020-2021,72.7557305169
Naděje dožití mužů při narození,Moravskoslezský kraj,2019-2020,73.8543908665
Naděje dožití mužů při narození,Moravskoslezský kraj,2018-2019,74.54551965
Naděje dožití mužů při narození,Moravskoslezský kraj,2017-2018,74.5319832069
Naděje dožití mužů při narození,Moravskoslezský kraj,2016-2017,74.4644883
Naděje dožití mužů při narození,Moravskoslezský kraj,2015-2016,74.23460481
Naděje dožití mužů při narození,Moravskoslezský kraj,2014-2015,74.069135
