Roky,Šetření,"ČR, regiony, kraje",Ukazatel,value
2024,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4026.0265563183
2024,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-21.6184613435
2024,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4659002642
2024,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45898.6121959078
2024,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3097.7175848768
2024,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2375066293
2024,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4244.06437633
2024,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.8788771633
2024,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1387121249
2024,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43540.5816720132
2024,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2663.9310728672
2024,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5169993965
2024,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),810.6325066152
2024,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-54.115281137
2024,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),93.7420734804
2024,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),58148.8208762874
2024,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),5085.3796018256
2024,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),109.5835842525
2024,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),865.2841726063
2024,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-49.3090376153
2024,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),94.6086372538
2024,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),54476.120003075
2024,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4304.6416455098
2024,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.5798580915
2024,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),425.7927906831
2024,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),8.3858857917
2024,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.0090433803
2024,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46392.1097477744
2024,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3035.3767168305
2024,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0009350443
2024,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),446.0136875985
2024,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),11.1482639352
2024,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.5636124025
2024,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44288.833335004
2024,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2672.740732851
2024,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4223730911
2024,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),444.6600991644
2024,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),7.1813372116
2024,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.641528192
2024,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42438.0054583551
2024,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2642.4990925258
2024,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.6401946698
2024,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),467.310421194
2024,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),10.8442043339
2024,Pracovištní metoda,Jihozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.3756860712
2024,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40381.0547756101
2024,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2240.9072396945
2024,Pracovištní metoda,Jihozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.8754550899
2024,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),328.7872662473
2024,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),4.1237646281
2024,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.2701657586
2024,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41803.7611295766
2024,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2870.407832748
2024,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.3726190777
2024,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),343.9938463875
2024,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),6.260901005
2024,Pracovištní metoda,Severozápad,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.8538022691
2024,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39955.7855031037
2024,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2529.0583095026
2024,Pracovištní metoda,Severozápad,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.7573589762
2024,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),526.2622726362
2024,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),2.5452295566
2024,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4859932649
2024,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41743.4256218221
2024,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2859.6114484774
2024,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.3542462571
2024,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),552.8795538879
2024,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),6.2873012775
2024,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.1502726662
