Rok sčítání;Ukazatel;Území podle okresů;Pohlaví;Věkové skupiny (desetiletky);value
2021;Obyvatelstvo;Zlínský kraj;žena;celkem;287185
2021;Obyvatelstvo;Zlínský kraj;žena;0 - 9 let;27717
2021;Obyvatelstvo;Zlínský kraj;žena;10 - 19 let;27694
2021;Obyvatelstvo;Zlínský kraj;žena;20 - 29 let;25738
2021;Obyvatelstvo;Zlínský kraj;žena;30 - 39 let;32972
2021;Obyvatelstvo;Zlínský kraj;žena;40 - 49 let;44010
2021;Obyvatelstvo;Moravskoslezský kraj;celkem;celkem;1162841
2021;Obyvatelstvo;Moravskoslezský kraj;celkem;0 - 9 let;116601
2021;Obyvatelstvo;Moravskoslezský kraj;celkem;10 - 19 let;119599
2021;Obyvatelstvo;Moravskoslezský kraj;celkem;20 - 29 let;115273
2021;Obyvatelstvo;Moravskoslezský kraj;celkem;30 - 39 let;147220
2021;Obyvatelstvo;Moravskoslezský kraj;celkem;40 - 49 let;184007
2021;Obyvatelstvo;Moravskoslezský kraj;muž;celkem;570091
2021;Obyvatelstvo;Moravskoslezský kraj;muž;0 - 9 let;59971
2021;Obyvatelstvo;Moravskoslezský kraj;muž;10 - 19 let;61183
2021;Obyvatelstvo;Moravskoslezský kraj;muž;20 - 29 let;59720
2021;Obyvatelstvo;Moravskoslezský kraj;muž;30 - 39 let;76720
2021;Obyvatelstvo;Moravskoslezský kraj;muž;40 - 49 let;94703
2021;Obyvatelstvo;Moravskoslezský kraj;žena;celkem;592750
2021;Obyvatelstvo;Moravskoslezský kraj;žena;0 - 9 let;56630
2021;Obyvatelstvo;Moravskoslezský kraj;žena;10 - 19 let;58416
2021;Obyvatelstvo;Moravskoslezský kraj;žena;20 - 29 let;55553
2021;Obyvatelstvo;Moravskoslezský kraj;žena;30 - 39 let;70500
2021;Obyvatelstvo;Moravskoslezský kraj;žena;40 - 49 let;89304
