Rok sčítání;Ukazatel;Území podle okresů;Pohlaví;Věkové skupiny (desetiletky);value
2021;Obyvatelstvo;Severovýchod;celkem;40 - 49 let;242953
2021;Obyvatelstvo;Severovýchod;muž;celkem;734383
2021;Obyvatelstvo;Severovýchod;muž;0 - 9 let;79418
2021;Obyvatelstvo;Severovýchod;muž;10 - 19 let;79476
2021;Obyvatelstvo;Severovýchod;muž;20 - 29 let;77911
2021;Obyvatelstvo;Severovýchod;muž;30 - 39 let;96569
2021;Obyvatelstvo;Severovýchod;muž;40 - 49 let;125823
2021;Obyvatelstvo;Severovýchod;žena;celkem;749177
2021;Obyvatelstvo;Severovýchod;žena;0 - 9 let;75471
2021;Obyvatelstvo;Severovýchod;žena;10 - 19 let;75213
2021;Obyvatelstvo;Severovýchod;žena;20 - 29 let;70110
2021;Obyvatelstvo;Severovýchod;žena;30 - 39 let;88448
2021;Obyvatelstvo;Severovýchod;žena;40 - 49 let;117130
2021;Obyvatelstvo;Jihovýchod;celkem;celkem;1695312
2021;Obyvatelstvo;Jihovýchod;celkem;0 - 9 let;182180
2021;Obyvatelstvo;Jihovýchod;celkem;10 - 19 let;168045
2021;Obyvatelstvo;Jihovýchod;celkem;20 - 29 let;178741
2021;Obyvatelstvo;Jihovýchod;celkem;30 - 39 let;230250
2021;Obyvatelstvo;Jihovýchod;celkem;40 - 49 let;272293
2021;Obyvatelstvo;Jihovýchod;muž;celkem;836921
2021;Obyvatelstvo;Jihovýchod;muž;0 - 9 let;93284
2021;Obyvatelstvo;Jihovýchod;muž;10 - 19 let;85965
2021;Obyvatelstvo;Jihovýchod;muž;20 - 29 let;92413
2021;Obyvatelstvo;Jihovýchod;muž;30 - 39 let;119917
2021;Obyvatelstvo;Jihovýchod;muž;40 - 49 let;140508
2021;Obyvatelstvo;Jihovýchod;žena;celkem;858391
2021;Obyvatelstvo;Jihovýchod;žena;0 - 9 let;88896
2021;Obyvatelstvo;Jihovýchod;žena;10 - 19 let;82080
2021;Obyvatelstvo;Jihovýchod;žena;20 - 29 let;86328
2021;Obyvatelstvo;Jihovýchod;žena;30 - 39 let;110333
2021;Obyvatelstvo;Jihovýchod;žena;40 - 49 let;131785
2021;Obyvatelstvo;Střední Morava;celkem;celkem;1184119
2021;Obyvatelstvo;Střední Morava;celkem;0 - 9 let;120789
2021;Obyvatelstvo;Střední Morava;celkem;10 - 19 let;120539
2021;Obyvatelstvo;Střední Morava;celkem;20 - 29 let;115317
2021;Obyvatelstvo;Střední Morava;celkem;30 - 39 let;147014
2021;Obyvatelstvo;Střední Morava;celkem;40 - 49 let;192030
2021;Obyvatelstvo;Střední Morava;muž;celkem;581041
2021;Obyvatelstvo;Střední Morava;muž;0 - 9 let;61880
2021;Obyvatelstvo;Střední Morava;muž;10 - 19 let;61665
2021;Obyvatelstvo;Střední Morava;muž;20 - 29 let;59686
2021;Obyvatelstvo;Střední Morava;muž;30 - 39 let;76756
2021;Obyvatelstvo;Střední Morava;muž;40 - 49 let;99240
2021;Obyvatelstvo;Střední Morava;žena;celkem;603078
2021;Obyvatelstvo;Střední Morava;žena;0 - 9 let;58909
2021;Obyvatelstvo;Střední Morava;žena;10 - 19 let;58874
2021;Obyvatelstvo;Střední Morava;žena;20 - 29 let;55631
2021;Obyvatelstvo;Střední Morava;žena;30 - 39 let;70258
2021;Obyvatelstvo;Střední Morava;žena;40 - 49 let;92790
2021;Obyvatelstvo;Moravskoslezsko;celkem;celkem;1162841
2021;Obyvatelstvo;Moravskoslezsko;celkem;0 - 9 let;116601
2021;Obyvatelstvo;Moravskoslezsko;celkem;10 - 19 let;119599
2021;Obyvatelstvo;Moravskoslezsko;celkem;20 - 29 let;115273
2021;Obyvatelstvo;Moravskoslezsko;celkem;30 - 39 let;147220
2021;Obyvatelstvo;Moravskoslezsko;celkem;40 - 49 let;184007
2021;Obyvatelstvo;Moravskoslezsko;muž;celkem;570091
2021;Obyvatelstvo;Moravskoslezsko;muž;0 - 9 let;59971
2021;Obyvatelstvo;Moravskoslezsko;muž;10 - 19 let;61183
2021;Obyvatelstvo;Moravskoslezsko;muž;20 - 29 let;59720
2021;Obyvatelstvo;Moravskoslezsko;muž;30 - 39 let;76720
2021;Obyvatelstvo;Moravskoslezsko;muž;40 - 49 let;94703
2021;Obyvatelstvo;Moravskoslezsko;žena;celkem;592750
2021;Obyvatelstvo;Moravskoslezsko;žena;0 - 9 let;56630
2021;Obyvatelstvo;Moravskoslezsko;žena;10 - 19 let;58416
2021;Obyvatelstvo;Moravskoslezsko;žena;20 - 29 let;55553
2021;Obyvatelstvo;Moravskoslezsko;žena;30 - 39 let;70500
2021;Obyvatelstvo;Moravskoslezsko;žena;40 - 49 let;89304
2021;Obyvatelstvo;Hlavní město Praha;celkem;celkem;1301432
2021;Obyvatelstvo;Hlavní město Praha;celkem;0 - 9 let;136700
2021;Obyvatelstvo;Hlavní město Praha;celkem;10 - 19 let;113535
2021;Obyvatelstvo;Hlavní město Praha;celkem;20 - 29 let;164962
2021;Obyvatelstvo;Hlavní město Praha;celkem;30 - 39 let;221565
2021;Obyvatelstvo;Hlavní město Praha;celkem;40 - 49 let;217127
2021;Obyvatelstvo;Hlavní město Praha;muž;celkem;633449
2021;Obyvatelstvo;Hlavní město Praha;muž;0 - 9 let;69980
2021;Obyvatelstvo;Hlavní město Praha;muž;10 - 19 let;58120
2021;Obyvatelstvo;Hlavní město Praha;muž;20 - 29 let;81217
2021;Obyvatelstvo;Hlavní město Praha;muž;30 - 39 let;112975
2021;Obyvatelstvo;Hlavní město Praha;muž;40 - 49 let;111429
2021;Obyvatelstvo;Hlavní město Praha;žena;celkem;667983
2021;Obyvatelstvo;Hlavní město Praha;žena;0 - 9 let;66720
2021;Obyvatelstvo;Hlavní město Praha;žena;10 - 19 let;55415
2021;Obyvatelstvo;Hlavní město Praha;žena;20 - 29 let;83745
2021;Obyvatelstvo;Hlavní město Praha;žena;30 - 39 let;108590
2021;Obyvatelstvo;Hlavní město Praha;žena;40 - 49 let;105698
2021;Obyvatelstvo;Středočeský kraj;celkem;celkem;1415463
2021;Obyvatelstvo;Středočeský kraj;celkem;0 - 9 let;166508
2021;Obyvatelstvo;Středočeský kraj;celkem;10 - 19 let;155217
2021;Obyvatelstvo;Středočeský kraj;celkem;20 - 29 let;128695
2021;Obyvatelstvo;Středočeský kraj;celkem;30 - 39 let;190289
2021;Obyvatelstvo;Středočeský kraj;celkem;40 - 49 let;252601
2021;Obyvatelstvo;Středočeský kraj;muž;celkem;702541
2021;Obyvatelstvo;Středočeský kraj;muž;0 - 9 let;85181
2021;Obyvatelstvo;Středočeský kraj;muž;10 - 19 let;79948
2021;Obyvatelstvo;Středočeský kraj;muž;20 - 29 let;66849
2021;Obyvatelstvo;Středočeský kraj;muž;30 - 39 let;95928
2021;Obyvatelstvo;Středočeský kraj;muž;40 - 49 let;130174
2021;Obyvatelstvo;Středočeský kraj;žena;celkem;712922
2021;Obyvatelstvo;Středočeský kraj;žena;0 - 9 let;81327
2021;Obyvatelstvo;Středočeský kraj;žena;10 - 19 let;75269
2021;Obyvatelstvo;Středočeský kraj;žena;20 - 29 let;61846
2021;Obyvatelstvo;Středočeský kraj;žena;30 - 39 let;94361
2021;Obyvatelstvo;Středočeský kraj;žena;40 - 49 let;122427
2021;Obyvatelstvo;Jihočeský kraj;celkem;celkem;631803
2021;Obyvatelstvo;Jihočeský kraj;celkem;0 - 9 let;66278
2021;Obyvatelstvo;Jihočeský kraj;celkem;10 - 19 let;65062
2021;Obyvatelstvo;Jihočeský kraj;celkem;20 - 29 let;61815
2021;Obyvatelstvo;Jihočeský kraj;celkem;30 - 39 let;78915
2021;Obyvatelstvo;Jihočeský kraj;celkem;40 - 49 let;101738
2021;Obyvatelstvo;Jihočeský kraj;muž;celkem;312168
2021;Obyvatelstvo;Jihočeský kraj;muž;0 - 9 let;34076
2021;Obyvatelstvo;Jihočeský kraj;muž;10 - 19 let;33202
2021;Obyvatelstvo;Jihočeský kraj;muž;20 - 29 let;32082
2021;Obyvatelstvo;Jihočeský kraj;muž;30 - 39 let;40682
2021;Obyvatelstvo;Jihočeský kraj;muž;40 - 49 let;51888
2021;Obyvatelstvo;Jihočeský kraj;žena;celkem;319635
2021;Obyvatelstvo;Jihočeský kraj;žena;0 - 9 let;32202
2021;Obyvatelstvo;Jihočeský kraj;žena;10 - 19 let;31860
2021;Obyvatelstvo;Jihočeský kraj;žena;20 - 29 let;29733
2021;Obyvatelstvo;Jihočeský kraj;žena;30 - 39 let;38233
2021;Obyvatelstvo;Jihočeský kraj;žena;40 - 49 let;49850
2021;Obyvatelstvo;Plzeňský kraj;celkem;celkem;581436
2021;Obyvatelstvo;Plzeňský kraj;celkem;0 - 9 let;59233
2021;Obyvatelstvo;Plzeňský kraj;celkem;10 - 19 let;58237
2021;Obyvatelstvo;Plzeňský kraj;celkem;20 - 29 let;59416
2021;Obyvatelstvo;Plzeňský kraj;celkem;30 - 39 let;78009
2021;Obyvatelstvo;Plzeňský kraj;celkem;40 - 49 let;95958
2021;Obyvatelstvo;Plzeňský kraj;muž;celkem;288879
2021;Obyvatelstvo;Plzeňský kraj;muž;0 - 9 let;30246
2021;Obyvatelstvo;Plzeňský kraj;muž;10 - 19 let;29768
2021;Obyvatelstvo;Plzeňský kraj;muž;20 - 29 let;30996
2021;Obyvatelstvo;Plzeňský kraj;muž;30 - 39 let;40839
2021;Obyvatelstvo;Plzeňský kraj;muž;40 - 49 let;49489
2021;Obyvatelstvo;Plzeňský kraj;žena;celkem;292557
2021;Obyvatelstvo;Plzeňský kraj;žena;0 - 9 let;28987
2021;Obyvatelstvo;Plzeňský kraj;žena;10 - 19 let;28469
2021;Obyvatelstvo;Plzeňský kraj;žena;20 - 29 let;28420
2021;Obyvatelstvo;Plzeňský kraj;žena;30 - 39 let;37170
2021;Obyvatelstvo;Plzeňský kraj;žena;40 - 49 let;46469
2021;Obyvatelstvo;Karlovarský kraj;celkem;celkem;279103
2021;Obyvatelstvo;Karlovarský kraj;celkem;0 - 9 let;26749
2021;Obyvatelstvo;Karlovarský kraj;celkem;10 - 19 let;29345
2021;Obyvatelstvo;Karlovarský kraj;celkem;20 - 29 let;26770
2021;Obyvatelstvo;Karlovarský kraj;celkem;30 - 39 let;34030
2021;Obyvatelstvo;Karlovarský kraj;celkem;40 - 49 let;45668
2021;Obyvatelstvo;Karlovarský kraj;muž;celkem;138110
2021;Obyvatelstvo;Karlovarský kraj;muž;0 - 9 let;13647
2021;Obyvatelstvo;Karlovarský kraj;muž;10 - 19 let;15169
2021;Obyvatelstvo;Karlovarský kraj;muž;20 - 29 let;14087
2021;Obyvatelstvo;Karlovarský kraj;muž;30 - 39 let;17878
2021;Obyvatelstvo;Karlovarský kraj;muž;40 - 49 let;23322
2021;Obyvatelstvo;Karlovarský kraj;žena;celkem;140993
2021;Obyvatelstvo;Karlovarský kraj;žena;0 - 9 let;13102
2021;Obyvatelstvo;Karlovarský kraj;žena;10 - 19 let;14176
2021;Obyvatelstvo;Karlovarský kraj;žena;20 - 29 let;12683
2021;Obyvatelstvo;Karlovarský kraj;žena;30 - 39 let;16152
2021;Obyvatelstvo;Karlovarský kraj;žena;40 - 49 let;22346
2021;Obyvatelstvo;Ústecký kraj;celkem;celkem;789098
2021;Obyvatelstvo;Ústecký kraj;celkem;0 - 9 let;80729
2021;Obyvatelstvo;Ústecký kraj;celkem;10 - 19 let;86672
2021;Obyvatelstvo;Ústecký kraj;celkem;20 - 29 let;79221
2021;Obyvatelstvo;Ústecký kraj;celkem;30 - 39 let;97341
2021;Obyvatelstvo;Ústecký kraj;celkem;40 - 49 let;131158
2021;Obyvatelstvo;Ústecký kraj;muž;celkem;388965
2021;Obyvatelstvo;Ústecký kraj;muž;0 - 9 let;41278
2021;Obyvatelstvo;Ústecký kraj;muž;10 - 19 let;44411
2021;Obyvatelstvo;Ústecký kraj;muž;20 - 29 let;40977
2021;Obyvatelstvo;Ústecký kraj;muž;30 - 39 let;50489
2021;Obyvatelstvo;Ústecký kraj;muž;40 - 49 let;67413
2021;Obyvatelstvo;Ústecký kraj;žena;celkem;400133
2021;Obyvatelstvo;Ústecký kraj;žena;0 - 9 let;39451
2021;Obyvatelstvo;Ústecký kraj;žena;10 - 19 let;42261
2021;Obyvatelstvo;Ústecký kraj;žena;20 - 29 let;38244
2021;Obyvatelstvo;Ústecký kraj;žena;30 - 39 let;46852
2021;Obyvatelstvo;Ústecký kraj;žena;40 - 49 let;63745
2021;Obyvatelstvo;Liberecký kraj;celkem;celkem;435220
2021;Obyvatelstvo;Liberecký kraj;celkem;0 - 9 let;46136
2021;Obyvatelstvo;Liberecký kraj;celkem;10 - 19 let;45980
2021;Obyvatelstvo;Liberecký kraj;celkem;20 - 29 let;43111
2021;Obyvatelstvo;Liberecký kraj;celkem;30 - 39 let;55671
2021;Obyvatelstvo;Liberecký kraj;celkem;40 - 49 let;72827
2021;Obyvatelstvo;Liberecký kraj;muž;celkem;215420
2021;Obyvatelstvo;Liberecký kraj;muž;0 - 9 let;23624
2021;Obyvatelstvo;Liberecký kraj;muž;10 - 19 let;23502
2021;Obyvatelstvo;Liberecký kraj;muž;20 - 29 let;22689
2021;Obyvatelstvo;Liberecký kraj;muž;30 - 39 let;29008
2021;Obyvatelstvo;Liberecký kraj;muž;40 - 49 let;37765
2021;Obyvatelstvo;Liberecký kraj;žena;celkem;219800
2021;Obyvatelstvo;Liberecký kraj;žena;0 - 9 let;22512
2021;Obyvatelstvo;Liberecký kraj;žena;10 - 19 let;22478
2021;Obyvatelstvo;Liberecký kraj;žena;20 - 29 let;20422
2021;Obyvatelstvo;Liberecký kraj;žena;30 - 39 let;26663
2021;Obyvatelstvo;Liberecký kraj;žena;40 - 49 let;35062
2021;Obyvatelstvo;Královéhradecký kraj;celkem;celkem;538303
2021;Obyvatelstvo;Královéhradecký kraj;celkem;0 - 9 let;54558
