Roky,Ukazatel,Území,Druh zemědělské plodiny,value
2023,Sklizeň zemědělských plodin (t),Karlovarský kraj,Ječmen,19071.8
2023,Sklizeň zemědělských plodin (t),Karlovarský kraj,Luskoviny a bílkovinné plodiny na zrno,1145.65
2023,Sklizeň zemědělských plodin (t),Karlovarský kraj,Brambory,1388.94
2023,Sklizeň zemědělských plodin (t),Karlovarský kraj,Řepa cukrová,0.0
2023,Sklizeň zemědělských plodin (t),Karlovarský kraj,Řepka,19199.64
2023,Sklizeň zemědělských plodin (t),Karlovarský kraj,Kukuřice na zeleno,83521.22
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Obiloviny na zrno,557038.49
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Pšenice,419325.43
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Ječmen,108709.28
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Luskoviny a bílkovinné plodiny na zrno,9488.08
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Brambory,11197.36
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Řepa cukrová,218120.8
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Řepka,90196.88
2023,Sklizeň zemědělských plodin (t),Ústecký kraj,Kukuřice na zeleno,182662.75
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Obiloviny na zrno,106076.55
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Pšenice,68628.14
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Ječmen,20347.88
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Luskoviny a bílkovinné plodiny na zrno,2000.19
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Brambory,3391.68
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Řepa cukrová,51388.3
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Řepka,19501.55
2023,Sklizeň zemědělských plodin (t),Liberecký kraj,Kukuřice na zeleno,80771.57
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Obiloviny na zrno,527884.0
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Pšenice,389012.97
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Ječmen,80541.71
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Luskoviny a bílkovinné plodiny na zrno,8429.96
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Brambory,15879.44
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Řepa cukrová,713997.01
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Řepka,89004.41
2023,Sklizeň zemědělských plodin (t),Královéhradecký kraj,Kukuřice na zeleno,506320.4
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Obiloviny na zrno,511506.17
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Pšenice,339259.91
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Ječmen,114919.76
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Luskoviny a bílkovinné plodiny na zrno,7909.12
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Brambory,26124.83
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Řepa cukrová,290413.84
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Řepka,88979.99
2023,Sklizeň zemědělských plodin (t),Pardubický kraj,Kukuřice na zeleno,586572.44
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Obiloviny na zrno,743791.91
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Pšenice,468673.07
