Území;Čtvrtletí;Institucionální sektory;Ukazatel;value
Česko;4. čtvrtletí 2024;Domácnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);5946.7665890811
Česko;4. čtvrtletí 2024;Domácnosti;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);124.1700933275
Česko;4. čtvrtletí 2024;Domácnosti;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);145.0226204829
Česko;4. čtvrtletí 2024;Domácnosti;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-6.3571863181
Česko;4. čtvrtletí 2024;Domácnosti;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);95.8005057263
Česko;4. čtvrtletí 2024;Domácnosti;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);28677.9878433129
Česko;4. čtvrtletí 2024;Domácnosti;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);5386.5678512109
Česko;4. čtvrtletí 2024;Domácnosti;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);123.1268331988
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);916.4440864759
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);9.2991577298
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.0251016607
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);53606.2658724594
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);1976.8230207359
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);103.8288676219
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);992.3806882499
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);15.1771746581
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.5531232181
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);49504.334312982
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1576.3575860227
Česko;4. čtvrtletí 2024;Vládní sektor;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);103.289013419
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);75.6749033637
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);3.3792280804
