Stát,Roky,Ukazatel,Odvětví ekonomické činnosti,value
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,B - Těžba a dobývání,8.2754238095
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,C - Zpracovatelský průmysl,8.3715497303
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",34.2696961693
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",10.8607335666
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,F - Stavebnictví,9.6412756644
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,8.0484495188
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,H - Doprava a skladování,6.8807523393
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,"I - Ubytování, stravování a pohostinství",4.0609021325
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,J - Informační a komunikační činnosti,18.5012323572
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,K - Peněžnictví a pojišťovnictví,25.0903890665
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,L - Činnosti v oblasti nemovitostí,7.7153241223
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,"M - Profesní, vědecké a technické činnosti",12.8120392713
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,N - Administrativní a podpůrné činnosti,3.7063755319
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,O - Veřejná správa a obrana; povinné sociální zabezpečení,7.2805031614
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,P - Vzdělávání,10.3503258179
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Q - Zdravotní a sociální péče,11.4656640955
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,"R - Kulturní, zábavní a rekreační činnosti",5.385521858
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,S - Ostatní činnosti,2.6028272357
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Celkem,1.1919668533
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,"A - Zemědělství, lesnictví, rybářství",0.1656733832
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,B-E - Průmysl celkem,1.3303436883
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,B - Těžba a dobývání,0.9377119861
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,C - Zpracovatelský průmysl,1.2924788797
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1.966379054
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1.7949455324
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,F - Stavebnictví,0.5647050932
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1.3131953748
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,H - Doprava a skladování,0.6205646477
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,"I - Ubytování, stravování a pohostinství",0.3316526769
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,J - Informační a komunikační činnosti,2.5690870365
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,K - Peněžnictví a pojišťovnictví,11.1848033383
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,L - Činnosti v oblasti nemovitostí,1.245050112
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,"M - Profesní, vědecké a technické činnosti",1.1348541128
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,N - Administrativní a podpůrné činnosti,0.2788387623
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,O - Veřejná správa a obrana; povinné sociální zabezpečení,0.4112388803
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,P - Vzdělávání,0.6372965909
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Q - Zdravotní a sociální péče,0.8933517721
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,"R - Kulturní, zábavní a rekreační činnosti",2.1312881565
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,S - Ostatní činnosti,0.5850655425
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Celkem,2.6306425045
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),"A - Zemědělství, lesnictví, rybářství",0.6278593429
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),B-E - Průmysl celkem,5.5258777423
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),B - Těžba a dobývání,11.4203328573
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),C - Zpracovatelský průmysl,4.743482029
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",27.5064181006
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4.7832101813
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),F - Stavebnictví,1.4487211674
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1.170296987
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),H - Doprava a skladování,2.2896411744
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),"I - Ubytování, stravování a pohostinství",0.5070886001
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),J - Informační a komunikační činnosti,2.7873028722
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),K - Peněžnictví a pojišťovnictví,3.2128800909
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),L - Činnosti v oblasti nemovitostí,3.1591413802
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),"M - Profesní, vědecké a technické činnosti",2.4269197302
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),N - Administrativní a podpůrné činnosti,1.3313180311
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),O - Veřejná správa a obrana; povinné sociální zabezpečení,1.8711812221
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),P - Vzdělávání,1.0005488738
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Q - Zdravotní a sociální péče,0.6557464338
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),"R - Kulturní, zábavní a rekreační činnosti",0.6613458171
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),S - Ostatní činnosti,0.873643366
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Celkem,1.9936082497
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,"A - Zemědělství, lesnictví, rybářství",1.9921087455
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,B-E - Průmysl celkem,2.3142743152
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,B - Těžba a dobývání,2.8666106493
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,C - Zpracovatelský průmysl,2.263560129
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2.6487359678
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2.9148444993
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,F - Stavebnictví,1.5432204895
