ČR, kraje, okresy;Ukazatel;Institucionální sektor;Čtvrtletí;value
Česko;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2025;2849594
Česko;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2024;2836017
Česko;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2024;2822454
Česko;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2024;2806060
Česko;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2024;2808176
Česko;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2023;2800294
Česko;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2023;2792581
Česko;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2023;2788905
Česko;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2023;2835015
Česko;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2022;2996841
Česko;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2022;3007473
Česko;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2022;2996348
Česko;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2022;2985170
Česko;Počet ekonomických subjektů celkem;Celkem;4. čtvrtletí 2021;2976264
Česko;Počet ekonomických subjektů celkem;Celkem;3. čtvrtletí 2021;2963419
Česko;Počet ekonomických subjektů celkem;Celkem;2. čtvrtletí 2021;2952752
Česko;Počet ekonomických subjektů celkem;Celkem;1. čtvrtletí 2021;2940814
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;1. čtvrtletí 2025;2849536
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;4. čtvrtletí 2024;2835960
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;3. čtvrtletí 2024;2822397
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;2. čtvrtletí 2024;2806003
Česko;Počet ekonomických subjektů celkem;Národní hospodářství - rezidenti;1. čtvrtletí 2024;2808119
