Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Úhrn 12 měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2010;108.184038036
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2010;106.7805222628
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2010;105.2309227235
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2010;102.851716209
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2010;101.0882980635
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2010;99.0984749561
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2010;97.1296786266
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2010;94.2570542468
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2010;91.6609305119
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2010;90.1164245744
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2010;88.138363148
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2009;86.3643826541
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2009;85.2680609385
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2009;83.9834936555
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2009;83.9201095001
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2009;85.3598242993
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2009;85.5908610408
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2009;87.2963819301
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2009;88.6532321746
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2009;90.4497667887
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2009;93.0999309113
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2009;93.656296977
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2009;96.0572231437
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2008;98.1858300018
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2008;99.4540522027
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2008;101.9461662368
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2008;103.8928614363
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2008;103.9866825013
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2008;105.2794006737
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2008;105.9300087649
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2008;106.4397183971
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2008;107.2389204066
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2008;107.6600606187
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2008;109.3063705201
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2008;109.9556953264
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2007;110.6459779542
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2007;110.6820768048
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2007;110.4968075675
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2007;110.54072307
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2007;110.6340116633
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2007;110.4075348365
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2007;110.0071212848
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2007;110.1468203358
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2007;110.2240376895
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2007;108.9323466073
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2007;109.0110884521
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2007;108.4160713601
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2006;108.3083693735
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2006;108.2391795236
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2006;108.1723189347
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2006;107.5511907069
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2006;107.4570256935
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2006;107.4892625147
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2006;106.877040962
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2006;106.5186873817
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2006;106.0654874421
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2006;106.3107020384
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2006;104.9610050546
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2006;104.4469930198
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2005;103.8934883369
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2005;104.2311734731
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2005;104.782078184
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2005;104.7860878923
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2005;104.921472986
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2005;105.3368775429
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2005;105.7132254017
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2005;106.45438638
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2005;107.2716695106
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2005;107.9592854503
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2005;109.5794624845
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2005;110.3610855523
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2004;110.4235748786
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2004;110.4082765956
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2004;109.0393646607
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2004;108.8162833981
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2004;108.8416849383
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2004;108.2500259518
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2004;108.0100998348
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2004;107.3244133536
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2004;106.0473417343
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2004;105.4202737756
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2004;104.2619851019
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2004;103.5811270672
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2003;103.6422643268
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2003;103.5859227851
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2003;104.18519823
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2003;104.1538654668
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2003;104.3135267717
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2003;103.5179171798
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2003;104.0767697813
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2003;103.3847590777
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2003;103.4290830188
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2003;103.4383105585
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2003;102.9457934725
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2003;102.7178848404
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2002;102.0652227105
