Kumulace čtvrtletí,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Česko,Sňatky,17336
Q1-Q2 2025,Česko,1. sňatek - muži,12796
Q1-Q2 2025,Česko,2. a další sňatek - muži,4540
Q1-Q2 2025,Česko,1. sňatek - ženy,12658
Q1-Q2 2025,Česko,2. a další sňatek - ženy,4678
Q1-Q2 2025,Česko,Oba snoubenci svobodní,11048
Q1-Q2 2025,Hlavní město Praha,Sňatky,2512
Q1-Q2 2025,Hlavní město Praha,1. sňatek - muži,1988
Q1-Q2 2025,Hlavní město Praha,2. a další sňatek - muži,524
Q1-Q2 2025,Hlavní město Praha,1. sňatek - ženy,1971
Q1-Q2 2025,Hlavní město Praha,2. a další sňatek - ženy,480
Q1-Q2 2025,Hlavní město Praha,Oba snoubenci svobodní,1788
Q1-Q2 2025,Středočeský kraj,Sňatky,2267
Q1-Q2 2025,Středočeský kraj,1. sňatek - muži,1642
Q1-Q2 2025,Středočeský kraj,2. a další sňatek - muži,625
Q1-Q2 2025,Středočeský kraj,1. sňatek - ženy,1622
Q1-Q2 2025,Středočeský kraj,2. a další sňatek - ženy,677
Q1-Q2 2025,Středočeský kraj,Oba snoubenci svobodní,1410
Q1-Q2 2025,Jihočeský kraj,Sňatky,980
Q1-Q2 2025,Jihočeský kraj,1. sňatek - muži,714
Q1-Q2 2025,Jihočeský kraj,2. a další sňatek - muži,266
Q1-Q2 2025,Jihočeský kraj,1. sňatek - ženy,708
Q1-Q2 2025,Jihočeský kraj,2. a další sňatek - ženy,274
Q1-Q2 2025,Jihočeský kraj,Oba snoubenci svobodní,614
Q1-Q2 2025,Plzeňský kraj,Sňatky,959
Q1-Q2 2025,Plzeňský kraj,1. sňatek - muži,697
Q1-Q2 2025,Plzeňský kraj,2. a další sňatek - muži,262
Q1-Q2 2025,Plzeňský kraj,1. sňatek - ženy,681
Q1-Q2 2025,Plzeňský kraj,2. a další sňatek - ženy,269
Q1-Q2 2025,Plzeňský kraj,Oba snoubenci svobodní,589
Q1-Q2 2025,Karlovarský kraj,Sňatky,430
Q1-Q2 2025,Karlovarský kraj,1. sňatek - muži,304
Q1-Q2 2025,Karlovarský kraj,2. a další sňatek - muži,126
Q1-Q2 2025,Karlovarský kraj,1. sňatek - ženy,292
Q1-Q2 2025,Karlovarský kraj,2. a další sňatek - ženy,131
Q1-Q2 2025,Karlovarský kraj,Oba snoubenci svobodní,248
Q1-Q2 2025,Ústecký kraj,Sňatky,1303
Q1-Q2 2025,Ústecký kraj,1. sňatek - muži,896
Q1-Q2 2025,Ústecký kraj,2. a další sňatek - muži,407
Q1-Q2 2025,Ústecký kraj,1. sňatek - ženy,876
Q1-Q2 2025,Ústecký kraj,2. a další sňatek - ženy,413
Q1-Q2 2025,Ústecký kraj,Oba snoubenci svobodní,739
Q1-Q2 2025,Liberecký kraj,Sňatky,663
Q1-Q2 2025,Liberecký kraj,1. sňatek - muži,442
Q1-Q2 2025,Liberecký kraj,2. a další sňatek - muži,221
Q1-Q2 2025,Liberecký kraj,1. sňatek - ženy,460
Q1-Q2 2025,Liberecký kraj,2. a další sňatek - ženy,219
Q1-Q2 2025,Liberecký kraj,Oba snoubenci svobodní,366
Q1-Q2 2025,Královéhradecký kraj,Sňatky,857
Q1-Q2 2025,Královéhradecký kraj,1. sňatek - muži,624
Q1-Q2 2025,Královéhradecký kraj,2. a další sňatek - muži,233
Q1-Q2 2025,Královéhradecký kraj,1. sňatek - ženy,621
Q1-Q2 2025,Královéhradecký kraj,2. a další sňatek - ženy,253
Q1-Q2 2025,Královéhradecký kraj,Oba snoubenci svobodní,536
Q1-Q2 2025,Pardubický kraj,Sňatky,782
Q1-Q2 2025,Pardubický kraj,1. sňatek - muži,594
Q1-Q2 2025,Pardubický kraj,2. a další sňatek - muži,188
Q1-Q2 2025,Pardubický kraj,1. sňatek - ženy,606
Q1-Q2 2025,Pardubický kraj,2. a další sňatek - ženy,197
Q1-Q2 2025,Pardubický kraj,Oba snoubenci svobodní,521
