ČR, kraje;Čtvrtletí;Ukazatel;Kategorie;value
Česko;1. čtvrtletí 2025;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2458
Česko;1. čtvrtletí 2025;Počet kongresů (konferencí);Hotel *****;215
Česko;1. čtvrtletí 2025;Počet kongresů (konferencí);Hotel, motel, botel ****;1772
Česko;1. čtvrtletí 2025;Počet kongresů (konferencí);Hotel, motel, botel ***;422
Česko;1. čtvrtletí 2025;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;259763
Česko;1. čtvrtletí 2025;Počet účastníků kongresů (konferencí);Hotel *****;33109
Česko;1. čtvrtletí 2025;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;190884
Česko;1. čtvrtletí 2025;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;31169
Česko;4. čtvrtletí 2024;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3666
Česko;4. čtvrtletí 2024;Počet kongresů (konferencí);Hotel *****;421
Česko;4. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ****;2528
Česko;4. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ***;632
Česko;4. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;366017
Česko;4. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel *****;36463
Česko;4. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;275811
Česko;4. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;46795
Česko;3. čtvrtletí 2024;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2100
Česko;3. čtvrtletí 2024;Počet kongresů (konferencí);Hotel *****;301
Česko;3. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ****;1325
Česko;3. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ***;412
Česko;3. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;192069
Česko;3. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel *****;27067
Česko;3. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;129375
Česko;3. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;29927
Česko;2. čtvrtletí 2024;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3616
Česko;2. čtvrtletí 2024;Počet kongresů (konferencí);Hotel *****;379
Česko;2. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ****;2417
Česko;2. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ***;722
Česko;2. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;331444
Česko;2. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel *****;31800
Česko;2. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;236708
Česko;2. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;56104
Česko;1. čtvrtletí 2024;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2448
Česko;1. čtvrtletí 2024;Počet kongresů (konferencí);Hotel *****;246
Česko;1. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ****;1670
Česko;1. čtvrtletí 2024;Počet kongresů (konferencí);Hotel, motel, botel ***;465
Česko;1. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;257190
Česko;1. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel *****;25090
Česko;1. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;188942
Česko;1. čtvrtletí 2024;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;38212
Česko;4. čtvrtletí 2023;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3555
Česko;4. čtvrtletí 2023;Počet kongresů (konferencí);Hotel *****;491
Česko;4. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ****;2249
Česko;4. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ***;715
Česko;4. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;345006
Česko;4. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel *****;41806
Česko;4. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;245282
Česko;4. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;50257
Česko;3. čtvrtletí 2023;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2151
Česko;3. čtvrtletí 2023;Počet kongresů (konferencí);Hotel *****;433
Česko;3. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ****;1280
Česko;3. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ***;367
Česko;3. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;191889
Česko;3. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel *****;32190
Česko;3. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;123505
Česko;3. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;28006
Česko;2. čtvrtletí 2023;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3621
Česko;2. čtvrtletí 2023;Počet kongresů (konferencí);Hotel *****;384
Česko;2. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ****;2483
Česko;2. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ***;636
Česko;2. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;362401
Česko;2. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel *****;38039
Česko;2. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;262935
Česko;2. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;47554
Česko;1. čtvrtletí 2023;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2715
Česko;1. čtvrtletí 2023;Počet kongresů (konferencí);Hotel *****;293
Česko;1. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ****;1883
Česko;1. čtvrtletí 2023;Počet kongresů (konferencí);Hotel, motel, botel ***;452
Česko;1. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;258383
Česko;1. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel *****;27249
Česko;1. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;187796
Česko;1. čtvrtletí 2023;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;32421
Česko;4. čtvrtletí 2022;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3382
Česko;4. čtvrtletí 2022;Počet kongresů (konferencí);Hotel *****;344
Česko;4. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ****;2292
Česko;4. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ***;619
Česko;4. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;332243
Česko;4. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel *****;35496
Česko;4. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;238425
Česko;4. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;43813
Česko;3. čtvrtletí 2022;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1961
Česko;3. čtvrtletí 2022;Počet kongresů (konferencí);Hotel *****;300
Česko;3. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ****;1205
Česko;3. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ***;403
Česko;3. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;183869
Česko;3. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel *****;29950
Česko;3. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;115421
Česko;3. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;31429
Česko;2. čtvrtletí 2022;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3260
Česko;2. čtvrtletí 2022;Počet kongresů (konferencí);Hotel *****;392
Česko;2. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ****;2069
Česko;2. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ***;686
Česko;2. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;311997
Česko;2. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel *****;34338
Česko;2. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;212584
Česko;2. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;52975
Česko;1. čtvrtletí 2022;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1473
Česko;1. čtvrtletí 2022;Počet kongresů (konferencí);Hotel *****;136
Česko;1. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ****;943
Česko;1. čtvrtletí 2022;Počet kongresů (konferencí);Hotel, motel, botel ***;336
Česko;1. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;124000
Česko;1. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel *****;11006
Česko;1. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;84194
Česko;1. čtvrtletí 2022;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;21576
Česko;4. čtvrtletí 2021;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1931
Česko;4. čtvrtletí 2021;Počet kongresů (konferencí);Hotel *****;189
Česko;4. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ****;1237
Česko;4. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ***;425
Česko;4. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;176388
Česko;4. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel *****;14608
Česko;4. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;119423
Česko;4. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;31871
Česko;3. čtvrtletí 2021;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1499
Česko;3. čtvrtletí 2021;Počet kongresů (konferencí);Hotel *****;128
Česko;3. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ****;908
Česko;3. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ***;410
Česko;3. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;146577
Česko;3. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel *****;10580
Česko;3. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;97329
Česko;3. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;31787
Česko;2. čtvrtletí 2021;Počet kongresů (konferencí);Hromadná ubytovací zařízení;488
Česko;2. čtvrtletí 2021;Počet kongresů (konferencí);Hotel *****;59
Česko;2. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ****;277
Česko;2. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ***;138
Česko;2. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;41153
Česko;2. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel *****;5322
Česko;2. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;23243
Česko;2. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;10566
Česko;1. čtvrtletí 2021;Počet kongresů (konferencí);Hromadná ubytovací zařízení;48
Česko;1. čtvrtletí 2021;Počet kongresů (konferencí);Hotel *****;22
Česko;1. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ****;24
Česko;1. čtvrtletí 2021;Počet kongresů (konferencí);Hotel, motel, botel ***;2
Česko;1. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;3888
Česko;1. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel *****;2000
Česko;1. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;1630
Česko;1. čtvrtletí 2021;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;258
Česko;4. čtvrtletí 2020;Počet kongresů (konferencí);Hromadná ubytovací zařízení;177
Česko;4. čtvrtletí 2020;Počet kongresů (konferencí);Hotel *****;9
Česko;4. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ****;99
Česko;4. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ***;52
Česko;4. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;14692
Česko;4. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel *****;461
Česko;4. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;7487
Česko;4. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;4494
Česko;3. čtvrtletí 2020;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1416
Česko;3. čtvrtletí 2020;Počet kongresů (konferencí);Hotel *****;88
Česko;3. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ****;913
Česko;3. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ***;363
Česko;3. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;114788
Česko;3. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel *****;7225
Česko;3. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;72864
Česko;3. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;28373
Česko;2. čtvrtletí 2020;Počet kongresů (konferencí);Hromadná ubytovací zařízení;557
Česko;2. čtvrtletí 2020;Počet kongresů (konferencí);Hotel *****;17
Česko;2. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ****;352
Česko;2. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ***;156
Česko;2. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;42315
Česko;2. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel *****;1127
Česko;2. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;26514
Česko;2. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;11165
Česko;1. čtvrtletí 2020;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2286
Česko;1. čtvrtletí 2020;Počet kongresů (konferencí);Hotel *****;146
Česko;1. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ****;1482
Česko;1. čtvrtletí 2020;Počet kongresů (konferencí);Hotel, motel, botel ***;554
Česko;1. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;249504
Česko;1. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel *****;18351
Česko;1. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;164899
Česko;1. čtvrtletí 2020;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;45994
Česko;4. čtvrtletí 2019;Počet kongresů (konferencí);Hromadná ubytovací zařízení;4270
Česko;4. čtvrtletí 2019;Počet kongresů (konferencí);Hotel *****;233
Česko;4. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ****;2815
Česko;4. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ***;1003
Česko;4. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;430967
Česko;4. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel *****;26427
Česko;4. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;292323
Česko;4. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;88775
Česko;3. čtvrtletí 2019;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2552
Česko;3. čtvrtletí 2019;Počet kongresů (konferencí);Hotel *****;210
Česko;3. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ****;1647
Česko;3. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ***;595
Česko;3. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;244707
Česko;3. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel *****;23909
Česko;3. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;156842
Česko;3. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;49375
Česko;2. čtvrtletí 2019;Počet kongresů (konferencí);Hromadná ubytovací zařízení;4190
Česko;2. čtvrtletí 2019;Počet kongresů (konferencí);Hotel *****;317
Česko;2. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ****;2634
Česko;2. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ***;1073
Česko;2. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;394881
Česko;2. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel *****;37206
Česko;2. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;243417
Česko;2. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;94109
Česko;1. čtvrtletí 2019;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3714
Česko;1. čtvrtletí 2019;Počet kongresů (konferencí);Hotel *****;239
Česko;1. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ****;2557
Česko;1. čtvrtletí 2019;Počet kongresů (konferencí);Hotel, motel, botel ***;776
Česko;1. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;364261
Česko;1. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel *****;30714
Česko;1. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;249557
Česko;1. čtvrtletí 2019;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;66186
Česko;4. čtvrtletí 2018;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3854
Česko;4. čtvrtletí 2018;Počet kongresů (konferencí);Hotel *****;173
Česko;4. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ****;2519
Česko;4. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ***;1003
Česko;4. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;449327
Česko;4. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel *****;26943
Česko;4. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;311459
Česko;4. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;91221
Česko;3. čtvrtletí 2018;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2032
Česko;3. čtvrtletí 2018;Počet kongresů (konferencí);Hotel *****;107
Česko;3. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ****;1322
Česko;3. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ***;506
Česko;3. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;216377
Česko;3. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel *****;15318
Česko;3. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;142263
Česko;3. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;45866
Česko;2. čtvrtletí 2018;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3724
Česko;2. čtvrtletí 2018;Počet kongresů (konferencí);Hotel *****;198
Česko;2. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ****;2326
Česko;2. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ***;1011
Česko;2. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;371685
Česko;2. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel *****;30185
Česko;2. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;232795
Česko;2. čtvrtletí 2018;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;89243
Česko;1. čtvrtletí 2018;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3057
Česko;1. čtvrtletí 2018;Počet kongresů (konferencí);Hotel *****;148
Česko;1. čtvrtletí 2018;Počet kongresů (konferencí);Hotel, motel, botel ****;1935
