Kategorie,Ukazatel,Území,Čtvrtletí,value
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2023,17.7986897238
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,4. čtvrtletí 2022,19.6106109839
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,3. čtvrtletí 2022,36.0655622742
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2022,25.5291773691
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2022,14.414402195
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,4. čtvrtletí 2021,15.5767392913
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,3. čtvrtletí 2021,36.7780962891
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2021,16.1918081688
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2021,6.0173241357
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,4. čtvrtletí 2020,9.1561371181
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,3. čtvrtletí 2020,34.1427279936
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2020,16.2612408536
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2020,18.4400893415
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,4. čtvrtletí 2019,21.5976467707
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,3. čtvrtletí 2019,35.6262519037
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2019,27.7925682745
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2019,20.8107156219
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2025,34.9590928999
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2025,19.830865141
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,4. čtvrtletí 2024,27.5859505409
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,3. čtvrtletí 2024,42.0634263778
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2024,32.4614462532
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2024,20.8898963578
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,4. čtvrtletí 2023,25.6951611054
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,3. čtvrtletí 2023,43.7972963813
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2023,32.9657950368
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2023,19.4946874651
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,4. čtvrtletí 2022,24.4572193582
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,3. čtvrtletí 2022,42.7905309866
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2022,29.949837029
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2022,13.63754644
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,4. čtvrtletí 2021,18.4161484109
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,3. čtvrtletí 2021,41.359066542
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2021,15.6856319862
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2021,5.1694535861
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,4. čtvrtletí 2020,8.2311033649
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,3. čtvrtletí 2020,38.5236755698
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2020,17.9647647929
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2020,18.2080785129
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,4. čtvrtletí 2019,30.1237705582
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,3. čtvrtletí 2019,44.4339297534
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,2. čtvrtletí 2019,35.9914916463
Hotely a penziony,Čisté využití lůžek (%),Jihomoravský kraj,1. čtvrtletí 2019,21.5078990258
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2025,28.1018325842
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2025,21.9042213302
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,4. čtvrtletí 2024,20.8763997378
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,3. čtvrtletí 2024,31.6804065473
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2024,25.7797098478
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2024,22.4397224397
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,4. čtvrtletí 2023,21.0165578678
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,3. čtvrtletí 2023,34.6805079919
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2023,26.5068449503
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2023,23.2858096062
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,4. čtvrtletí 2022,20.9461706984
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,3. čtvrtletí 2022,35.1819762586
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2022,25.7167486215
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2022,22.8759086607
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,4. čtvrtletí 2021,17.1236270321
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,3. čtvrtletí 2021,34.9109430437
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2021,16.5260871433
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2021,7.4651854478
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,4. čtvrtletí 2020,10.6229763795
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,3. čtvrtletí 2020,33.8378697736
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2020,14.8360046036
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2020,28.8066605411
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,4. čtvrtletí 2019,24.5001665271
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,3. čtvrtletí 2019,35.9090378882
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,2. čtvrtletí 2019,28.6801016983
Hotely a penziony,Čisté využití lůžek (%),Olomoucký kraj,1. čtvrtletí 2019,26.5851554639
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2025,36.4594487537
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2025,23.8514298991
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,4. čtvrtletí 2024,26.9194732371
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,3. čtvrtletí 2024,42.911222905
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2024,33.8729104093
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2024,24.2146165762
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,4. čtvrtletí 2023,25.6929312809
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,3. čtvrtletí 2023,44.6066883484
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2023,34.3389417816
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2023,24.0603839587
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,4. čtvrtletí 2022,25.9725820918
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,3. čtvrtletí 2022,44.0894341597
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2022,34.3658688173
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2022,23.9097848122
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,4. čtvrtletí 2021,23.5021107701
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,3. čtvrtletí 2021,46.3743656172
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2021,21.7322768495
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2021,8.0838552937
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,4. čtvrtletí 2020,13.957286314
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,3. čtvrtletí 2020,42.0038992713
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2020,19.2194619778
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2020,24.9379409903
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,4. čtvrtletí 2019,29.4472492078
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,3. čtvrtletí 2019,46.6865967067
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,2. čtvrtletí 2019,37.159941421
Hotely a penziony,Čisté využití lůžek (%),Zlínský kraj,1. čtvrtletí 2019,25.4655086858
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2025,33.0076837187
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2025,27.2498222007
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,4. čtvrtletí 2024,25.5729664538
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,3. čtvrtletí 2024,36.3076755847
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2024,31.4319607953
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2024,26.4247864885
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,4. čtvrtletí 2023,24.1322001726
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,3. čtvrtletí 2023,37.543329333
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2023,31.0861952866
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2023,26.8045175303
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,4. čtvrtletí 2022,24.9889936096
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,3. čtvrtletí 2022,37.3722512647
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2022,28.7204867883
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2022,23.3153000333
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,4. čtvrtletí 2021,18.5590308302
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,3. čtvrtletí 2021,34.1342347727
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2021,15.7543492053
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2021,6.9419818331
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,4. čtvrtletí 2020,11.0452821669
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,3. čtvrtletí 2020,29.9770960301
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2020,14.7180200951
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2020,27.0117997855
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,4. čtvrtletí 2019,25.8719293952
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,3. čtvrtletí 2019,36.3307029182
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,2. čtvrtletí 2019,29.9668008643
Hotely a penziony,Čisté využití lůžek (%),Moravskoslezský kraj,1. čtvrtletí 2019,27.6790657123
