Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Roky,value
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2015,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2016,101.2265698107
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2017,103.7933841159
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2018,103.3138159384
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2019,101.6395927906
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2020,89.8987165631
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2021,105.5174724823
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2022,106.8366400426
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2023,97.3459198582
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2024,102.0665430776
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2015,101.5888942213
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2016,100.4339723187
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2017,101.9565097913
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2018,103.5479492649
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2019,99.7782862341
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2020,84.0101062214
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2021,107.897369917
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2022,111.173386263
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2023,91.5486859906
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2024,103.9293722484
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,49 Pozemní a potrubní doprava,2014,
