Ukazatel,Tříleté období,Území,Druh nemovitosti,Počet obyvatel obce,value
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Rodinné domy [Kč/m2],Celkem,46541.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Rodinné domy [Kč/m2],do 1 999 obyv.,40101.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,45117.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,42520.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Rodinné domy [Kč/m2],50 000 obyv. a více,76873.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Byty [Kč/m2],Celkem,57899.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Byty [Kč/m2],do 1 999 obyv.,31799.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Byty [Kč/m2],2 000 - 9 999 obyv.,38895.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Byty [Kč/m2],10 000 - 49 999 obyv.,40466.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Česko,Byty [Kč/m2],50 000 obyv. a více,79266.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Rodinné domy [Kč/m2],Celkem,102456.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Rodinné domy [Kč/m2],do 1 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Rodinné domy [Kč/m2],50 000 obyv. a více,102456.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Byty [Kč/m2],Celkem,105082.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Byty [Kč/m2],do 1 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Byty [Kč/m2],2 000 - 9 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Byty [Kč/m2],10 000 - 49 999 obyv.,
Průměrná jednotková kupní cena nemovitosti,2021-2023,Hlavní město Praha,Byty [Kč/m2],50 000 obyv. a více,105082.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Rodinné domy [Kč/m2],Celkem,62004.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,56155.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,73186.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,58565.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,60573.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Byty [Kč/m2],Celkem,51514.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Byty [Kč/m2],do 1 999 obyv.,36679.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,48074.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,52049.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Středočeský kraj,Byty [Kč/m2],50 000 obyv. a více,63516.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Rodinné domy [Kč/m2],Celkem,43274.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,39463.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,40941.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,46290.0
Průměrná jednotková kupní cena nemovitosti,2021-2023,Jihočeský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,75557.0
