Území;Čtvrtletí;Země;Ukazatel;value
Česko;4. čtvrtletí 2024;Brazílie;Bilance - pohyb zboží (v mil. Kč);1696.486519
Česko;4. čtvrtletí 2024;Brazílie;Obrat - pohyb zboží (v mil. Kč);5001.972567
Česko;4. čtvrtletí 2024;Brazílie;Pohyb zboží z ČR (meziroční index );133.1696768439
Česko;4. čtvrtletí 2024;Brazílie;Pohyb zboží do ČR (meziroční index);92.5702789481
Česko;4. čtvrtletí 2024;Brazílie;Obrat pohybu zboží (meziroční index);116.3140731381
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Britské indickooceánské území;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Britské Panenské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Brunej Darussalam;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Brunej Darussalam;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Brunej Darussalam;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Brunej Darussalam;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Brunej Darussalam;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Brunej Darussalam;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Brunej Darussalam;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Bulharsko;Pohyb zboží z ČR (v mil. Kč, FOB);9535.385304
Česko;4. čtvrtletí 2024;Bulharsko;Pohyb zboží do ČR (v mil. Kč, CIF);9801.41711
Česko;4. čtvrtletí 2024;Bulharsko;Bilance - pohyb zboží (v mil. Kč);-266.031806
Česko;4. čtvrtletí 2024;Bulharsko;Obrat - pohyb zboží (v mil. Kč);19336.802414
Česko;4. čtvrtletí 2024;Bulharsko;Pohyb zboží z ČR (meziroční index );103.596721902
Česko;4. čtvrtletí 2024;Bulharsko;Pohyb zboží do ČR (meziroční index);141.7096177815
Česko;4. čtvrtletí 2024;Bulharsko;Obrat pohybu zboží (meziroční index);119.9487907804
Česko;4. čtvrtletí 2024;Burkina Faso;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Burkina Faso;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Burkina Faso;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Burkina Faso;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Burkina Faso;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Burkina Faso;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Burkina Faso;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Burundi;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Burundi;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Burundi;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Burundi;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Burundi;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Burundi;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Burundi;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Ceuta;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Ceuta;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Ceuta;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Ceuta;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Ceuta;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Ceuta;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Ceuta;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Cookovy ostrovy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Curaçao;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Curaçao;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Curaçao;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Curaçao;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Curaçao;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Curaçao;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Curaçao;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Čad;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Čad;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Čad;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Čad;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Čad;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Čad;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Čad;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Černá Hora;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Černá Hora;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Černá Hora;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Černá Hora;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Černá Hora;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Černá Hora;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Černá Hora;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Česko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Česko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Česko;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Česko;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Česko;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Česko;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Česko;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Čína;Pohyb zboží z ČR (v mil. Kč, FOB);19848.341107
Česko;4. čtvrtletí 2024;Čína;Pohyb zboží do ČR (v mil. Kč, CIF);262698.794679
Česko;4. čtvrtletí 2024;Čína;Bilance - pohyb zboží (v mil. Kč);-242850.453572
Česko;4. čtvrtletí 2024;Čína;Obrat - pohyb zboží (v mil. Kč);282547.135786
Česko;4. čtvrtletí 2024;Čína;Pohyb zboží z ČR (meziroční index );122.9051986946
Česko;4. čtvrtletí 2024;Čína;Pohyb zboží do ČR (meziroční index);112.4782012985
Česko;4. čtvrtletí 2024;Čína;Obrat pohybu zboží (meziroční index);113.1525533392
Česko;4. čtvrtletí 2024;Dánsko;Pohyb zboží z ČR (v mil. Kč, FOB);15612.690867
Česko;4. čtvrtletí 2024;Dánsko;Pohyb zboží do ČR (v mil. Kč, CIF);9074.004513
Česko;4. čtvrtletí 2024;Dánsko;Bilance - pohyb zboží (v mil. Kč);6538.686354
Česko;4. čtvrtletí 2024;Dánsko;Obrat - pohyb zboží (v mil. Kč);24686.69538
Česko;4. čtvrtletí 2024;Dánsko;Pohyb zboží z ČR (meziroční index );111.5952226122
Česko;4. čtvrtletí 2024;Dánsko;Pohyb zboží do ČR (meziroční index);95.979527077
Česko;4. čtvrtletí 2024;Dánsko;Obrat pohybu zboží (meziroční index);105.2981390581
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Demokratická republika Kongo;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Dominika;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Dominika;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Dominika;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Dominika;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Dominika;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Dominika;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Dominika;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Dominikánská republika;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Dominikánská republika;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Dominikánská republika;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Dominikánská republika;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Dominikánská republika;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Dominikánská republika;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Dominikánská republika;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Džibutsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Džibutsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Džibutsko;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Džibutsko;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Džibutsko;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Džibutsko;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Džibutsko;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Egypt;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Egypt;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Egypt;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Egypt;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Egypt;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Egypt;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Egypt;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Ekvádor;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Ekvádor;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Ekvádor;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Ekvádor;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Ekvádor;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Ekvádor;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Ekvádor;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Eritrea;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Eritrea;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Eritrea;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Eritrea;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Eritrea;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Eritrea;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Eritrea;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Estonsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Estonsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Estonsko;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Estonsko;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Estonsko;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Estonsko;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Estonsko;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Etiopie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Etiopie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Etiopie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Etiopie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Etiopie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Etiopie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Etiopie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Evropská unie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Evropská unie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Evropská unie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Evropská unie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Evropská unie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Evropská unie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Evropská unie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Faerské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Faerské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Faerské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Faerské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Faerské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Faerské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Faerské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Falklandské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Federativní státy Mikronésie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Fidži;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Fidži;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Fidži;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Fidži;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Fidži;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Fidži;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Fidži;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Filipíny;Pohyb zboží z ČR (v mil. Kč, FOB);666.169266
Česko;4. čtvrtletí 2024;Filipíny;Pohyb zboží do ČR (v mil. Kč, CIF);3494.153452
Česko;4. čtvrtletí 2024;Filipíny;Bilance - pohyb zboží (v mil. Kč);-2827.984186
Česko;4. čtvrtletí 2024;Filipíny;Obrat - pohyb zboží (v mil. Kč);4160.322718
Česko;4. čtvrtletí 2024;Filipíny;Pohyb zboží z ČR (meziroční index );152.1895088323
Česko;4. čtvrtletí 2024;Filipíny;Pohyb zboží do ČR (meziroční index);120.7328942136
Česko;4. čtvrtletí 2024;Filipíny;Obrat pohybu zboží (meziroční index);124.8655326691
Česko;4. čtvrtletí 2024;Finsko;Pohyb zboží z ČR (v mil. Kč, FOB);6039.945613
Česko;4. čtvrtletí 2024;Finsko;Pohyb zboží do ČR (v mil. Kč, CIF);4231.183626
Česko;4. čtvrtletí 2024;Finsko;Bilance - pohyb zboží (v mil. Kč);1808.761987
Česko;4. čtvrtletí 2024;Finsko;Obrat - pohyb zboží (v mil. Kč);10271.129239
Česko;4. čtvrtletí 2024;Finsko;Pohyb zboží z ČR (meziroční index );86.735586379
Česko;4. čtvrtletí 2024;Finsko;Pohyb zboží do ČR (meziroční index);107.5731826083
Česko;4. čtvrtletí 2024;Finsko;Obrat pohybu zboží (meziroční index);94.2570267442
Česko;4. čtvrtletí 2024;Francie;Pohyb zboží z ČR (v mil. Kč, FOB);69863.431767
Česko;4. čtvrtletí 2024;Francie;Pohyb zboží do ČR (v mil. Kč, CIF);40197.281422
Česko;4. čtvrtletí 2024;Francie;Bilance - pohyb zboží (v mil. Kč);29666.150345
Česko;4. čtvrtletí 2024;Francie;Obrat - pohyb zboží (v mil. Kč);110060.713189
Česko;4. čtvrtletí 2024;Francie;Pohyb zboží z ČR (meziroční index );97.3966870817
Česko;4. čtvrtletí 2024;Francie;Pohyb zboží do ČR (meziroční index);101.8539128987
Česko;4. čtvrtletí 2024;Francie;Obrat pohybu zboží (meziroční index);98.9786370658
Česko;4. čtvrtletí 2024;Francouzská jižní území;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Francouzská jižní území;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Francouzská jižní území;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Francouzská jižní území;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Francouzská jižní území;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Francouzská jižní území;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Francouzská jižní území;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Francouzská Polynésie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Gabon;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Gabon;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Gabon;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gabon;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gabon;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Gabon;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Gabon;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Gambie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Gambie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Gambie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gambie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gambie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Gambie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Gambie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Ghana;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Ghana;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Ghana;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Ghana;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Ghana;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Ghana;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Ghana;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Gibraltar;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Gibraltar;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Gibraltar;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gibraltar;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gibraltar;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Gibraltar;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Gibraltar;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Grenada;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Grenada;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Grenada;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Grenada;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Grenada;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Grenada;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Grenada;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Grónsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Grónsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Grónsko;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Grónsko;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Grónsko;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Grónsko;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Grónsko;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Gruzie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Gruzie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Gruzie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gruzie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Gruzie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Gruzie;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Gruzie;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Guam;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Guam;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Guam;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Guam;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Guam;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Guam;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Guam;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Guatemala;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Guatemala;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Guatemala;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Guatemala;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Guatemala;Pohyb zboží z ČR (meziroční index );
