Ukazatel;Kraje;Roky;value
Průměrný starobní důchod (Kč);Pardubický kraj;2021;14572.0
Průměrný starobní důchod (Kč);Pardubický kraj;2020;13722.0
Průměrný starobní důchod (Kč);Pardubický kraj;2019;12784.0
Průměrný starobní důchod (Kč);Pardubický kraj;2018;11752.0
Průměrný starobní důchod (Kč);Pardubický kraj;2017;11235.0
Průměrný starobní důchod (Kč);Pardubický kraj;2016;10881.0
Průměrný starobní důchod (Kč);Pardubický kraj;2015;10796.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2024;
Průměrný starobní důchod (Kč);Kraj Vysočina;2023;19322.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2022;17150.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2021;14642.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2020;13767.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2019;12814.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2018;11763.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2017;11237.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2016;10879.0
Průměrný starobní důchod (Kč);Kraj Vysočina;2015;10786.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2024;
Průměrný starobní důchod (Kč);Jihomoravský kraj;2023;19071.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2022;16981.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2021;14528.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2020;13683.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2019;12749.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2018;11727.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2017;11219.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2016;10873.0
Průměrný starobní důchod (Kč);Jihomoravský kraj;2015;10794.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2024;
Průměrný starobní důchod (Kč);Olomoucký kraj;2023;19099.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2022;16979.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2021;14525.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2020;13673.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2019;12738.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2018;11700.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2017;11181.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2016;10827.0
Průměrný starobní důchod (Kč);Olomoucký kraj;2015;10747.0
Průměrný starobní důchod (Kč);Zlínský kraj;2024;
Průměrný starobní důchod (Kč);Zlínský kraj;2023;19294.0
Průměrný starobní důchod (Kč);Zlínský kraj;2022;17143.0
Průměrný starobní důchod (Kč);Zlínský kraj;2021;14646.0
Průměrný starobní důchod (Kč);Zlínský kraj;2020;13775.0
Průměrný starobní důchod (Kč);Zlínský kraj;2019;12831.0
Průměrný starobní důchod (Kč);Zlínský kraj;2018;11781.0
Průměrný starobní důchod (Kč);Zlínský kraj;2017;11253.0
Průměrný starobní důchod (Kč);Zlínský kraj;2016;10891.0
Průměrný starobní důchod (Kč);Zlínský kraj;2015;10790.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2024;
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2023;19454.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2022;17327.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2021;14822.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2020;13954.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2019;13007.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2018;11978.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2017;11455.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2016;11095.0
Průměrný starobní důchod (Kč);Moravskoslezský kraj;2015;11014.0
