Území,Ukazatel,Typ indexu,Očištění,Typ tržeb,Vybraná průmyslová činnost,Měsíce,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2025,94.3288381082
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2025,103.0700404933
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2025,104.6325567182
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2025,99.19567374
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2025,97.6408900306
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2025,102.9165081603
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2025,96.6074007976
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2025,100.7436715864
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2024,100.0115665664
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2024,100.4793238319
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2024,100.8371552361
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2024,107.4906521563
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2024,102.208944413
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2024,109.6287964625
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2024,92.4934182149
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2024,98.4347320068
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),duben 2024,113.0392351806
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),březen 2024,91.1264740246
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),únor 2024,106.8225908758
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),leden 2024,104.3333065352
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),prosinec 2023,103.6617185797
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),listopad 2023,95.8088752957
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),říjen 2023,109.7650913658
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),září 2023,93.0743918223
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),srpen 2023,96.6357430566
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červenec 2023,97.3900257944
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),červen 2023,102.6603494203
Česko,Tržby z průmyslové činnosti (běžné ceny),Meziroční index,Bez očištění,Celkem,Průmysl celkem (B+C+D),květen 2023,101.7427668867
