Území;Ukazatel;Kumulace čtvrtletí;value
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2024;4021.8026823069
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2024;4013.0389727145
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2024;4012.4439029409
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2024;4005.4785899195
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2023;4023.8313255741
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2023;4017.5013370601
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2023;4018.0669480991
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2023;4009.5245318775
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2022;4029.3663709287
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2022;4017.1497649039
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2022;4010.2920100064
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2022;3990.4537021187
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2021;4000.8767241984
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2021;3989.6632385949
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2021;3982.7632525129
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2021;3970.446272383
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2020;3992.1878022976
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2020;3988.4145375976
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2020;4001.2170859698
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2020;4037.8758016003
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2019;4061.7365917055
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2019;4053.5545352868
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2019;4054.3187526806
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2019;4040.9020805497
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2018;4073.674239582
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2018;4062.5973025049
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2018;4055.2932910415
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2018;4038.0622941568
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2017;4012.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2017;3993.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2017;3980.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2017;3957.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2016;3925.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2016;3910.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2016;3899.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2016;3873.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2015;3856.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2015;3839.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2015;3822.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2015;3793.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2014;3778.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2014;3762.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2014;3746.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2014;3720.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2013;3737.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2013;3729.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2013;3720.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2013;3704.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2012;3775.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2012;3769.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2012;3760.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2012;3736.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2011;3773.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2011;3769.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2011;3761.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2011;3732.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2010;3786.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2010;3777.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2010;3765.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1 2010;3741.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q4 2009;3815.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q3 2009;3826.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q1-Q2 2009;3850.2
