Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Měsíce,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",leden 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",únor 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",březen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",duben 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",květen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",červenec 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",srpen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",září 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",říjen 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",listopad 2000,
