Ukazatel;Území;Druh zemědělské plodiny;Roky;value
Sklizeň zemědělských plodin (t);Česko;Řepa cukrová;2021;4145058.35
Sklizeň zemědělských plodin (t);Česko;Řepa cukrová;2022;4055470.66
Sklizeň zemědělských plodin (t);Česko;Řepa cukrová;2023;3833867.56
Sklizeň zemědělských plodin (t);Česko;Řepa cukrová;2024;4584713.07
Sklizeň zemědělských plodin (t);Česko;Řepka;2015;1256212.0
Sklizeň zemědělských plodin (t);Česko;Řepka;2016;1359124.85
Sklizeň zemědělských plodin (t);Česko;Řepka;2017;1146223.8
Sklizeň zemědělských plodin (t);Česko;Řepka;2018;1410769.02
Sklizeň zemědělských plodin (t);Česko;Řepka;2019;1156973.36
Sklizeň zemědělských plodin (t);Česko;Řepka;2020;1245327.96
Sklizeň zemědělských plodin (t);Česko;Řepka;2021;1024927.97
Sklizeň zemědělských plodin (t);Česko;Řepka;2022;1166392.56
Sklizeň zemědělských plodin (t);Česko;Řepka;2023;1309495.79
Sklizeň zemědělských plodin (t);Česko;Řepka;2024;946890.85
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2015;7134351.0
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2016;9545239.27107168
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2017;7776989.84
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2018;6686996.35
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2019;8243653.99
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2020;8832116.81
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2021;8431654.64
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2022;7615122.33
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2023;7189809.76
Sklizeň zemědělských plodin (t);Česko;Kukuřice na zeleno;2024;7130453.62
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2015;392390.5
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2016;484801.67
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2017;444872.69
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2018;418333.09
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2019;503051.65
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2020;540466.62
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2021;583285.81
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2022;524351.02
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2023;442164.91
Sklizeň zemědělských plodin (t);Česko;Vojtěška;2024;427167.38
