Území,Čtvrtletí,Institucionální sektory,Ukazatel,value
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1304927.0719620937
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),113.0915977579
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů (tis. Kč),9617458.221191453
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),788889.3941533032
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.9356430199
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady (tis. Kč),1655137.397366039
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),516037.6778087904
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady - meziroční index (%),145.3022390357
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Mzdy včetně ostatních osobních nákladů (tis. Kč),67982021.30410936
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3099658.2742968244
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční index (%),104.7773510852
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Mzdy bez ostatních osobních nákladů (tis. Kč),63609380.14572521
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2758769.0286183963
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční index (%),104.5336751398
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Ostatní osobní náklady (tis. Kč),4372641.158384147
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),340889.2456784281
Česko,4. čtvrtletí 2024,Ústřední vládní instituce,Ostatní osobní náklady - meziroční index (%),108.4551146266
Česko,4. čtvrtletí 2024,Místní vládní instituce,Mzdy včetně ostatních osobních nákladů (tis. Kč),87213367.91853712
Česko,4. čtvrtletí 2024,Místní vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3671318.503110279
Česko,4. čtvrtletí 2024,Místní vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční index (%),104.3945755806
Česko,4. čtvrtletí 2024,Místní vládní instituce,Mzdy bez ostatních osobních nákladů (tis. Kč),82258724.72433007
Česko,4. čtvrtletí 2024,Místní vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3303313.8056337903
Česko,4. čtvrtletí 2024,Místní vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční index (%),104.1837712795
Česko,4. čtvrtletí 2024,Místní vládní instituce,Ostatní osobní náklady (tis. Kč),4954643.19420706
Česko,4. čtvrtletí 2024,Místní vládní instituce,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),368004.6974764885
Česko,4. čtvrtletí 2024,Místní vládní instituce,Ostatní osobní náklady - meziroční index (%),108.0234075072
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Mzdy včetně ostatních osobních nákladů (tis. Kč),1643478.7236228671
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),141928.370241283
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční index (%),109.45212193
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Mzdy bez ostatních osobních nákladů (tis. Kč),1567216.7670234025
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),111096.6136276604
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.6296323053
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Ostatní osobní náklady (tis. Kč),76261.9565994646
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),30831.7566136226
Česko,4. čtvrtletí 2024,Fondy sociálního zabezpečení,Ostatní osobní náklady - meziroční index (%),167.8662137152
