Území,Ukazatel,Typ ceny,Očištění,CZCPA,Měsíce,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2025,347775.145946
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2025,375904.752154
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2025,418405.943141
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2025,394028.829284
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2025,409980.063057
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2025,430373.738207
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2025,398874.752121
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2025,396767.173152
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2024,337293.578883
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2024,422529.075883
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2024,429545.64914
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2024,404831.393141
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2024,368743.856666
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2024,358397.966236
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2024,390305.388552
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2024,382554.924101
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2024,413571.658732
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2024,406979.624028
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2024,394845.245053
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2024,353590.716541
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2023,311353.339695
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2023,406687.320783
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2023,414880.264771
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2023,369973.698934
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2023,332826.956322
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2023,317134.464159
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2023,402469.306688
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2023,383609.117479
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2023,347088.206644
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2023,421773.160425
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2023,360402.381973
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2023,374244.989239
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2022,342515.023139
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2022,414356.153234
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2022,389234.789505
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2022,406527.825304
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2022,354947.888715
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2022,332012.47368
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červen 2022,393081.70746
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,květen 2022,391227.444624
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,duben 2022,338690.502309
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,březen 2022,385793.059858
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,únor 2022,324897.464301
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,leden 2022,334034.977434
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,prosinec 2021,313326.817754
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,listopad 2021,372352.915749
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,říjen 2021,326468.602177
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,září 2021,320420.981035
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,srpen 2021,275370.744166
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,červenec 2021,297063.938477
