Ukazatel;Roky;ČR, kraje, okresy;Počet obytných místnosti;value
Dokončené byty;2022;Praha-západ;dvoupokojové;143.0
Dokončené byty;2022;Praha-západ;třípokojové;166.0
Dokončené byty;2022;Praha-západ;čtyřpokojové;405.0
Dokončené byty;2022;Praha-západ;pěti a více pokojové;312.0
Dokončené byty;2022;Příbram;Celkem;502.0
Dokončené byty;2022;Příbram;garsoniéry;33.0
Dokončené byty;2022;Příbram;jednopokojové včetně dvougarsoniér;53.0
Dokončené byty;2022;Příbram;dvoupokojové;53.0
Dokončené byty;2022;Příbram;třípokojové;87.0
Dokončené byty;2022;Příbram;čtyřpokojové;156.0
Dokončené byty;2022;Příbram;pěti a více pokojové;120.0
Dokončené byty;2022;Rakovník;Celkem;123.0
Dokončené byty;2022;Rakovník;garsoniéry;0.0
Dokončené byty;2022;Rakovník;jednopokojové včetně dvougarsoniér;7.0
Dokončené byty;2022;Rakovník;dvoupokojové;22.0
Dokončené byty;2022;Rakovník;třípokojové;20.0
Dokončené byty;2022;Rakovník;čtyřpokojové;42.0
Dokončené byty;2022;Rakovník;pěti a více pokojové;32.0
Dokončené byty;2022;České Budějovice;Celkem;954.0
Dokončené byty;2022;České Budějovice;garsoniéry;76.0
Dokončené byty;2022;České Budějovice;jednopokojové včetně dvougarsoniér;82.0
Dokončené byty;2022;České Budějovice;dvoupokojové;194.0
Dokončené byty;2022;České Budějovice;třípokojové;198.0
Dokončené byty;2022;České Budějovice;čtyřpokojové;233.0
Dokončené byty;2022;České Budějovice;pěti a více pokojové;171.0
Dokončené byty;2022;Český Krumlov;Celkem;269.0
Dokončené byty;2022;Český Krumlov;garsoniéry;0.0
Dokončené byty;2022;Český Krumlov;jednopokojové včetně dvougarsoniér;24.0
Dokončené byty;2022;Český Krumlov;dvoupokojové;45.0
Dokončené byty;2022;Český Krumlov;třípokojové;75.0
Dokončené byty;2022;Český Krumlov;čtyřpokojové;84.0
Dokončené byty;2022;Český Krumlov;pěti a více pokojové;41.0
Dokončené byty;2022;Jindřichův Hradec;Celkem;196.0
Dokončené byty;2022;Jindřichův Hradec;garsoniéry;0.0
Dokončené byty;2022;Jindřichův Hradec;jednopokojové včetně dvougarsoniér;4.0
Dokončené byty;2022;Jindřichův Hradec;dvoupokojové;24.0
Dokončené byty;2022;Jindřichův Hradec;třípokojové;36.0
Dokončené byty;2022;Jindřichův Hradec;čtyřpokojové;72.0
Dokončené byty;2022;Jindřichův Hradec;pěti a více pokojové;60.0
Dokončené byty;2022;Písek;Celkem;120.0
Dokončené byty;2022;Písek;garsoniéry;0.0
Dokončené byty;2022;Písek;jednopokojové včetně dvougarsoniér;19.0
Dokončené byty;2022;Písek;dvoupokojové;13.0
Dokončené byty;2022;Písek;třípokojové;23.0
Dokončené byty;2022;Písek;čtyřpokojové;36.0
Dokončené byty;2022;Písek;pěti a více pokojové;29.0
Dokončené byty;2022;Prachatice;Celkem;158.0
Dokončené byty;2022;Prachatice;garsoniéry;2.0
Dokončené byty;2022;Prachatice;jednopokojové včetně dvougarsoniér;23.0
Dokončené byty;2022;Prachatice;dvoupokojové;35.0
Dokončené byty;2022;Prachatice;třípokojové;27.0
Dokončené byty;2022;Prachatice;čtyřpokojové;28.0
Dokončené byty;2022;Prachatice;pěti a více pokojové;43.0
Dokončené byty;2022;Strakonice;Celkem;104.0
Dokončené byty;2022;Strakonice;garsoniéry;5.0
Dokončené byty;2022;Strakonice;jednopokojové včetně dvougarsoniér;1.0
Dokončené byty;2022;Strakonice;dvoupokojové;10.0
Dokončené byty;2022;Strakonice;třípokojové;9.0
Dokončené byty;2022;Strakonice;čtyřpokojové;37.0
Dokončené byty;2022;Strakonice;pěti a více pokojové;42.0
Dokončené byty;2022;Tábor;Celkem;211.0
Dokončené byty;2022;Tábor;garsoniéry;8.0
Dokončené byty;2022;Tábor;jednopokojové včetně dvougarsoniér;26.0
Dokončené byty;2022;Tábor;dvoupokojové;23.0
Dokončené byty;2022;Tábor;třípokojové;29.0
Dokončené byty;2022;Tábor;čtyřpokojové;59.0
Dokončené byty;2022;Tábor;pěti a více pokojové;66.0
Dokončené byty;2022;Domažlice;Celkem;180.0
Dokončené byty;2022;Domažlice;garsoniéry;4.0
Dokončené byty;2022;Domažlice;jednopokojové včetně dvougarsoniér;8.0
Dokončené byty;2022;Domažlice;dvoupokojové;16.0
Dokončené byty;2022;Domažlice;třípokojové;31.0
Dokončené byty;2022;Domažlice;čtyřpokojové;60.0
Dokončené byty;2022;Domažlice;pěti a více pokojové;61.0
Dokončené byty;2022;Klatovy;Celkem;326.0
Dokončené byty;2022;Klatovy;garsoniéry;0.0
Dokončené byty;2022;Klatovy;jednopokojové včetně dvougarsoniér;37.0
Dokončené byty;2022;Klatovy;dvoupokojové;105.0
Dokončené byty;2022;Klatovy;třípokojové;64.0
Dokončené byty;2022;Klatovy;čtyřpokojové;54.0
Dokončené byty;2022;Klatovy;pěti a více pokojové;66.0
Dokončené byty;2022;Plzeň-město;Celkem;912.0
Dokončené byty;2022;Plzeň-město;garsoniéry;73.0
Dokončené byty;2022;Plzeň-město;jednopokojové včetně dvougarsoniér;108.0
Dokončené byty;2022;Plzeň-město;dvoupokojové;385.0
Dokončené byty;2022;Plzeň-město;třípokojové;174.0
Dokončené byty;2022;Plzeň-město;čtyřpokojové;100.0
Dokončené byty;2022;Plzeň-město;pěti a více pokojové;72.0
Dokončené byty;2022;Plzeň-jih;Celkem;302.0
Dokončené byty;2022;Plzeň-jih;garsoniéry;18.0
Dokončené byty;2022;Plzeň-jih;jednopokojové včetně dvougarsoniér;18.0
Dokončené byty;2022;Plzeň-jih;dvoupokojové;52.0
Dokončené byty;2022;Plzeň-jih;třípokojové;51.0
Dokončené byty;2022;Plzeň-jih;čtyřpokojové;89.0
Dokončené byty;2022;Plzeň-jih;pěti a více pokojové;74.0
Dokončené byty;2022;Plzeň-sever;Celkem;419.0
Dokončené byty;2022;Plzeň-sever;garsoniéry;13.0
Dokončené byty;2022;Plzeň-sever;jednopokojové včetně dvougarsoniér;26.0
Dokončené byty;2022;Plzeň-sever;dvoupokojové;45.0
Dokončené byty;2022;Plzeň-sever;třípokojové;73.0
Dokončené byty;2022;Plzeň-sever;čtyřpokojové;179.0
Dokončené byty;2022;Plzeň-sever;pěti a více pokojové;83.0
Dokončené byty;2022;Rokycany;Celkem;232.0
Dokončené byty;2022;Rokycany;garsoniéry;24.0
Dokončené byty;2022;Rokycany;jednopokojové včetně dvougarsoniér;2.0
Dokončené byty;2022;Rokycany;dvoupokojové;17.0
Dokončené byty;2022;Rokycany;třípokojové;52.0
Dokončené byty;2022;Rokycany;čtyřpokojové;84.0
Dokončené byty;2022;Rokycany;pěti a více pokojové;53.0
Dokončené byty;2022;Tachov;Celkem;148.0
Dokončené byty;2022;Tachov;garsoniéry;1.0
Dokončené byty;2022;Tachov;jednopokojové včetně dvougarsoniér;5.0
Dokončené byty;2022;Tachov;dvoupokojové;24.0
Dokončené byty;2022;Tachov;třípokojové;26.0
Dokončené byty;2022;Tachov;čtyřpokojové;59.0
Dokončené byty;2022;Tachov;pěti a více pokojové;33.0
Dokončené byty;2022;Cheb;Celkem;404.0
Dokončené byty;2022;Cheb;garsoniéry;61.0
Dokončené byty;2022;Cheb;jednopokojové včetně dvougarsoniér;75.0
Dokončené byty;2022;Cheb;dvoupokojové;86.0
Dokončené byty;2022;Cheb;třípokojové;67.0
Dokončené byty;2022;Cheb;čtyřpokojové;81.0
Dokončené byty;2022;Cheb;pěti a více pokojové;34.0
Dokončené byty;2022;Karlovy Vary;Celkem;382.0
Dokončené byty;2022;Karlovy Vary;garsoniéry;4.0
Dokončené byty;2022;Karlovy Vary;jednopokojové včetně dvougarsoniér;35.0
Dokončené byty;2022;Karlovy Vary;dvoupokojové;122.0
Dokončené byty;2022;Karlovy Vary;třípokojové;88.0
Dokončené byty;2022;Karlovy Vary;čtyřpokojové;79.0
Dokončené byty;2022;Karlovy Vary;pěti a více pokojové;54.0
Dokončené byty;2022;Sokolov;Celkem;136.0
Dokončené byty;2022;Sokolov;garsoniéry;2.0
Dokončené byty;2022;Sokolov;jednopokojové včetně dvougarsoniér;4.0
Dokončené byty;2022;Sokolov;dvoupokojové;19.0
Dokončené byty;2022;Sokolov;třípokojové;23.0
Dokončené byty;2022;Sokolov;čtyřpokojové;48.0
Dokončené byty;2022;Sokolov;pěti a více pokojové;40.0
Dokončené byty;2022;Děčín;Celkem;165.0
Dokončené byty;2022;Děčín;garsoniéry;10.0
Dokončené byty;2022;Děčín;jednopokojové včetně dvougarsoniér;12.0
Dokončené byty;2022;Děčín;dvoupokojové;20.0
