Ukazatel;Roky;ČR, kraje, okresy;Počet obytných místnosti;value
Dokončené byty;2022;Svitavy;jednopokojové včetně dvougarsoniér;29.0
Dokončené byty;2022;Svitavy;dvoupokojové;15.0
Dokončené byty;2022;Svitavy;třípokojové;43.0
Dokončené byty;2022;Svitavy;čtyřpokojové;97.0
Dokončené byty;2022;Svitavy;pěti a více pokojové;61.0
Dokončené byty;2022;Ústí nad Orlicí;Celkem;419.0
Dokončené byty;2022;Ústí nad Orlicí;garsoniéry;34.0
Dokončené byty;2022;Ústí nad Orlicí;jednopokojové včetně dvougarsoniér;10.0
Dokončené byty;2022;Ústí nad Orlicí;dvoupokojové;117.0
Dokončené byty;2022;Ústí nad Orlicí;třípokojové;58.0
Dokončené byty;2022;Ústí nad Orlicí;čtyřpokojové;111.0
Dokončené byty;2022;Ústí nad Orlicí;pěti a více pokojové;89.0
Dokončené byty;2022;Havlíčkův Brod;Celkem;369.0
Dokončené byty;2022;Havlíčkův Brod;garsoniéry;7.0
Dokončené byty;2022;Havlíčkův Brod;jednopokojové včetně dvougarsoniér;34.0
Dokončené byty;2022;Havlíčkův Brod;dvoupokojové;66.0
Dokončené byty;2022;Havlíčkův Brod;třípokojové;73.0
Dokončené byty;2022;Havlíčkův Brod;čtyřpokojové;96.0
Dokončené byty;2022;Havlíčkův Brod;pěti a více pokojové;93.0
Dokončené byty;2022;Jihlava;Celkem;369.0
Dokončené byty;2022;Jihlava;garsoniéry;1.0
Dokončené byty;2022;Jihlava;jednopokojové včetně dvougarsoniér;16.0
Dokončené byty;2022;Jihlava;dvoupokojové;82.0
Dokončené byty;2022;Jihlava;třípokojové;110.0
Dokončené byty;2022;Jihlava;čtyřpokojové;122.0
Dokončené byty;2022;Jihlava;pěti a více pokojové;38.0
Dokončené byty;2022;Pelhřimov;Celkem;306.0
Dokončené byty;2022;Pelhřimov;garsoniéry;8.0
Dokončené byty;2022;Pelhřimov;jednopokojové včetně dvougarsoniér;41.0
Dokončené byty;2022;Pelhřimov;dvoupokojové;37.0
Dokončené byty;2022;Pelhřimov;třípokojové;43.0
Dokončené byty;2022;Pelhřimov;čtyřpokojové;76.0
Dokončené byty;2022;Pelhřimov;pěti a více pokojové;101.0
Dokončené byty;2022;Třebíč;Celkem;254.0
Dokončené byty;2022;Třebíč;garsoniéry;5.0
Dokončené byty;2022;Třebíč;jednopokojové včetně dvougarsoniér;9.0
Dokončené byty;2022;Třebíč;dvoupokojové;17.0
Dokončené byty;2022;Třebíč;třípokojové;29.0
Dokončené byty;2022;Třebíč;čtyřpokojové;100.0
Dokončené byty;2022;Třebíč;pěti a více pokojové;94.0
Dokončené byty;2022;Žďár nad Sázavou;Celkem;515.0
Dokončené byty;2022;Žďár nad Sázavou;garsoniéry;6.0
Dokončené byty;2022;Žďár nad Sázavou;jednopokojové včetně dvougarsoniér;37.0
Dokončené byty;2022;Žďár nad Sázavou;dvoupokojové;77.0
Dokončené byty;2022;Žďár nad Sázavou;třípokojové;98.0
Dokončené byty;2022;Žďár nad Sázavou;čtyřpokojové;128.0
Dokončené byty;2022;Žďár nad Sázavou;pěti a více pokojové;169.0
Dokončené byty;2022;Blansko;Celkem;522.0
Dokončené byty;2022;Blansko;garsoniéry;6.0
Dokončené byty;2022;Blansko;jednopokojové včetně dvougarsoniér;89.0
Dokončené byty;2022;Blansko;dvoupokojové;135.0
Dokončené byty;2022;Blansko;třípokojové;86.0
Dokončené byty;2022;Blansko;čtyřpokojové;124.0
Dokončené byty;2022;Blansko;pěti a více pokojové;82.0
Dokončené byty;2022;Brno-město;Celkem;983.0
Dokončené byty;2022;Brno-město;garsoniéry;197.0
Dokončené byty;2022;Brno-město;jednopokojové včetně dvougarsoniér;207.0
Dokončené byty;2022;Brno-město;dvoupokojové;195.0
Dokončené byty;2022;Brno-město;třípokojové;207.0
Dokončené byty;2022;Brno-město;čtyřpokojové;125.0
Dokončené byty;2022;Brno-město;pěti a více pokojové;52.0
Dokončené byty;2022;Brno-venkov;Celkem;931.0
Dokončené byty;2022;Brno-venkov;garsoniéry;4.0
Dokončené byty;2022;Brno-venkov;jednopokojové včetně dvougarsoniér;34.0
Dokončené byty;2022;Brno-venkov;dvoupokojové;167.0
Dokončené byty;2022;Brno-venkov;třípokojové;145.0
Dokončené byty;2022;Brno-venkov;čtyřpokojové;345.0
Dokončené byty;2022;Brno-venkov;pěti a více pokojové;236.0
Dokončené byty;2022;Břeclav;Celkem;753.0
Dokončené byty;2022;Břeclav;garsoniéry;68.0
Dokončené byty;2022;Břeclav;jednopokojové včetně dvougarsoniér;72.0
Dokončené byty;2022;Břeclav;dvoupokojové;206.0
Dokončené byty;2022;Břeclav;třípokojové;89.0
Dokončené byty;2022;Břeclav;čtyřpokojové;188.0
Dokončené byty;2022;Břeclav;pěti a více pokojové;130.0
Dokončené byty;2022;Hodonín;Celkem;444.0
Dokončené byty;2022;Hodonín;garsoniéry;22.0
Dokončené byty;2022;Hodonín;jednopokojové včetně dvougarsoniér;56.0
Dokončené byty;2022;Hodonín;dvoupokojové;72.0
Dokončené byty;2022;Hodonín;třípokojové;60.0
Dokončené byty;2022;Hodonín;čtyřpokojové;117.0
Dokončené byty;2022;Hodonín;pěti a více pokojové;117.0
Dokončené byty;2022;Vyškov;Celkem;462.0
Dokončené byty;2022;Vyškov;garsoniéry;32.0
Dokončené byty;2022;Vyškov;jednopokojové včetně dvougarsoniér;16.0
Dokončené byty;2022;Vyškov;dvoupokojové;70.0
Dokončené byty;2022;Vyškov;třípokojové;68.0
Dokončené byty;2022;Vyškov;čtyřpokojové;172.0
Dokončené byty;2022;Vyškov;pěti a více pokojové;104.0
Dokončené byty;2022;Znojmo;Celkem;574.0
Dokončené byty;2022;Znojmo;garsoniéry;7.0
Dokončené byty;2022;Znojmo;jednopokojové včetně dvougarsoniér;39.0
Dokončené byty;2022;Znojmo;dvoupokojové;116.0
Dokončené byty;2022;Znojmo;třípokojové;136.0
Dokončené byty;2022;Znojmo;čtyřpokojové;215.0
Dokončené byty;2022;Znojmo;pěti a více pokojové;61.0
Dokončené byty;2022;Jeseník;Celkem;45.0
Dokončené byty;2022;Jeseník;garsoniéry;0.0
Dokončené byty;2022;Jeseník;jednopokojové včetně dvougarsoniér;3.0
Dokončené byty;2022;Jeseník;dvoupokojové;5.0
Dokončené byty;2022;Jeseník;třípokojové;13.0
Dokončené byty;2022;Jeseník;čtyřpokojové;14.0
Dokončené byty;2022;Jeseník;pěti a více pokojové;10.0
Dokončené byty;2022;Olomouc;Celkem;1547.0
Dokončené byty;2022;Olomouc;garsoniéry;59.0
Dokončené byty;2022;Olomouc;jednopokojové včetně dvougarsoniér;273.0
Dokončené byty;2022;Olomouc;dvoupokojové;499.0
Dokončené byty;2022;Olomouc;třípokojové;314.0
Dokončené byty;2022;Olomouc;čtyřpokojové;270.0
Dokončené byty;2022;Olomouc;pěti a více pokojové;132.0
Dokončené byty;2022;Prostějov;Celkem;370.0
Dokončené byty;2022;Prostějov;garsoniéry;1.0
Dokončené byty;2022;Prostějov;jednopokojové včetně dvougarsoniér;29.0
Dokončené byty;2022;Prostějov;dvoupokojové;67.0
Dokončené byty;2022;Prostějov;třípokojové;61.0
Dokončené byty;2022;Prostějov;čtyřpokojové;126.0
Dokončené byty;2022;Prostějov;pěti a více pokojové;86.0
Dokončené byty;2022;Přerov;Celkem;218.0
Dokončené byty;2022;Přerov;garsoniéry;11.0
Dokončené byty;2022;Přerov;jednopokojové včetně dvougarsoniér;7.0
Dokončené byty;2022;Přerov;dvoupokojové;12.0
Dokončené byty;2022;Přerov;třípokojové;34.0
Dokončené byty;2022;Přerov;čtyřpokojové;98.0
Dokončené byty;2022;Přerov;pěti a více pokojové;56.0
Dokončené byty;2022;Šumperk;Celkem;363.0
Dokončené byty;2022;Šumperk;garsoniéry;1.0
Dokončené byty;2022;Šumperk;jednopokojové včetně dvougarsoniér;14.0
Dokončené byty;2022;Šumperk;dvoupokojové;45.0
Dokončené byty;2022;Šumperk;třípokojové;47.0
Dokončené byty;2022;Šumperk;čtyřpokojové;165.0
Dokončené byty;2022;Šumperk;pěti a více pokojové;91.0
Dokončené byty;2022;Kroměříž;Celkem;273.0
Dokončené byty;2022;Kroměříž;garsoniéry;2.0
Dokončené byty;2022;Kroměříž;jednopokojové včetně dvougarsoniér;72.0
Dokončené byty;2022;Kroměříž;dvoupokojové;50.0
Dokončené byty;2022;Kroměříž;třípokojové;37.0
Dokončené byty;2022;Kroměříž;čtyřpokojové;81.0
Dokončené byty;2022;Kroměříž;pěti a více pokojové;31.0
Dokončené byty;2022;Uherské Hradiště;Celkem;439.0
Dokončené byty;2022;Uherské Hradiště;garsoniéry;2.0
Dokončené byty;2022;Uherské Hradiště;jednopokojové včetně dvougarsoniér;35.0
Dokončené byty;2022;Uherské Hradiště;dvoupokojové;124.0
Dokončené byty;2022;Uherské Hradiště;třípokojové;66.0
Dokončené byty;2022;Uherské Hradiště;čtyřpokojové;121.0
Dokončené byty;2022;Uherské Hradiště;pěti a více pokojové;91.0
Dokončené byty;2022;Vsetín;Celkem;317.0
Dokončené byty;2022;Vsetín;garsoniéry;1.0
Dokončené byty;2022;Vsetín;jednopokojové včetně dvougarsoniér;20.0
Dokončené byty;2022;Vsetín;dvoupokojové;26.0
Dokončené byty;2022;Vsetín;třípokojové;68.0
Dokončené byty;2022;Vsetín;čtyřpokojové;115.0
Dokončené byty;2022;Vsetín;pěti a více pokojové;87.0
Dokončené byty;2022;Zlín;Celkem;614.0
Dokončené byty;2022;Zlín;garsoniéry;29.0
Dokončené byty;2022;Zlín;jednopokojové včetně dvougarsoniér;18.0
Dokončené byty;2022;Zlín;dvoupokojové;144.0
Dokončené byty;2022;Zlín;třípokojové;178.0
Dokončené byty;2022;Zlín;čtyřpokojové;145.0
Dokončené byty;2022;Zlín;pěti a více pokojové;100.0
Dokončené byty;2022;Bruntál;Celkem;193.0
Dokončené byty;2022;Bruntál;garsoniéry;0.0
Dokončené byty;2022;Bruntál;jednopokojové včetně dvougarsoniér;21.0
Dokončené byty;2022;Bruntál;dvoupokojové;52.0
Dokončené byty;2022;Bruntál;třípokojové;40.0
Dokončené byty;2022;Bruntál;čtyřpokojové;48.0
Dokončené byty;2022;Bruntál;pěti a více pokojové;32.0
Dokončené byty;2022;Frýdek-Místek;Celkem;633.0
Dokončené byty;2022;Frýdek-Místek;garsoniéry;16.0
Dokončené byty;2022;Frýdek-Místek;jednopokojové včetně dvougarsoniér;29.0
Dokončené byty;2022;Frýdek-Místek;dvoupokojové;65.0
Dokončené byty;2022;Frýdek-Místek;třípokojové;114.0
Dokončené byty;2022;Frýdek-Místek;čtyřpokojové;252.0
Dokončené byty;2022;Frýdek-Místek;pěti a více pokojové;157.0
Dokončené byty;2022;Karviná;Celkem;400.0
Dokončené byty;2022;Karviná;garsoniéry;0.0
Dokončené byty;2022;Karviná;jednopokojové včetně dvougarsoniér;29.0
Dokončené byty;2022;Karviná;dvoupokojové;78.0
Dokončené byty;2022;Karviná;třípokojové;74.0
Dokončené byty;2022;Karviná;čtyřpokojové;159.0
Dokončené byty;2022;Karviná;pěti a více pokojové;60.0
Dokončené byty;2022;Nový Jičín;Celkem;374.0
Dokončené byty;2022;Nový Jičín;garsoniéry;7.0
Dokončené byty;2022;Nový Jičín;jednopokojové včetně dvougarsoniér;15.0
Dokončené byty;2022;Nový Jičín;dvoupokojové;44.0
Dokončené byty;2022;Nový Jičín;třípokojové;63.0
Dokončené byty;2022;Nový Jičín;čtyřpokojové;157.0
Dokončené byty;2022;Nový Jičín;pěti a více pokojové;88.0
Dokončené byty;2022;Opava;Celkem;413.0
Dokončené byty;2022;Opava;garsoniéry;18.0
Dokončené byty;2022;Opava;jednopokojové včetně dvougarsoniér;6.0
Dokončené byty;2022;Opava;dvoupokojové;49.0
Dokončené byty;2022;Opava;třípokojové;91.0
Dokončené byty;2022;Opava;čtyřpokojové;149.0
Dokončené byty;2022;Opava;pěti a více pokojové;100.0
Dokončené byty;2022;Ostrava-město;Celkem;749.0
Dokončené byty;2022;Ostrava-město;garsoniéry;93.0
Dokončené byty;2022;Ostrava-město;jednopokojové včetně dvougarsoniér;81.0
Dokončené byty;2022;Ostrava-město;dvoupokojové;114.0
Dokončené byty;2022;Ostrava-město;třípokojové;118.0
Dokončené byty;2022;Ostrava-město;čtyřpokojové;231.0
Dokončené byty;2022;Ostrava-město;pěti a více pokojové;112.0
