Území,Ukazatel,Druh paliva,Roky,value
Česko,Vytěžené množství (kilotuna),Ropa surová,2024,68.792
Česko,Vytěžené množství (kilotuna),Ropa surová,2023,68.422
Česko,Vytěžené množství (kilotuna),Ropa surová,2022,76.458
Česko,Vytěžené množství (kilotuna),Ropa surová,2021,84.0
Česko,Vytěžené množství (kilotuna),Ropa surová,2020,92.0
Česko,Vytěžené množství (kilotuna),Ropa surová,2019,81.0
Česko,Vytěžené množství (kilotuna),Ropa surová,2018,110.0
Česko,Vytěžené množství (TJ),Ropa surová,2024,2923.66
Česko,Vytěžené množství (TJ),Ropa surová,2023,2907.935
Česko,Vytěžené množství (TJ),Ropa surová,2022,3249.465
Česko,Vytěžené množství (TJ),Ropa surová,2021,3570.0
Česko,Vytěžené množství (TJ),Ropa surová,2020,3910.0
Česko,Vytěžené množství (TJ),Ropa surová,2019,3443.0
Česko,Vytěžené množství (TJ),Ropa surová,2018,4675.0
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2024,42.5
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2023,42.5
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2022,42.5
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2021,42.5
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2020,42.5
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2019,42.5
Česko,Výhřevnost paliva (GJ na tunu),Ropa surová,2018,42.5
