Ukazatel,Typ údaje,Území,CZ-COICOP,Roky,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2012,101.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2013,100.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2014,99.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2016,99.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2017,99.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2018,101.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2019,102.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2020,105.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2021,109.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2022,121.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2023,131.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",2024,131.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2012,108.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2013,110.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2014,108.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2016,102.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2017,106.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2018,110.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2019,113.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2020,116.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2021,120.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2022,130.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2023,142.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,2024,148.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2012,104.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2013,103.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2014,104.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2016,98.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2017,101.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2018,104.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2019,105.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2020,104.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2021,114.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2022,135.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2023,134.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,2024,136.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2012,117.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2013,107.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2014,101.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2016,99.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2017,98.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2018,96.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2019,95.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2020,91.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2021,91.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2022,91.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2023,95.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,2024,96.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2012,97.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2013,98.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2014,98.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2016,101.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2017,102.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2018,103.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2019,105.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2020,107.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2021,109.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2022,122.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2023,135.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,2024,140.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2012,96.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2013,97.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2014,98.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2016,101.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2017,103.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2018,105.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2019,108.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2020,112.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2021,114.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2022,119.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2023,127.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Vzdělávání,2024,137.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2012,95.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2013,97.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2014,98.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2016,101.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2017,106.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2018,110.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2019,115.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2020,120.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2021,124.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2022,151.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2023,173.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Stravování a ubytování,2024,186.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2012,95.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2013,97.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2014,98.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2016,101.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2017,102.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2018,105.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2019,109.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2020,113.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2021,117.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2022,129.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2023,141.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Ostatní zboží a služby,2024,146.2
