Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Čtvrtletí,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2016,99.6704169961
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2016,98.7256762837
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2016,100.5253703909
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2016,99.2435591349
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2017,100.3113542136
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2017,103.2909960365
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2017,101.7743259955
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2017,103.3879099352
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2018,102.713293557
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2018,100.6717699541
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2018,101.2256905538
