Území;Čtvrtletí;Odvětví ekonomické činnosti;Ukazatel;value
Česko;4. čtvrtletí 2024;A - Zemědělství, lesnictví, rybářství;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.9753135767
Česko;4. čtvrtletí 2024;A - Zemědělství, lesnictví, rybářství;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);38385.5181206313
Česko;4. čtvrtletí 2024;A - Zemědělství, lesnictví, rybářství;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1944.1397010163
Česko;4. čtvrtletí 2024;A - Zemědělství, lesnictví, rybářství;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.3349784924
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1155.9260424645
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-20.7171372414
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);98.2393016338
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);48167.8342396012
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3087.9997310277
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.8500689159
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1177.0876359588
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-19.3231833446
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.3849039951
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);47301.8765177281
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2966.8713832326
Česko;4. čtvrtletí 2024;B-E - Průmysl celkem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.6919387383
Česko;4. čtvrtletí 2024;B - Těžba a dobývání;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);16.7733573144
