Stát;Ukazatel;Čtvrtletí;value
Česko;Zahájené byty;1. čtvrtletí 2025;8297.0
Česko;Zahájené byty;4. čtvrtletí 2024;9296.0
Česko;Zahájené byty;3. čtvrtletí 2024;10088.0
Česko;Zahájené byty;2. čtvrtletí 2024;9165.0
Česko;Zahájené byty;1. čtvrtletí 2024;8063.0
Česko;Zahájené byty;4. čtvrtletí 2023;8399.0
Česko;Zahájené byty;3. čtvrtletí 2023;9198.0
Česko;Zahájené byty;2. čtvrtletí 2023;8609.0
Česko;Zahájené byty;1. čtvrtletí 2023;9498.0
Česko;Zahájené byty;4. čtvrtletí 2022;10268.0
Česko;Zahájené byty;3. čtvrtletí 2022;9277.0
Česko;Zahájené byty;2. čtvrtletí 2022;11885.0
Česko;Zahájené byty;1. čtvrtletí 2022;10812.0
Česko;Zahájené byty;4. čtvrtletí 2021;11448.0
Česko;Zahájené byty;3. čtvrtletí 2021;12826.0
Česko;Zahájené byty;2. čtvrtletí 2021;12278.0
Česko;Zahájené byty;1. čtvrtletí 2021;8440.0
Česko;Zahájené byty;4. čtvrtletí 2020;8101.0
Česko;Zahájené byty;3. čtvrtletí 2020;8510.0
Česko;Zahájené byty;2. čtvrtletí 2020;9507.0
Česko;Zahájené byty;1. čtvrtletí 2020;9136.0
Česko;Zahájené byty;4. čtvrtletí 2019;9540.0
Česko;Zahájené byty;3. čtvrtletí 2019;10036.0
Česko;Zahájené byty;2. čtvrtletí 2019;9535.0
Česko;Zahájené byty;1. čtvrtletí 2019;9566.0
Česko;Zahájené byty;4. čtvrtletí 2018;8379.0
Česko;Zahájené byty;3. čtvrtletí 2018;8186.0
Česko;Zahájené byty;2. čtvrtletí 2018;8938.0
Česko;Zahájené byty;1. čtvrtletí 2018;7618.0
Česko;Zahájené byty;4. čtvrtletí 2017;8182.0
Česko;Zahájené byty;3. čtvrtletí 2017;8316.0
Česko;Zahájené byty;2. čtvrtletí 2017;8498.0
Česko;Zahájené byty;1. čtvrtletí 2017;6525.0
Česko;Zahájené byty;4. čtvrtletí 2016;7766.0
Česko;Zahájené byty;3. čtvrtletí 2016;6975.0
Česko;Zahájené byty;2. čtvrtletí 2016;7319.0
Česko;Zahájené byty;1. čtvrtletí 2016;5164.0
Česko;Zahájené byty;4. čtvrtletí 2015;6703.0
Česko;Zahájené byty;3. čtvrtletí 2015;6745.0
Česko;Zahájené byty;2. čtvrtletí 2015;7873.0
Česko;Zahájené byty;1. čtvrtletí 2015;5057.0
Česko;Zahájené byty;4. čtvrtletí 2014;5802.0
Česko;Zahájené byty;3. čtvrtletí 2014;6417.0
Česko;Zahájené byty;2. čtvrtletí 2014;6683.0
Česko;Zahájené byty;1. čtvrtletí 2014;5449.0
Česko;Zahájené byty;4. čtvrtletí 2013;5169.0
Česko;Zahájené byty;3. čtvrtletí 2013;5975.0
Česko;Zahájené byty;2. čtvrtletí 2013;5767.0
Česko;Zahájené byty;1. čtvrtletí 2013;5197.0
Česko;Zahájené byty;4. čtvrtletí 2012;5596.0
Česko;Zahájené byty;3. čtvrtletí 2012;5710.0
Česko;Zahájené byty;2. čtvrtletí 2012;6002.0
Česko;Zahájené byty;1. čtvrtletí 2012;6545.0
Česko;Zahájené byty;4. čtvrtletí 2011;6119.0
Česko;Zahájené byty;3. čtvrtletí 2011;7104.0
Česko;Zahájené byty;2. čtvrtletí 2011;7593.0
Česko;Zahájené byty;1. čtvrtletí 2011;6719.0
Česko;Zahájené byty;4. čtvrtletí 2010;6168.0
Česko;Zahájené byty;3. čtvrtletí 2010;7671.0
Česko;Zahájené byty;2. čtvrtletí 2010;8024.0
Česko;Zahájené byty;1. čtvrtletí 2010;6272.0
Česko;Zahájené byty;4. čtvrtletí 2009;7628.0
Česko;Zahájené byty;3. čtvrtletí 2009;11234.0
Česko;Zahájené byty;2. čtvrtletí 2009;9736.0
Česko;Zahájené byty;1. čtvrtletí 2009;8721.0
Česko;Zahájené byty;4. čtvrtletí 2008;9686.0
Česko;Zahájené byty;3. čtvrtletí 2008;11914.0
Česko;Zahájené byty;2. čtvrtletí 2008;12361.0
Česko;Zahájené byty;1. čtvrtletí 2008;9570.0
Česko;Zahájené byty;4. čtvrtletí 2007;11978.0
Česko;Zahájené byty;3. čtvrtletí 2007;12580.0
Česko;Zahájené byty;2. čtvrtletí 2007;10073.0
Česko;Zahájené byty;1. čtvrtletí 2007;9165.0
Česko;Zahájené byty;4. čtvrtletí 2006;11842.0
Česko;Zahájené byty;3. čtvrtletí 2006;11699.0
Česko;Zahájené byty;2. čtvrtletí 2006;11089.0
Česko;Zahájené byty;1. čtvrtletí 2006;9117.0
Česko;Zahájené byty;4. čtvrtletí 2005;10414.0
Česko;Zahájené byty;3. čtvrtletí 2005;12280.0
Česko;Zahájené byty;2. čtvrtletí 2005;9042.0
Česko;Zahájené byty;1. čtvrtletí 2005;8645.0
Česko;Zahájené byty;4. čtvrtletí 2004;9948.0
Česko;Zahájené byty;3. čtvrtletí 2004;9725.0
Česko;Zahájené byty;2. čtvrtletí 2004;11219.0
Česko;Zahájené byty;1. čtvrtletí 2004;8145.0
Česko;Zahájené byty;4. čtvrtletí 2003;9297.0
Česko;Zahájené byty;3. čtvrtletí 2003;10307.0
Česko;Zahájené byty;2. čtvrtletí 2003;8617.0
Česko;Zahájené byty;1. čtvrtletí 2003;8275.0
Česko;Zahájené byty;4. čtvrtletí 2002;8815.0
Česko;Zahájené byty;3. čtvrtletí 2002;8824.0
Česko;Zahájené byty;2. čtvrtletí 2002;8127.0
Česko;Zahájené byty;1. čtvrtletí 2002;7822.0
Česko;Zahájené byty;4. čtvrtletí 2001;7402.0
Česko;Zahájené byty;3. čtvrtletí 2001;7397.0
Česko;Zahájené byty;2. čtvrtletí 2001;8396.0
Česko;Zahájené byty;1. čtvrtletí 2001;5788.0
Česko;Zahájené byty;4. čtvrtletí 2000;9387.0
Česko;Zahájené byty;3. čtvrtletí 2000;9080.0
Česko;Zahájené byty;2. čtvrtletí 2000;7259.0
Česko;Zahájené byty;1. čtvrtletí 2000;6651.0
Česko;Zahájené byty;4. čtvrtletí 1999;7442.0
Česko;Zahájené byty;3. čtvrtletí 1999;8867.0
