Ukazatel,Roky,"ČR, kraje, okresy",Typ prostorové jednotky,value
Počet územních jednotek,2024,Česko,Okres,76
Počet územních jednotek,2024,Česko,Správní obvod obce s rozšířenou působností,205
Počet územních jednotek,2024,Česko,Správní obvod obce s pověřeným obecním úřadem,388
Počet územních jednotek,2024,Česko,Obec,6258
Počet územních jednotek,2024,Česko,Městský obvod (městská část) statutárních měst,142
Počet územních jednotek,2024,Česko,Část obce,15106
Počet územních jednotek,2024,Česko,Katastrální území,13074
Počet územních jednotek,2024,Česko,Základní sídelní jednotka,23590
Počet územních jednotek,2024,Hlavní město Praha,Okres,0
Počet územních jednotek,2024,Hlavní město Praha,Správní obvod obce s rozšířenou působností,0
Počet územních jednotek,2024,Hlavní město Praha,Správní obvod obce s pověřeným obecním úřadem,0
Počet územních jednotek,2024,Hlavní město Praha,Obec,1
Počet územních jednotek,2024,Hlavní město Praha,Městský obvod (městská část) statutárních měst,57
Počet územních jednotek,2024,Hlavní město Praha,Část obce,112
Počet územních jednotek,2024,Hlavní město Praha,Katastrální území,112
Počet územních jednotek,2024,Hlavní město Praha,Základní sídelní jednotka,954
Počet územních jednotek,2024,Středočeský kraj,Okres,12
Počet územních jednotek,2024,Středočeský kraj,Správní obvod obce s rozšířenou působností,26
Počet územních jednotek,2024,Středočeský kraj,Správní obvod obce s pověřeným obecním úřadem,55
Počet územních jednotek,2024,Středočeský kraj,Obec,1144
Počet územních jednotek,2024,Středočeský kraj,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Středočeský kraj,Část obce,2807
Počet územních jednotek,2024,Středočeský kraj,Katastrální území,2075
Počet územních jednotek,2024,Středočeský kraj,Základní sídelní jednotka,3813
Počet územních jednotek,2024,Jihočeský kraj,Okres,7
Počet územních jednotek,2024,Jihočeský kraj,Správní obvod obce s rozšířenou působností,17
Počet územních jednotek,2024,Jihočeský kraj,Správní obvod obce s pověřeným obecním úřadem,37
Počet územních jednotek,2024,Jihočeský kraj,Obec,624
Počet územních jednotek,2024,Jihočeský kraj,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Jihočeský kraj,Část obce,1989
Počet územních jednotek,2024,Jihočeský kraj,Katastrální území,1625
Počet územních jednotek,2024,Jihočeský kraj,Základní sídelní jednotka,2683
Počet územních jednotek,2024,Plzeňský kraj,Okres,7
Počet územních jednotek,2024,Plzeňský kraj,Správní obvod obce s rozšířenou působností,15
Počet územních jednotek,2024,Plzeňský kraj,Správní obvod obce s pověřeným obecním úřadem,35
Počet územních jednotek,2024,Plzeňský kraj,Obec,501
Počet územních jednotek,2024,Plzeňský kraj,Městský obvod (městská část) statutárních měst,10
Počet územních jednotek,2024,Plzeňský kraj,Část obce,1539
Počet územních jednotek,2024,Plzeňský kraj,Katastrální území,1395
Počet územních jednotek,2024,Plzeňský kraj,Základní sídelní jednotka,1985
Počet územních jednotek,2024,Karlovarský kraj,Okres,3
Počet územních jednotek,2024,Karlovarský kraj,Správní obvod obce s rozšířenou působností,7
Počet územních jednotek,2024,Karlovarský kraj,Správní obvod obce s pověřeným obecním úřadem,14
Počet územních jednotek,2024,Karlovarský kraj,Obec,134
Počet územních jednotek,2024,Karlovarský kraj,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Karlovarský kraj,Část obce,527
Počet územních jednotek,2024,Karlovarský kraj,Katastrální území,566
Počet územních jednotek,2024,Karlovarský kraj,Základní sídelní jednotka,839
Počet územních jednotek,2024,Ústecký kraj,Okres,7
Počet územních jednotek,2024,Ústecký kraj,Správní obvod obce s rozšířenou působností,16
Počet územních jednotek,2024,Ústecký kraj,Správní obvod obce s pověřeným obecním úřadem,30
Počet územních jednotek,2024,Ústecký kraj,Obec,354
Počet územních jednotek,2024,Ústecký kraj,Městský obvod (městská část) statutárních měst,4
Počet územních jednotek,2024,Ústecký kraj,Část obce,1154
Počet územních jednotek,2024,Ústecký kraj,Katastrální území,1059
Počet územních jednotek,2024,Ústecký kraj,Základní sídelní jednotka,1912
Počet územních jednotek,2024,Liberecký kraj,Okres,4
Počet územních jednotek,2024,Liberecký kraj,Správní obvod obce s rozšířenou působností,10
Počet územních jednotek,2024,Liberecký kraj,Správní obvod obce s pověřeným obecním úřadem,21
Počet územních jednotek,2024,Liberecký kraj,Obec,215
Počet územních jednotek,2024,Liberecký kraj,Městský obvod (městská část) statutárních měst,2
Počet územních jednotek,2024,Liberecký kraj,Část obce,768
Počet územních jednotek,2024,Liberecký kraj,Katastrální území,508
Počet územních jednotek,2024,Liberecký kraj,Základní sídelní jednotka,1146
Počet územních jednotek,2024,Královéhradecký kraj,Okres,5
Počet územních jednotek,2024,Královéhradecký kraj,Správní obvod obce s rozšířenou působností,15
Počet územních jednotek,2024,Královéhradecký kraj,Správní obvod obce s pověřeným obecním úřadem,35
Počet územních jednotek,2024,Královéhradecký kraj,Obec,448
Počet územních jednotek,2024,Královéhradecký kraj,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Královéhradecký kraj,Část obce,1076
Počet územních jednotek,2024,Královéhradecký kraj,Katastrální území,961
Počet územních jednotek,2024,Královéhradecký kraj,Základní sídelní jednotka,1576
Počet územních jednotek,2024,Pardubický kraj,Okres,4
Počet územních jednotek,2024,Pardubický kraj,Správní obvod obce s rozšířenou působností,15
Počet územních jednotek,2024,Pardubický kraj,Správní obvod obce s pověřeným obecním úřadem,26
Počet územních jednotek,2024,Pardubický kraj,Obec,451
Počet územních jednotek,2024,Pardubický kraj,Městský obvod (městská část) statutárních měst,8
Počet územních jednotek,2024,Pardubický kraj,Část obce,992
Počet územních jednotek,2024,Pardubický kraj,Katastrální území,790
Počet územních jednotek,2024,Pardubický kraj,Základní sídelní jednotka,1383
Počet územních jednotek,2024,Kraj Vysočina,Okres,5
Počet územních jednotek,2024,Kraj Vysočina,Správní obvod obce s rozšířenou působností,15
Počet územních jednotek,2024,Kraj Vysočina,Správní obvod obce s pověřeným obecním úřadem,26
Počet územních jednotek,2024,Kraj Vysočina,Obec,704
Počet územních jednotek,2024,Kraj Vysočina,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Kraj Vysočina,Část obce,1405
Počet územních jednotek,2024,Kraj Vysočina,Katastrální území,1263
Počet územních jednotek,2024,Kraj Vysočina,Základní sídelní jednotka,1867
Počet územních jednotek,2024,Jihomoravský kraj,Okres,7
Počet územních jednotek,2024,Jihomoravský kraj,Správní obvod obce s rozšířenou působností,21
Počet územních jednotek,2024,Jihomoravský kraj,Správní obvod obce s pověřeným obecním úřadem,34
Počet územních jednotek,2024,Jihomoravský kraj,Obec,673
Počet územních jednotek,2024,Jihomoravský kraj,Městský obvod (městská část) statutárních měst,29
Počet územních jednotek,2024,Jihomoravský kraj,Část obce,908
Počet územních jednotek,2024,Jihomoravský kraj,Katastrální území,892
Počet územních jednotek,2024,Jihomoravský kraj,Základní sídelní jednotka,1668
Počet územních jednotek,2024,Olomoucký kraj,Okres,5
Počet územních jednotek,2024,Olomoucký kraj,Správní obvod obce s rozšířenou působností,13
Počet územních jednotek,2024,Olomoucký kraj,Správní obvod obce s pověřeným obecním úřadem,20
Počet územních jednotek,2024,Olomoucký kraj,Obec,402
Počet územních jednotek,2024,Olomoucký kraj,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Olomoucký kraj,Část obce,768
Počet územních jednotek,2024,Olomoucký kraj,Katastrální území,769
Počet územních jednotek,2024,Olomoucký kraj,Základní sídelní jednotka,1217
Počet územních jednotek,2024,Zlínský kraj,Okres,4
Počet územních jednotek,2024,Zlínský kraj,Správní obvod obce s rozšířenou působností,13
Počet územních jednotek,2024,Zlínský kraj,Správní obvod obce s pověřeným obecním úřadem,25
Počet územních jednotek,2024,Zlínský kraj,Obec,307
Počet územních jednotek,2024,Zlínský kraj,Městský obvod (městská část) statutárních měst,0
Počet územních jednotek,2024,Zlínský kraj,Část obce,438
Počet územních jednotek,2024,Zlínský kraj,Katastrální území,443
Počet územních jednotek,2024,Zlínský kraj,Základní sídelní jednotka,983
Počet územních jednotek,2024,Moravskoslezský kraj,Okres,6
Počet územních jednotek,2024,Moravskoslezský kraj,Správní obvod obce s rozšířenou působností,22
Počet územních jednotek,2024,Moravskoslezský kraj,Správní obvod obce s pověřeným obecním úřadem,30
Počet územních jednotek,2024,Moravskoslezský kraj,Obec,300
Počet územních jednotek,2024,Moravskoslezský kraj,Městský obvod (městská část) statutárních měst,32
Počet územních jednotek,2024,Moravskoslezský kraj,Část obce,623
Počet územních jednotek,2024,Moravskoslezský kraj,Katastrální území,616
Počet územních jednotek,2024,Moravskoslezský kraj,Základní sídelní jednotka,1564
