Ukazatel,Rok sčítání,Věk,Pohlaví,Území,Počet živě narozených dětí,value
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,Ženy ve věku 15 a více let celkem,4512181
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,0,993155
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,1,822489
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,2,1906429
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,3,543154
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,4,108271
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,5 a více,41858
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Česká republika,Nezjištěno,96825
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,Ženy ve věku 15 a více let celkem,570938
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,0,182759
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,1,127912
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,2,195387
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,3,37675
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,4,6117
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,5 a více,1869
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Hlavní město Praha,Nezjištěno,19219
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,Ženy ve věku 15 a více let celkem,589186
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,0,119914
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,1,113102
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,2,262255
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,3,66009
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,4,11550
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,5 a více,4042
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Středočeský kraj,Nezjištěno,12314
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,Ženy ve věku 15 a více let celkem,270245
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,0,54391
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,1,45494
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,2,120714
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,3,35118
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,4,6890
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,5 a více,2481
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihočeský kraj,Nezjištěno,5157
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,Ženy ve věku 15 a více let celkem,248039
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,0,51178
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,1,47199
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,2,109479
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,3,27048
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,4,5090
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,5 a více,1928
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Plzeňský kraj,Nezjištěno,6117
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,Ženy ve věku 15 a více let celkem,120179
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,0,23204
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,1,24784
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,2,48608
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,3,15080
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,4,3646
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,5 a více,1725
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Karlovarský kraj,Nezjištěno,3132
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,Ženy ve věku 15 a více let celkem,338116
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,0,65702
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,1,68070
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,2,139876
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,3,41628
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,4,10218
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,5 a více,5354
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Ústecký kraj,Nezjištěno,7268
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,Ženy ve věku 15 a více let celkem,184947
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,0,36871
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,1,34355
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,2,79483
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,3,23193
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,4,4921
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,5 a více,1944
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Liberecký kraj,Nezjištěno,4180
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,Ženy ve věku 15 a více let celkem,231074
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,0,45656
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,1,38720
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,2,105188
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,3,29684
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,4,5379
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,5 a více,2012
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Královéhradecký kraj,Nezjištěno,4435
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,Ženy ve věku 15 a více let celkem,216763
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,0,43270
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,1,33846
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,2,96878
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,3,30227
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,4,5983
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,5 a více,2229
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Pardubický kraj,Nezjištěno,4330
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,Ženy ve věku 15 a více let celkem,211619
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,0,41840
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,1,28140
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,2,94009
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,3,34623
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,4,7021
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,5 a více,2474
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Kraj Vysočina,Nezjištěno,3512
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,Ženy ve věku 15 a více let celkem,513507
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,0,119853
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,1,91245
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,2,212076
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,3,63634
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,4,12666
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,5 a více,4417
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Jihomoravský kraj,Nezjištěno,9616
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,Ženy ve věku 15 a více let celkem,267847
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,0,55479
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,1,43632
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,2,117004
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,3,36941
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,4,7400
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,5 a více,2801
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Olomoucký kraj,Nezjištěno,4590
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,Ženy ve věku 15 a více let celkem,244729
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,0,50387
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,1,36790
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,2,108170
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,3,35811
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,4,7111
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,5 a více,2321
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Zlínský kraj,Nezjištěno,4139
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,Ženy ve věku 15 a více let celkem,504992
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,0,102651
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,1,89200
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,2,217302
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,3,66483
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,4,14279
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,5 a více,6261
Počet obyvatel (obvyklý pobyt),2021,15 a více let,Ženy,Moravskoslezský kraj,Nezjištěno,8816
