Území,Roky,Ukazatel,value
Česko,2019,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",524882.62
Česko,2019,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",399568.08836061
Česko,2019,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",78971.1098356971
Česko,2019,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",78005.857907428
Česko,2019,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",91859.765774678
Česko,2019,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",145920.910439495
Česko,2019,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4810.44440331269
Česko,2019,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",125314.53163939
Česko,2019,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",17745.791
Česko,2018,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",501983.83
Česko,2018,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",487526.285
Česko,2018,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",362659.208748365
Česko,2018,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",73689.3901108876
Česko,2018,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",73143.348382215
Česko,2018,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",88428.386043447
Česko,2018,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",123517.223610714
Česko,2018,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",3880.86060110147
Česko,2018,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",124867.076251635
Česko,2018,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",14457.545
Česko,2017,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",453430.627
Česko,2017,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",437541.851
Česko,2017,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",314436.653441008
Česko,2017,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",59791.2469525982
Česko,2017,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",48462.2183752516
Česko,2017,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",88662.2748556187
Česko,2017,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",114584.13013488
Česko,2017,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",2936.78312266008
Česko,2017,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",123105.197558992
Česko,2017,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",15888.776
Česko,2016,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",424609.0
Česko,2016,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",410719.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",292297.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",57574.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",42645.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",71171.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",117927.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",2980.0
Česko,2016,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",118422.0
Česko,2016,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",13890.0
Česko,2015,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",459051.0
Česko,2015,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",446104.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",326340.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",51603.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",56185.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",62155.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",151693.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4704.0
Česko,2015,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",119764.0
Česko,2015,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",12947.0
Česko,2014,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",428276.0
Česko,2014,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",417013.0
Česko,2014,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",302575.0
