Ukazatel;Rok sčítání;Typ domácnosti;Území;Počet závislých dětí;value
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Česká republika;Hospodařící domácnosti tvořené jednou rodinou celkem;2773930
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Česká republika;0;1503696
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Česká republika;1;611453
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Česká republika;2;542619
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Česká republika;3 a více;116162
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Hlavní město Praha;Hospodařící domácnosti tvořené jednou rodinou celkem;323764
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Hlavní město Praha;0;171263
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Hlavní město Praha;1;78248
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Hlavní město Praha;2;62697
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Hlavní město Praha;3 a více;11556
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Středočeský kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;376494
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Středočeský kraj;0;191654
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Středočeský kraj;1;85490
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Středočeský kraj;2;82327
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Středočeský kraj;3 a více;17023
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihočeský kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;169007
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihočeský kraj;0;92846
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihočeský kraj;1;35750
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihočeský kraj;2;33232
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihočeský kraj;3 a více;7179
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Plzeňský kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;155522
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Plzeňský kraj;0;86441
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Plzeňský kraj;1;34093
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Plzeňský kraj;2;29567
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Plzeňský kraj;3 a více;5421
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Karlovarský kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;72498
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Karlovarský kraj;0;39514
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Karlovarský kraj;1;17706
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Karlovarský kraj;2;12467
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Karlovarský kraj;3 a více;2811
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Ústecký kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;207583
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Ústecký kraj;0;110131
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Ústecký kraj;1;51815
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Ústecký kraj;2;36874
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Ústecký kraj;3 a více;8763
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Liberecký kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;115005
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Liberecký kraj;0;61383
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Liberecký kraj;1;26364
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Liberecký kraj;2;22310
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Liberecký kraj;3 a více;4948
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Královéhradecký kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;144387
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Královéhradecký kraj;0;80296
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Královéhradecký kraj;1;30127
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Královéhradecký kraj;2;27961
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Královéhradecký kraj;3 a více;6003
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Pardubický kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;136628
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Pardubický kraj;0;75051
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Pardubický kraj;1;28091
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Pardubický kraj;2;27386
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Pardubický kraj;3 a více;6100
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Kraj Vysočina;Hospodařící domácnosti tvořené jednou rodinou celkem;132891
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Kraj Vysočina;0;75673
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Kraj Vysočina;1;24458
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Kraj Vysočina;2;26109
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Kraj Vysočina;3 a více;6651
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihomoravský kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;313064
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihomoravský kraj;0;171027
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihomoravský kraj;1;66202
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihomoravský kraj;2;62620
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Jihomoravský kraj;3 a více;13215
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Olomoucký kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;166342
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Olomoucký kraj;0;91951
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Olomoucký kraj;1;35042
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Olomoucký kraj;2;32441
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Olomoucký kraj;3 a více;6908
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Zlínský kraj;Hospodařící domácnosti tvořené jednou rodinou celkem;150510
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Zlínský kraj;0;84728
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Zlínský kraj;1;29913
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Zlínský kraj;2;29251
Počet domácností tvořených jednou rodinou;2021;Domácnosti tvořené jednou rodinou;Zlínský kraj;3 a více;6618
