Rok sčítání;Území;Ukazatel;value
2021;Česká republika;Počet hospodařících domácností;4813103.0
2021;Česká republika;Průměrný počet osob na hospodařící domácnost;2.152436796
2021;Hlavní město Praha;Počet hospodařících domácností;658001.0
2021;Hlavní město Praha;Průměrný počet osob na hospodařící domácnost;1.9454271346
2021;Středočeský kraj;Počet hospodařících domácností;612940.0
2021;Středočeský kraj;Průměrný počet osob na hospodařící domácnost;2.2744705844
2021;Jihočeský kraj;Počet hospodařících domácností;284812.0
2021;Jihočeský kraj;Průměrný počet osob na hospodařící domácnost;2.1875588107
2021;Plzeňský kraj;Počet hospodařících domácností;267112.0
2021;Plzeňský kraj;Průměrný počet osob na hospodařící domácnost;2.1401509479
2021;Karlovarský kraj;Počet hospodařících domácností;135416.0
2021;Karlovarský kraj;Průměrný počet osob na hospodařící domácnost;2.0191188634
2021;Ústecký kraj;Počet hospodařících domácností;377305.0
2021;Ústecký kraj;Průměrný počet osob na hospodařící domácnost;2.057460145
2021;Liberecký kraj;Počet hospodařících domácností;201102.0
2021;Liberecký kraj;Průměrný počet osob na hospodařící domácnost;2.1276317491
2021;Královéhradecký kraj;Počet hospodařících domácností;244683.0
2021;Královéhradecký kraj;Průměrný počet osob na hospodařící domácnost;2.1662886265
2021;Pardubický kraj;Počet hospodařících domácností;224265.0
2021;Pardubický kraj;Průměrný počet osob na hospodařící domácnost;2.2347356921
2021;Kraj Vysočina;Počet hospodařících domácností;210806.0
2021;Kraj Vysočina;Průměrný počet osob na hospodařící domácnost;2.3235202034
2021;Jihomoravský kraj;Počet hospodařících domácností;529939.0
2021;Jihomoravský kraj;Průměrný počet osob na hospodařící domácnost;2.2266109873
2021;Olomoucký kraj;Počet hospodařících domácností;280121.0
2021;Olomoucký kraj;Průměrný počet osob na hospodařící domácnost;2.180325645
2021;Zlínský kraj;Počet hospodařících domácností;245325.0
2021;Zlínský kraj;Průměrný počet osob na hospodařící domácnost;2.2659003363
2021;Moravskoslezský kraj;Počet hospodařících domácností;541276.0
2021;Moravskoslezský kraj;Průměrný počet osob na hospodařící domácnost;2.1167833046
