Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty,2023,106.0752768414
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty,2024,106.3351559962
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2016,100.0761528611
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2017,96.8865483402
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2018,100.0900395312
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2019,99.9319250368
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2020,92.603454272
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2021,101.6818010456
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2022,101.1721199439
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2023,92.8067558298
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky",2024,101.8968512256
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2016,102.4992308524
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2017,102.5329034127
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2018,100.1342556085
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2019,101.6565218148
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2020,103.0165337531
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2021,107.7720475875
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2022,95.0156581661
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2023,95.8192595688
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.4 Velkoobchod s výrobky převážně pro domácnost,2024,100.3956134863
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2016,88.0266103724
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2017,104.004942367
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2018,105.1740064309
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2019,102.5420087627
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2020,101.5258240419
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2021,102.6072863693
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2022,97.1149489724
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2023,98.1414281138
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.5 Velkoobchod s počítačovým a komunikačním zařízením,2024,102.4008805142
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím",2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím",2016,93.0044932615
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím",2017,108.0226294196
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím",2018,104.0398164264
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46.6 Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím",2019,100.2451061319
