Území;Očištění;Typ indexu;Ukazatel;Měsíce;value
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2025;101.4423357979
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2025;101.5077024754
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2025;99.1746263072
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2024;97.2813114502
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2024;97.6486241448
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2024;98.4105250913
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2024;101.8991460216
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2024;101.8374647172
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2024;98.4164809618
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2024;97.3848889551
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2024;97.5754808087
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2024;100.4789501717
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2024;97.7375550564
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2024;99.0417124765
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2024;100.2423185281
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2023;99.63218641
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2023;97.1891492886
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2023;101.1184556181
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2023;95.2629429041
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2023;97.8312947526
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2023;96.7685693141
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2023;99.952909798
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2023;100.0355072842
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2023;100.8176077494
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2023;102.0458339243
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2023;101.7125556979
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2023;97.7520392624
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2022;104.3558424516
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2022;100.4184296396
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2022;102.7669073746
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2022;107.9634879623
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2022;106.3754854322
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2022;100.595416382
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2022;103.059801541
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2022;102.0631848208
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2022;96.6180354997
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2022;99.8305552299
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2022;100.3022799922
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2022;101.5179857812
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2021;98.3620702248
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2021;101.2786532665
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2021;95.6979428163
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2021;96.747680395
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2021;99.1827623616
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2021;106.4099660556
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2021;111.9161771083
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2021;123.4559634157
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2021;148.9725218526
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2021;113.5169508662
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2021;97.9956067495
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);leden 2021;100.9158695917
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);prosinec 2020;101.6287465019
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);listopad 2020;102.3871608312
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);říjen 2020;100.9937175957
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);září 2020;98.5822845324
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);srpen 2020;96.1667545137
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červenec 2020;95.8366627275
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);červen 2020;89.6911636282
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);květen 2020;76.9857917051
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);duben 2020;67.7751166568
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);březen 2020;88.4192488285
Česko;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Index průmyslové produkce stále ceny (%);únor 2020;100.3816594146
