Stát;Typ ceny;Roky;Ukazatel;Typ indexu;value
Česko;Běžné ceny;2024;Index stavební produkce - Celkem (%);Meziroční index;100.7848916229
Česko;Běžné ceny;2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);119.9958210308
Česko;Běžné ceny;2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;99.2366030162
Česko;Běžné ceny;2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);118.0079878542
Česko;Běžné ceny;2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;103.7169645237
Česko;Běžné ceny;2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);123.7736443683
Česko;Běžné ceny;2023;Index stavební produkce - Celkem (%);Meziroční index;102.4403109866
Česko;Běžné ceny;2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);119.0613187142
Česko;Běžné ceny;2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;103.1480735088
Česko;Běžné ceny;2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);118.9157873883
Česko;Běžné ceny;2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;101.1262569656
Česko;Běžné ceny;2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);119.3378970708
Česko;Běžné ceny;2022;Index stavební produkce - Celkem (%);Meziroční index;116.2250656685
Česko;Běžné ceny;2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);116.2250656675
Česko;Běžné ceny;2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;115.2864841225
Česko;Běžné ceny;2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);115.2864841225
Česko;Běžné ceny;2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;118.0088145777
Česko;Běžné ceny;2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);118.0088145767
Česko;Běžné ceny;2021;Index stavební produkce - Celkem (%);Meziroční index;108.4839722326
Česko;Běžné ceny;2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);99.9999999992
Česko;Běžné ceny;2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;109.9287966262
Česko;Běžné ceny;2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);100.0
Česko;Běžné ceny;2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;105.8402480108
Česko;Běžné ceny;2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);99.9999999992
Česko;Běžné ceny;2020;Index stavební produkce - Celkem (%);Meziroční index;96.0954011209
Česko;Běžné ceny;2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);92.1795155
Česko;Běžné ceny;2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;93.3909758951
Česko;Běžné ceny;2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);90.9679747883
Česko;Běžné ceny;2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;101.4721272338
Česko;Běžné ceny;2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);94.4820159425
