Ukazatel;ČR, kraje, okresy;Druh důchodu;Pohlaví;Roky;value
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2014;10741
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2015;10994
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2016;11078
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2017;11435
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2018;11960
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2019;12996
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2020;13943
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2021;14815
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2022;17320
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;Celkem;2023;19437
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2014;11482
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2015;11758
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2016;11848
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2017;12234
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2018;12799
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2019;13859
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2020;14876
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2021;15811
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2022;18475
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;muž;2023;20163
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2014;10246
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2015;10480
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2016;10555
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2017;10887
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2018;11381
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2019;12396
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2020;13289
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchody celkem;žena;2021;14115
