Šetření,Kumulace čtvrtletí,Území,Ukazatel,value
Pracovištní metoda,Q1-Q2 2025,Kraj Vysočina,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.6421366756
Pracovištní metoda,Q1-Q2 2025,Kraj Vysočina,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.2277458438
Pracovištní metoda,Q1-Q2 2025,Jihomoravský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),471.2345203981
Pracovištní metoda,Q1-Q2 2025,Jihomoravský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),47122.4518211771
Pracovištní metoda,Q1-Q2 2025,Jihomoravský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3252538234
Pracovištní metoda,Q1-Q2 2025,Jihomoravský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.7929595267
Pracovištní metoda,Q1-Q2 2025,Olomoucký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),222.7954843426
Pracovištní metoda,Q1-Q2 2025,Olomoucký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42101.853569245
Pracovištní metoda,Q1-Q2 2025,Olomoucký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7034571276
Pracovištní metoda,Q1-Q2 2025,Olomoucký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7302582165
Pracovištní metoda,Q1-Q2 2025,Zlínský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),201.5407157037
Pracovištní metoda,Q1-Q2 2025,Zlínský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42221.3238608469
Pracovištní metoda,Q1-Q2 2025,Zlínský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7135352997
Pracovištní metoda,Q1-Q2 2025,Zlínský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.1298835351
Pracovištní metoda,Q1-Q2 2025,Moravskoslezský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),412.8377603749
Pracovištní metoda,Q1-Q2 2025,Moravskoslezský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42942.1677450931
Pracovištní metoda,Q1-Q2 2025,Moravskoslezský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.0024477589
Pracovištní metoda,Q1-Q2 2025,Moravskoslezský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0767663547
