Ukazatel;Kraje;Roky;value
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2024;9.477033259
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2023;19.9412952
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2022;61.20146728
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2021;12.62100755
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2020;8.142264735
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2019;11.89452533
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2018;10.85129522
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2017;10.88566823
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2016;10.26060475
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2015;6.629666212
Celkový přírůstek/úbytek na 1000 obyvatel;Hlavní město Praha;2014;12.69148532
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2024;7.0394793183
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2023;11.41012108
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2022;36.82725302
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2021;10.31589718
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2020;9.232932612
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2019;11.47654636
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2018;12.1506424
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2017;10.26405819
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2016;9.094325216
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2015;8.765666632
Celkový přírůstek/úbytek na 1000 obyvatel;Středočeský kraj;2014;9.901927908
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2024;-1.9567613915
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2023;3.366570959
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2022;23.49046508
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2021;0.982262693
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2020;-0.826396213
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2019;3.031975682
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2018;3.022269932
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2017;2.212209393
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2016;1.485178762
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2015;0.837920451
Celkový přírůstek/úbytek na 1000 obyvatel;Jihočeský kraj;2014;0.931056301
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2024;2.0699769948
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2023;13.08862768
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2022;44.59781566
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2021;4.069717078
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2020;1.932681096
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2019;8.896551842
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2018;6.618594887
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2017;3.775715262
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2016;3.451988962
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2015;2.593522274
Celkový přírůstek/úbytek na 1000 obyvatel;Plzeňský kraj;2014;2.881568242
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2024;-6.4170977124
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2023;5.024341954
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2022;35.63854247
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2021;-6.380496128
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2020;-4.599115529
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2019;-0.786955534
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2018;-2.675381411
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2017;-3.589930633
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2016;-3.548401201
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2015;-4.907774048
Celkový přírůstek/úbytek na 1000 obyvatel;Karlovarský kraj;2014;-3.388021875
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2024;-3.4768701
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2023;-1.437050307
Celkový přírůstek/úbytek na 1000 obyvatel;Ústecký kraj;2022;16.58916662
