Ukazatel,Území,Pořadí narození,Rodinný stav matky,Věk matky (jednoleté skupiny),Roky,value
Živě narození,Česko,Celkem,Celkem,16,2006,246.0
Živě narození,Česko,Celkem,Celkem,16,2005,264.0
Živě narození,Česko,Celkem,Celkem,16,2004,265.0
Živě narození,Česko,Celkem,Celkem,16,2003,222.0
Živě narození,Česko,Celkem,Celkem,16,2002,247.0
Živě narození,Česko,Celkem,Celkem,16,2001,220.0
Živě narození,Česko,Celkem,Celkem,17,2024,
Živě narození,Česko,Celkem,Celkem,17,2023,267.0
Živě narození,Česko,Celkem,Celkem,17,2022,327.0
Živě narození,Česko,Celkem,Celkem,17,2021,320.0
Živě narození,Česko,Celkem,Celkem,17,2020,358.0
Živě narození,Česko,Celkem,Celkem,17,2019,355.0
Živě narození,Česko,Celkem,Celkem,17,2018,353.0
Živě narození,Česko,Celkem,Celkem,17,2017,419.0
Živě narození,Česko,Celkem,Celkem,17,2016,417.0
Živě narození,Česko,Celkem,Celkem,17,2015,447.0
Živě narození,Česko,Celkem,Celkem,17,2014,412.0
Živě narození,Česko,Celkem,Celkem,17,2013,422.0
Živě narození,Česko,Celkem,Celkem,17,2012,483.0
Živě narození,Česko,Celkem,Celkem,17,2011,511.0
Živě narození,Česko,Celkem,Celkem,17,2010,475.0
Živě narození,Česko,Celkem,Celkem,17,2009,579.0
Živě narození,Česko,Celkem,Celkem,17,2008,608.0
Živě narození,Česko,Celkem,Celkem,17,2007,518.0
Živě narození,Česko,Celkem,Celkem,17,2006,551.0
Živě narození,Česko,Celkem,Celkem,17,2005,549.0
Živě narození,Česko,Celkem,Celkem,17,2004,585.0
Živě narození,Česko,Celkem,Celkem,17,2003,594.0
Živě narození,Česko,Celkem,Celkem,17,2002,583.0
Živě narození,Česko,Celkem,Celkem,17,2001,513.0
Živě narození,Česko,Celkem,Celkem,18,2024,
Živě narození,Česko,Celkem,Celkem,18,2023,482.0
Živě narození,Česko,Celkem,Celkem,18,2022,498.0
Živě narození,Česko,Celkem,Celkem,18,2021,551.0
Živě narození,Česko,Celkem,Celkem,18,2020,601.0
Živě narození,Česko,Celkem,Celkem,18,2019,644.0
Živě narození,Česko,Celkem,Celkem,18,2018,696.0
Živě narození,Česko,Celkem,Celkem,18,2017,770.0
Živě narození,Česko,Celkem,Celkem,18,2016,744.0
Živě narození,Česko,Celkem,Celkem,18,2015,752.0
Živě narození,Česko,Celkem,Celkem,18,2014,771.0
Živě narození,Česko,Celkem,Celkem,18,2013,801.0
Živě narození,Česko,Celkem,Celkem,18,2012,952.0
Živě narození,Česko,Celkem,Celkem,18,2011,818.0
Živě narození,Česko,Celkem,Celkem,18,2010,939.0
Živě narození,Česko,Celkem,Celkem,18,2009,1099.0
Živě narození,Česko,Celkem,Celkem,18,2008,1019.0
Živě narození,Česko,Celkem,Celkem,18,2007,1010.0
Živě narození,Česko,Celkem,Celkem,18,2006,1038.0
Živě narození,Česko,Celkem,Celkem,18,2005,1031.0
Živě narození,Česko,Celkem,Celkem,18,2004,1061.0
Živě narození,Česko,Celkem,Celkem,18,2003,1078.0
Živě narození,Česko,Celkem,Celkem,18,2002,1077.0
Živě narození,Česko,Celkem,Celkem,18,2001,1084.0
Živě narození,Česko,Celkem,Celkem,19,2024,
Živě narození,Česko,Celkem,Celkem,19,2023,797.0
Živě narození,Česko,Celkem,Celkem,19,2022,852.0
Živě narození,Česko,Celkem,Celkem,19,2021,852.0
Živě narození,Česko,Celkem,Celkem,19,2020,974.0
Živě narození,Česko,Celkem,Celkem,19,2019,1029.0
Živě narození,Česko,Celkem,Celkem,19,2018,1119.0
Živě narození,Česko,Celkem,Celkem,19,2017,1189.0
Živě narození,Česko,Celkem,Celkem,19,2016,1192.0
Živě narození,Česko,Celkem,Celkem,19,2015,1164.0
Živě narození,Česko,Celkem,Celkem,19,2014,1253.0
Živě narození,Česko,Celkem,Celkem,19,2013,1334.0
Živě narození,Česko,Celkem,Celkem,19,2012,1338.0
Živě narození,Česko,Celkem,Celkem,19,2011,1434.0
Živě narození,Česko,Celkem,Celkem,19,2010,1603.0
Živě narození,Česko,Celkem,Celkem,19,2009,1594.0
Živě narození,Česko,Celkem,Celkem,19,2008,1660.0
Živě narození,Česko,Celkem,Celkem,19,2007,1677.0
Živě narození,Česko,Celkem,Celkem,19,2006,1573.0
Živě narození,Česko,Celkem,Celkem,19,2005,1567.0
Živě narození,Česko,Celkem,Celkem,19,2004,1657.0
Živě narození,Česko,Celkem,Celkem,19,2003,1724.0
Živě narození,Česko,Celkem,Celkem,19,2002,1798.0
Živě narození,Česko,Celkem,Celkem,19,2001,1930.0
Živě narození,Česko,Celkem,Celkem,20,2024,
Živě narození,Česko,Celkem,Celkem,20,2023,1162.0
Živě narození,Česko,Celkem,Celkem,20,2022,1123.0
Živě narození,Česko,Celkem,Celkem,20,2021,1183.0
