Ukazatel,Roky,"ČR, kraje",Věk ženicha (pětileté skupiny),value
Sňatky,2024,Královéhradecký kraj,55 - 59,109
Sňatky,2024,Královéhradecký kraj,60 - 64,76
Sňatky,2024,Královéhradecký kraj,65 a více,70
Sňatky,2024,Pardubický kraj,Celkem,2107
Sňatky,2024,Pardubický kraj,16 - 19,3
Sňatky,2024,Pardubický kraj,20 - 24,93
Sňatky,2024,Pardubický kraj,25 - 29,428
Sňatky,2024,Pardubický kraj,30 - 34,535
Sňatky,2024,Pardubický kraj,35 - 39,337
Sňatky,2024,Pardubický kraj,40 - 44,188
Sňatky,2024,Pardubický kraj,45 - 49,180
Sňatky,2024,Pardubický kraj,50 - 54,144
Sňatky,2024,Pardubický kraj,55 - 59,79
Sňatky,2024,Pardubický kraj,60 - 64,59
Sňatky,2024,Pardubický kraj,65 a více,61
Sňatky,2024,Kraj Vysočina,Celkem,1985
Sňatky,2024,Kraj Vysočina,16 - 19,4
Sňatky,2024,Kraj Vysočina,20 - 24,112
Sňatky,2024,Kraj Vysočina,25 - 29,476
Sňatky,2024,Kraj Vysočina,30 - 34,542
Sňatky,2024,Kraj Vysočina,35 - 39,302
Sňatky,2024,Kraj Vysočina,40 - 44,176
Sňatky,2024,Kraj Vysočina,45 - 49,137
Sňatky,2024,Kraj Vysočina,50 - 54,85
Sňatky,2024,Kraj Vysočina,55 - 59,69
Sňatky,2024,Kraj Vysočina,60 - 64,44
Sňatky,2024,Kraj Vysočina,65 a více,38
Sňatky,2024,Jihomoravský kraj,Celkem,5044
Sňatky,2024,Jihomoravský kraj,16 - 19,3
Sňatky,2024,Jihomoravský kraj,20 - 24,188
Sňatky,2024,Jihomoravský kraj,25 - 29,1020
Sňatky,2024,Jihomoravský kraj,30 - 34,1334
Sňatky,2024,Jihomoravský kraj,35 - 39,836
Sňatky,2024,Jihomoravský kraj,40 - 44,547
Sňatky,2024,Jihomoravský kraj,45 - 49,388
Sňatky,2024,Jihomoravský kraj,50 - 54,247
Sňatky,2024,Jihomoravský kraj,55 - 59,183
Sňatky,2024,Jihomoravský kraj,60 - 64,132
Sňatky,2024,Jihomoravský kraj,65 a více,166
Sňatky,2024,Olomoucký kraj,Celkem,2419
Sňatky,2024,Olomoucký kraj,16 - 19,1
Sňatky,2024,Olomoucký kraj,20 - 24,85
Sňatky,2024,Olomoucký kraj,25 - 29,472
Sňatky,2024,Olomoucký kraj,30 - 34,616
Sňatky,2024,Olomoucký kraj,35 - 39,389
Sňatky,2024,Olomoucký kraj,40 - 44,235
Sňatky,2024,Olomoucký kraj,45 - 49,211
Sňatky,2024,Olomoucký kraj,50 - 54,162
Sňatky,2024,Olomoucký kraj,55 - 59,110
Sňatky,2024,Olomoucký kraj,60 - 64,74
Sňatky,2024,Olomoucký kraj,65 a více,64
Sňatky,2024,Zlínský kraj,Celkem,2229
Sňatky,2024,Zlínský kraj,16 - 19,1
Sňatky,2024,Zlínský kraj,20 - 24,92
Sňatky,2024,Zlínský kraj,25 - 29,468
Sňatky,2024,Zlínský kraj,30 - 34,631
Sňatky,2024,Zlínský kraj,35 - 39,349
Sňatky,2024,Zlínský kraj,40 - 44,225
Sňatky,2024,Zlínský kraj,45 - 49,171
Sňatky,2024,Zlínský kraj,50 - 54,139
Sňatky,2024,Zlínský kraj,55 - 59,72
Sňatky,2024,Zlínský kraj,60 - 64,39
Sňatky,2024,Zlínský kraj,65 a více,42
Sňatky,2024,Moravskoslezský kraj,Celkem,4916
Sňatky,2024,Moravskoslezský kraj,16 - 19,7
Sňatky,2024,Moravskoslezský kraj,20 - 24,223
Sňatky,2024,Moravskoslezský kraj,25 - 29,978
Sňatky,2024,Moravskoslezský kraj,30 - 34,1132
Sňatky,2024,Moravskoslezský kraj,35 - 39,761
Sňatky,2024,Moravskoslezský kraj,40 - 44,477
Sňatky,2024,Moravskoslezský kraj,45 - 49,433
Sňatky,2024,Moravskoslezský kraj,50 - 54,329
Sňatky,2024,Moravskoslezský kraj,55 - 59,250
Sňatky,2024,Moravskoslezský kraj,60 - 64,171
Sňatky,2024,Moravskoslezský kraj,65 a více,155
