Území,Právní forma,Ukazatel,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2014,219390937.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2013,208442979.26
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2012,191008769.3
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2011,187160594.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2010,187984179.89
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2009,180334759.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2008,204237935.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Daňové příjmy ,2007,187430351.95
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2024,79863379.47116
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2023,70177720.40895
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2022,59564170.75442
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2021,48647357.82876
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2020,43904316.78913
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2019,42263277.13247
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2018,38992127.08582
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2017,34257762.33395
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2016,35548283.46908
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2015,36610204.83889
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2014,37923711.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2013,33291026.02
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2012,33999205.94
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2011,34305836.37
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2010,32794932.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2009,31165331.23
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2008,30164843.25
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Nedaňové příjmy ,2007,28156274.51
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2024,9272585.58768
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2023,7262827.73561
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2022,10215856.65794
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2021,10714283.41722
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2020,7241459.31
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2019,7182018.75121
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2018,7800848.50127
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2017,6696327.23679
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2016,8526151.78531
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2015,5784861.58367
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2014,6665136.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2013,7764968.65
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2012,9490016.66
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2011,9348607.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2010,13945555.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2009,14410539.8
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2008,16280748.68
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kapitalové příjmy ,2007,13082619.29
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2024,322686224.80723
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2023,330907866.95797
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2022,299207204.89604
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2021,293518348.818
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2020,283242959.67169
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2019,233508392.81266
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2018,198455301.17018
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2017,167588862.12949
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2016,156768341.59129
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2015,179750470.87819
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2014,161626392.48
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2013,150432447.88
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2012,148734967.9
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2011,179683881.44
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2010,194009821.48
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2009,175820954.95
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2008,153937016.5
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Přijaté transféry,2007,150719980.41
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2024,815740301.872018
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2023,783596758.880125
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2022,723427169.611552
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2021,647443191.362111
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2020,622186558.80647
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2019,571391639.431019
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2018,531701076.727249
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2017,448137582.230089
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2016,397092709.872369
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2015,427361559.64776
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2014,414454545.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2013,382089194.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2012,381300448.62
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2011,412891980.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2010,430235482.61
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2009,427854588.24
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2008,389942484.54
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,2007,369963092.32
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2024,636754416.640171
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2023,613144451.466673
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2022,564772480.960189
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2021,513102259.755328
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2020,483134009.267899
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2019,444605662.31708
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Běžné výdaje ,2018,405386361.266298
