Ukazatel;Území;Druh zemědělské plodiny;Roky;value
Sklizeň zemědělských plodin (t);Česko;Obiloviny na zrno;2024;7520784.75
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2009;7817451.42
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2010;6866275.88
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2011;8270084.39
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2012;6572818.22
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2013;7499441.52
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2014;8766812.32
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2015;8173492.1
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2016;8575453.95
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2017;7447523.05
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2018;6957999.29
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2019;7637865.72
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2020;8113071.64
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2021;8212868.8
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2022;8209286.04
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2023;7986774.61
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny a kukuřice na zrno;2024;7511605.02
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2009;6927877.74
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2010;6173686.4
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2011;7206348.69
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2012;5644670.84
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2013;6824061.25
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2014;7934576.86
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2015;7730783.06
Sklizeň zemědělských plodin (t);Česko;Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale);2016;7729688.86
