Ukazatel;Území;Druh dopravy;Roky;value
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2012;344987.66
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2013;337978.41
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2014;349515.07
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2015;350919.5
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2016;332762.73
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2017;329732.93
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2018;340177.98
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2019;354723.75
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2020;233714.494
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2021;251642.64
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2022;334831.6
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2023;347109.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2001;3947.331
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2002;4291.369
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2003;4583.771
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2004;5750.336
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2005;6329.859
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2006;6709.621
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2007;6977.021
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2008;7157.917
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2009;7354.222
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2010;7466.078
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2011;7524.62
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2012;6419.58
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2013;6154.99
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2014;5622.62
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2015;5393.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2016;5999.96
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2017;6656.84
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2018;7233.97
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2019;6922.12
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2020;1117.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2021;2074.8
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2022;4065.4
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2023;4262.1
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2001;779.614
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2002;856.944
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2003;1116.717
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2004;1084.5
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2005;1105.23
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2006;1099.902
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2007;1106.455
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2008;866.238
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2009;1183.7
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2010;858.439
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2011;991.918
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2012;512.685
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2013;1084.057
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2014;1306.887
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2015;920.552
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2016;801.067
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2017;813.287
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2018;833.54
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2019;930.133
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2020;618.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2021;570.904
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2022;421.3
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Vnitrozemská vodní doprava;2023;600.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Městská hromadná doprava;2001;
