Stát;Ukazatel;Kumulace měsíců;value
Česko;Zahájené byty;01-03 2025;8297.0
Česko;Zahájené byty;01-02 2025;5160.0
Česko;Zahájené byty;01 2025;2553.0
Česko;Zahájené byty;01-12 2024;36612.0
Česko;Zahájené byty;01-11 2024;33490.0
Česko;Zahájené byty;01-10 2024;29887.0
Česko;Zahájené byty;01-09 2024;27316.0
Česko;Zahájené byty;01-08 2024;22892.0
Česko;Zahájené byty;01-07 2024;20123.0
Česko;Zahájené byty;01-06 2024;17228.0
Česko;Zahájené byty;01-05 2024;14524.0
Česko;Zahájené byty;01-04 2024;11705.0
Česko;Zahájené byty;01-03 2024;8063.0
Česko;Zahájené byty;01-02 2024;5357.0
Česko;Zahájené byty;01 2024;3496.0
Česko;Zahájené byty;01-12 2023;35704.0
Česko;Zahájené byty;01-11 2023;32534.0
Česko;Zahájené byty;01-10 2023;30317.0
Česko;Zahájené byty;01-09 2023;27305.0
Česko;Zahájené byty;01-08 2023;24177.0
Česko;Zahájené byty;01-07 2023;21075.0
Česko;Zahájené byty;01-06 2023;18107.0
Česko;Zahájené byty;01-05 2023;15633.0
Česko;Zahájené byty;01-04 2023;12188.0
Česko;Zahájené byty;01-03 2023;9498.0
Česko;Zahájené byty;01-02 2023;6216.0
Česko;Zahájené byty;01 2023;2693.0
Česko;Zahájené byty;01-12 2022;42242.0
Česko;Zahájené byty;01-11 2022;38451.0
Česko;Zahájené byty;01-10 2022;34712.0
Česko;Zahájené byty;01-09 2022;31974.0
Česko;Zahájené byty;01-08 2022;29464.0
Česko;Zahájené byty;01-07 2022;25429.0
Česko;Zahájené byty;01-06 2022;22697.0
Česko;Zahájené byty;01-05 2022;19676.0
Česko;Zahájené byty;01-04 2022;14371.0
Česko;Zahájené byty;01-03 2022;10812.0
Česko;Zahájené byty;01-02 2022;6629.0
Česko;Zahájené byty;01 2022;2943.0
Česko;Zahájené byty;01-12 2021;44992.0
Česko;Zahájené byty;01-11 2021;40386.0
Česko;Zahájené byty;01-10 2021;37137.0
Česko;Zahájené byty;01-09 2021;33544.0
Česko;Zahájené byty;01-08 2021;29111.0
Česko;Zahájené byty;01-07 2021;24538.0
Česko;Zahájené byty;01-06 2021;20718.0
Česko;Zahájené byty;01-05 2021;16306.0
Česko;Zahájené byty;01-04 2021;12029.0
Česko;Zahájené byty;01-03 2021;8440.0
Česko;Zahájené byty;01-02 2021;5540.0
Česko;Zahájené byty;01 2021;2612.0
Česko;Zahájené byty;01-12 2020;35254.0
Česko;Zahájené byty;01-11 2020;32526.0
Česko;Zahájené byty;01-10 2020;29734.0
Česko;Zahájené byty;01-09 2020;27153.0
Česko;Zahájené byty;01-08 2020;24581.0
Česko;Zahájené byty;01-07 2020;21369.0
Česko;Zahájené byty;01-06 2020;18643.0
Česko;Zahájené byty;01-05 2020;15899.0
Česko;Zahájené byty;01-04 2020;12523.0
Česko;Zahájené byty;01-03 2020;9136.0
Česko;Zahájené byty;01-02 2020;6193.0
Česko;Zahájené byty;01 2020;2965.0
Česko;Zahájené byty;01-12 2019;38677.0
Česko;Zahájené byty;01-11 2019;35134.0
Česko;Zahájené byty;01-10 2019;32525.0
Česko;Zahájené byty;01-09 2019;29137.0
Česko;Zahájené byty;01-08 2019;25487.0
Česko;Zahájené byty;01-07 2019;22189.0
Česko;Zahájené byty;01-06 2019;19101.0
Česko;Zahájené byty;01-05 2019;16251.0
Česko;Zahájené byty;01-04 2019;12901.0
Česko;Zahájené byty;01-03 2019;9566.0
Česko;Zahájené byty;01-02 2019;5342.0
Česko;Zahájené byty;01 2019;2797.0
Česko;Zahájené byty;01-12 2018;33121.0
Česko;Zahájené byty;01-11 2018;30484.0
Česko;Zahájené byty;01-10 2018;27522.0
Česko;Zahájené byty;01-09 2018;24742.0
Česko;Zahájené byty;01-08 2018;22236.0
Česko;Zahájené byty;01-07 2018;19041.0
Česko;Zahájené byty;01-06 2018;16556.0
Česko;Zahájené byty;01-05 2018;13924.0
Česko;Zahájené byty;01-04 2018;10108.0
Česko;Zahájené byty;01-03 2018;7618.0
Česko;Zahájené byty;01-02 2018;5017.0
Česko;Zahájené byty;01 2018;2426.0
Česko;Zahájené byty;01-12 2017;31521.0
Česko;Zahájené byty;01-11 2017;28762.0
Česko;Zahájené byty;01-10 2017;26168.0
Česko;Zahájené byty;01-09 2017;23339.0
Česko;Zahájené byty;01-08 2017;20919.0
Česko;Zahájené byty;01-07 2017;17635.0
Česko;Zahájené byty;01-06 2017;15023.0
Česko;Zahájené byty;01-05 2017;12406.0
Česko;Zahájené byty;01-04 2017;9153.0
Česko;Zahájené byty;01-03 2017;6525.0
Česko;Zahájené byty;01-02 2017;3970.0
Česko;Zahájené byty;01 2017;1971.0
Česko;Zahájené byty;01-12 2016;27224.0
Česko;Zahájené byty;01-11 2016;24307.0
Česko;Zahájené byty;01-10 2016;21630.0
Česko;Zahájené byty;01-09 2016;19458.0
Česko;Zahájené byty;01-08 2016;16937.0
Česko;Zahájené byty;01-07 2016;14393.0
Česko;Zahájené byty;01-06 2016;12483.0
Česko;Zahájené byty;01-05 2016;10410.0
Česko;Zahájené byty;01-04 2016;7778.0
Česko;Zahájené byty;01-03 2016;5164.0
Česko;Zahájené byty;01-02 2016;3497.0
Česko;Zahájené byty;01 2016;1881.0
Česko;Zahájené byty;01-12 2015;26378.0
Česko;Zahájené byty;01-11 2015;23946.0
Česko;Zahájené byty;01-10 2015;21945.0
Česko;Zahájené byty;01-09 2015;19675.0
Česko;Zahájené byty;01-08 2015;17595.0
Česko;Zahájené byty;01-07 2015;15179.0
Česko;Zahájené byty;01-06 2015;12930.0
Česko;Zahájené byty;01-05 2015;9580.0
Česko;Zahájené byty;01-04 2015;7760.0
Česko;Zahájené byty;01-03 2015;5057.0
Česko;Zahájené byty;01-02 2015;3055.0
Česko;Zahájené byty;01 2015;1383.0
Česko;Zahájené byty;01-12 2014;24351.0
Česko;Zahájené byty;01-11 2014;22447.0
Česko;Zahájené byty;01-10 2014;20480.0
Česko;Zahájené byty;01-09 2014;18549.0
Česko;Zahájené byty;01-08 2014;16592.0
Česko;Zahájené byty;01-07 2014;14761.0
Česko;Zahájené byty;01-06 2014;12132.0
Česko;Zahájené byty;01-05 2014;9698.0
Česko;Zahájené byty;01-04 2014;7249.0
Česko;Zahájené byty;01-03 2014;5449.0
Česko;Zahájené byty;01-02 2014;3290.0
Česko;Zahájené byty;01 2014;1978.0
Česko;Zahájené byty;01-12 2013;22108.0
Česko;Zahájené byty;01-11 2013;20385.0
Česko;Zahájené byty;01-10 2013;18472.0
Česko;Zahájené byty;01-09 2013;16939.0
Česko;Zahájené byty;01-08 2013;15114.0
Česko;Zahájené byty;01-07 2013;13104.0
Česko;Zahájené byty;01-06 2013;10964.0
Česko;Zahájené byty;01-05 2013;9285.0
Česko;Zahájené byty;01-04 2013;7405.0
Česko;Zahájené byty;01-03 2013;5197.0
Česko;Zahájené byty;01-02 2013;2969.0
Česko;Zahájené byty;01 2013;1492.0
Česko;Zahájené byty;01-12 2012;23853.0
Česko;Zahájené byty;01-11 2012;22043.0
Česko;Zahájené byty;01-10 2012;20594.0
Česko;Zahájené byty;01-09 2012;18257.0
Česko;Zahájené byty;01-08 2012;16400.0
Česko;Zahájené byty;01-07 2012;14448.0
Česko;Zahájené byty;01-06 2012;12547.0
Česko;Zahájené byty;01-05 2012;10613.0
Česko;Zahájené byty;01-04 2012;8408.0
Česko;Zahájené byty;01-03 2012;6545.0
Česko;Zahájené byty;01-02 2012;4291.0
Česko;Zahájené byty;01 2012;2446.0
Česko;Zahájené byty;01-12 2011;27535.0
Česko;Zahájené byty;01-11 2011;25627.0
Česko;Zahájené byty;01-10 2011;23868.0
Česko;Zahájené byty;01-09 2011;21416.0
Česko;Zahájené byty;01-08 2011;18922.0
Česko;Zahájené byty;01-07 2011;16602.0
Česko;Zahájené byty;01-06 2011;14312.0
Česko;Zahájené byty;01-05 2011;11970.0
Česko;Zahájené byty;01-04 2011;8985.0
Česko;Zahájené byty;01-03 2011;6719.0
Česko;Zahájené byty;01-02 2011;4315.0
Česko;Zahájené byty;01 2011;2220.0
Česko;Zahájené byty;01-12 2010;28135.0
Česko;Zahájené byty;01-11 2010;25963.0
Česko;Zahájené byty;01-10 2010;23990.0
Česko;Zahájené byty;01-09 2010;21967.0
Česko;Zahájené byty;01-08 2010;19531.0
Česko;Zahájené byty;01-07 2010;16737.0
Česko;Zahájené byty;01-06 2010;14296.0
Česko;Zahájené byty;01-05 2010;11848.0
Česko;Zahájené byty;01-04 2010;9043.0
Česko;Zahájené byty;01-03 2010;6272.0
Česko;Zahájené byty;01-02 2010;3904.0
Česko;Zahájené byty;01 2010;2075.0
Česko;Zahájené byty;01-12 2009;37319.0
Česko;Zahájené byty;01-11 2009;35129.0
Česko;Zahájené byty;01-10 2009;32403.0
Česko;Zahájené byty;01-09 2009;29691.0
Česko;Zahájené byty;01-08 2009;25840.0
Česko;Zahájené byty;01-07 2009;22607.0
Česko;Zahájené byty;01-06 2009;18457.0
Česko;Zahájené byty;01-05 2009;14866.0
Česko;Zahájené byty;01-04 2009;11448.0
Česko;Zahájené byty;01-03 2009;8721.0
Česko;Zahájené byty;01-02 2009;5631.0
Česko;Zahájené byty;01 2009;2894.0
Česko;Zahájené byty;01-12 2008;43531.0
Česko;Zahájené byty;01-11 2008;40747.0
Česko;Zahájené byty;01-10 2008;37607.0
Česko;Zahájené byty;01-09 2008;33845.0
Česko;Zahájené byty;01-08 2008;29773.0
Česko;Zahájené byty;01-07 2008;26048.0
Česko;Zahájené byty;01-06 2008;21931.0
Česko;Zahájené byty;01-05 2008;17418.0
Česko;Zahájené byty;01-04 2008;13141.0
Česko;Zahájené byty;01-03 2008;9570.0
Česko;Zahájené byty;01-02 2008;6745.0
Česko;Zahájené byty;01 2008;3381.0
Česko;Zahájené byty;01-12 2007;43796.0
Česko;Zahájené byty;01-11 2007;39802.0
Česko;Zahájené byty;01-10 2007;36929.0
Česko;Zahájené byty;01-09 2007;31818.0
Česko;Zahájené byty;01-08 2007;27837.0
Česko;Zahájené byty;01-07 2007;22721.0
Česko;Zahájené byty;01-06 2007;19238.0
Česko;Zahájené byty;01-05 2007;15869.0
Česko;Zahájené byty;01-04 2007;12334.0
Česko;Zahájené byty;01-03 2007;9165.0
Česko;Zahájené byty;01-02 2007;5556.0
Česko;Zahájené byty;01 2007;2587.0
Česko;Zahájené byty;01-12 2006;43747.0
Česko;Zahájené byty;01-11 2006;39419.0
Česko;Zahájené byty;01-10 2006;35772.0
Česko;Zahájené byty;01-09 2006;31905.0
Česko;Zahájené byty;01-08 2006;27597.0
Česko;Zahájené byty;01-07 2006;23327.0
Česko;Zahájené byty;01-06 2006;20206.0
Česko;Zahájené byty;01-05 2006;16503.0
Česko;Zahájené byty;01-04 2006;12646.0
Česko;Zahájené byty;01-03 2006;9117.0
Česko;Zahájené byty;01-02 2006;6348.0
Česko;Zahájené byty;01 2006;2887.0
Česko;Zahájené byty;01-12 2005;40381.0
Česko;Zahájené byty;01-11 2005;
Česko;Zahájené byty;01-10 2005;
Česko;Zahájené byty;01-09 2005;29967.0
Česko;Zahájené byty;01-08 2005;
Česko;Zahájené byty;01-07 2005;
Česko;Zahájené byty;01-06 2005;17687.0
Česko;Zahájené byty;01-05 2005;
Česko;Zahájené byty;01-04 2005;
Česko;Zahájené byty;01-03 2005;8645.0
Česko;Zahájené byty;01-02 2005;
Česko;Zahájené byty;01 2005;
Česko;Zahájené byty;01-12 2004;39037.0
Česko;Zahájené byty;01-11 2004;
Česko;Zahájené byty;01-10 2004;
Česko;Zahájené byty;01-09 2004;29089.0
Česko;Zahájené byty;01-08 2004;
Česko;Zahájené byty;01-07 2004;
Česko;Zahájené byty;01-06 2004;19364.0
Česko;Zahájené byty;01-05 2004;
Česko;Zahájené byty;01-04 2004;
Česko;Zahájené byty;01-03 2004;8145.0
Česko;Zahájené byty;01-02 2004;
Česko;Zahájené byty;01 2004;
Česko;Zahájené byty;01-12 2003;36496.0
Česko;Zahájené byty;01-11 2003;
Česko;Zahájené byty;01-10 2003;
Česko;Zahájené byty;01-09 2003;27199.0
Česko;Zahájené byty;01-08 2003;
Česko;Zahájené byty;01-07 2003;
Česko;Zahájené byty;01-06 2003;16892.0
Česko;Zahájené byty;01-05 2003;
Česko;Zahájené byty;01-04 2003;
Česko;Zahájené byty;01-03 2003;8275.0
Česko;Zahájené byty;01-02 2003;
Česko;Zahájené byty;01 2003;
Česko;Zahájené byty;01-12 2002;33606.0
Česko;Zahájené byty;01-11 2002;
Česko;Zahájené byty;01-10 2002;
Česko;Zahájené byty;01-09 2002;24791.0
Česko;Zahájené byty;01-08 2002;
Česko;Zahájené byty;01-07 2002;
Česko;Zahájené byty;01-06 2002;15949.0
Česko;Zahájené byty;01-05 2002;
Česko;Zahájené byty;01-04 2002;
Česko;Zahájené byty;01-03 2002;7822.0
Česko;Zahájené byty;01-02 2002;
Česko;Zahájené byty;01 2002;
Česko;Zahájené byty;01-12 2001;28983.0
Česko;Zahájené byty;01-11 2001;
Česko;Zahájené byty;01-10 2001;
Česko;Zahájené byty;01-09 2001;21581.0
Česko;Zahájené byty;01-08 2001;
Česko;Zahájené byty;01-07 2001;
Česko;Zahájené byty;01-06 2001;14184.0
Česko;Zahájené byty;01-05 2001;
Česko;Zahájené byty;01-04 2001;
Česko;Zahájené byty;01-03 2001;5788.0
Česko;Zahájené byty;01-02 2001;
Česko;Zahájené byty;01 2001;
Česko;Zahájené byty;01-12 2000;32377.0
Česko;Zahájené byty;01-11 2000;
Česko;Zahájené byty;01-10 2000;
Česko;Zahájené byty;01-09 2000;22990.0
Česko;Zahájené byty;01-08 2000;
Česko;Zahájené byty;01-07 2000;
Česko;Zahájené byty;01-06 2000;13910.0
Česko;Zahájené byty;01-05 2000;
Česko;Zahájené byty;01-04 2000;
Česko;Zahájené byty;01-03 2000;6651.0
Česko;Zahájené byty;01-02 2000;
Česko;Zahájené byty;01 2000;
Česko;Zahájené byty;01-12 1999;32900.0
Česko;Zahájené byty;01-11 1999;
Česko;Zahájené byty;01-10 1999;
Česko;Zahájené byty;01-09 1999;25458.0
Česko;Zahájené byty;01-08 1999;
Česko;Zahájené byty;01-07 1999;
Česko;Zahájené byty;01-06 1999;16591.0
Česko;Zahájené byty;01-05 1999;
Česko;Zahájené byty;01-04 1999;
Česko;Zahájené byty;01-03 1999;6447.0
Česko;Zahájené byty;01-02 1999;
Česko;Zahájené byty;01 1999;
Česko;Zahájené byty;01-12 1998;35027.0
Česko;Zahájené byty;01-11 1998;
Česko;Zahájené byty;01-10 1998;
Česko;Zahájené byty;01-09 1998;27237.0
Česko;Zahájené byty;01-08 1998;
Česko;Zahájené byty;01-07 1998;
Česko;Zahájené byty;01-06 1998;17703.0
Česko;Zahájené byty;01-05 1998;
Česko;Zahájené byty;01-04 1998;
Česko;Zahájené byty;01-03 1998;7760.0
Česko;Zahájené byty;01-02 1998;
Česko;Zahájené byty;01 1998;
Česko;Zahájené byty;01-12 1997;33152.0
Česko;Zahájené byty;01-11 1997;
Česko;Zahájené byty;01-10 1997;
Česko;Zahájené byty;01-09 1997;
Česko;Zahájené byty;01-08 1997;
Česko;Zahájené byty;01-07 1997;
Česko;Zahájené byty;01-06 1997;
Česko;Zahájené byty;01-05 1997;
Česko;Zahájené byty;01-04 1997;
Česko;Zahájené byty;01-03 1997;
Česko;Zahájené byty;01-02 1997;
Česko;Zahájené byty;01 1997;
Česko;Zahájené byty;01-12 1996;22680.0
Česko;Zahájené byty;01-11 1996;
Česko;Zahájené byty;01-10 1996;
Česko;Zahájené byty;01-09 1996;
Česko;Zahájené byty;01-08 1996;
Česko;Zahájené byty;01-07 1996;
Česko;Zahájené byty;01-06 1996;
Česko;Zahájené byty;01-05 1996;
Česko;Zahájené byty;01-04 1996;
Česko;Zahájené byty;01-03 1996;
Česko;Zahájené byty;01-02 1996;
Česko;Zahájené byty;01 1996;
Česko;Zahájené byty;01-12 1995;16548.0
Česko;Zahájené byty;01-11 1995;
Česko;Zahájené byty;01-10 1995;
Česko;Zahájené byty;01-09 1995;
Česko;Zahájené byty;01-08 1995;
Česko;Zahájené byty;01-07 1995;
Česko;Zahájené byty;01-06 1995;
Česko;Zahájené byty;01-05 1995;
Česko;Zahájené byty;01-04 1995;
Česko;Zahájené byty;01-03 1995;
Česko;Zahájené byty;01-02 1995;
Česko;Zahájené byty;01 1995;
Česko;Zahájené byty;01-12 1994;10964.0
Česko;Zahájené byty;01-11 1994;
Česko;Zahájené byty;01-10 1994;
Česko;Zahájené byty;01-09 1994;
Česko;Zahájené byty;01-08 1994;
Česko;Zahájené byty;01-07 1994;
Česko;Zahájené byty;01-06 1994;
Česko;Zahájené byty;01-05 1994;
Česko;Zahájené byty;01-04 1994;
Česko;Zahájené byty;01-03 1994;
Česko;Zahájené byty;01-02 1994;
Česko;Zahájené byty;01 1994;
Česko;Zahájené byty;01-12 1993;7454.0
Česko;Zahájené byty;01-11 1993;
Česko;Zahájené byty;01-10 1993;
Česko;Zahájené byty;01-09 1993;
Česko;Zahájené byty;01-08 1993;
Česko;Zahájené byty;01-07 1993;
Česko;Zahájené byty;01-06 1993;
Česko;Zahájené byty;01-05 1993;
Česko;Zahájené byty;01-04 1993;
Česko;Zahájené byty;01-03 1993;
Česko;Zahájené byty;01-02 1993;
Česko;Zahájené byty;01 1993;
Česko;Zahájené byty;01-12 1992;8429.0
Česko;Zahájené byty;01-11 1992;
Česko;Zahájené byty;01-10 1992;
Česko;Zahájené byty;01-09 1992;
Česko;Zahájené byty;01-08 1992;
Česko;Zahájené byty;01-07 1992;
Česko;Zahájené byty;01-06 1992;
Česko;Zahájené byty;01-05 1992;
Česko;Zahájené byty;01-04 1992;
Česko;Zahájené byty;01-03 1992;
Česko;Zahájené byty;01-02 1992;
Česko;Zahájené byty;01 1992;
Česko;Zahájené byty;01-12 1991;10899.0
Česko;Zahájené byty;01-11 1991;
Česko;Zahájené byty;01-10 1991;
Česko;Zahájené byty;01-09 1991;
Česko;Zahájené byty;01-08 1991;
Česko;Zahájené byty;01-07 1991;
Česko;Zahájené byty;01-06 1991;
Česko;Zahájené byty;01-05 1991;
Česko;Zahájené byty;01-04 1991;
Česko;Zahájené byty;01-03 1991;
Česko;Zahájené byty;01-02 1991;
Česko;Zahájené byty;01 1991;
Česko;Zahájené byty;01-12 1990;61004.0
Česko;Zahájené byty - nová výstavba;01-03 2025;6884.0
Česko;Zahájené byty - nová výstavba;01-02 2025;4182.0
Česko;Zahájené byty - nová výstavba;01 2025;2154.0
Česko;Zahájené byty - nová výstavba;01-12 2024;31156.0
Česko;Zahájené byty - nová výstavba;01-11 2024;28588.0
Česko;Zahájené byty - nová výstavba;01-10 2024;25368.0
Česko;Zahájené byty - nová výstavba;01-09 2024;23330.0
Česko;Zahájené byty - nová výstavba;01-08 2024;19393.0
Česko;Zahájené byty - nová výstavba;01-07 2024;17178.0
Česko;Zahájené byty - nová výstavba;01-06 2024;14738.0
Česko;Zahájené byty - nová výstavba;01-05 2024;12488.0
Česko;Zahájené byty - nová výstavba;01-04 2024;10156.0
Česko;Zahájené byty - nová výstavba;01-03 2024;6955.0
Česko;Zahájené byty - nová výstavba;01-02 2024;4613.0
Česko;Zahájené byty - nová výstavba;01 2024;3145.0
Česko;Zahájené byty - nová výstavba;01-12 2023;28843.0
Česko;Zahájené byty - nová výstavba;01-11 2023;26042.0
Česko;Zahájené byty - nová výstavba;01-10 2023;24331.0
Česko;Zahájené byty - nová výstavba;01-09 2023;22013.0
Česko;Zahájené byty - nová výstavba;01-08 2023;19401.0
Česko;Zahájené byty - nová výstavba;01-07 2023;16727.0
Česko;Zahájené byty - nová výstavba;01-06 2023;14174.0
Česko;Zahájené byty - nová výstavba;01-05 2023;12172.0
Česko;Zahájené byty - nová výstavba;01-04 2023;9386.0
Česko;Zahájené byty - nová výstavba;01-03 2023;7202.0
Česko;Zahájené byty - nová výstavba;01-02 2023;4796.0
Česko;Zahájené byty - nová výstavba;01 2023;2076.0
Česko;Zahájené byty - nová výstavba;01-12 2022;36149.0
Česko;Zahájené byty - nová výstavba;01-11 2022;32868.0
Česko;Zahájené byty - nová výstavba;01-10 2022;29605.0
Česko;Zahájené byty - nová výstavba;01-09 2022;27364.0
Česko;Zahájené byty - nová výstavba;01-08 2022;25316.0
Česko;Zahájené byty - nová výstavba;01-07 2022;21708.0
Česko;Zahájené byty - nová výstavba;01-06 2022;19473.0
Česko;Zahájené byty - nová výstavba;01-05 2022;16883.0
Česko;Zahájené byty - nová výstavba;01-04 2022;12204.0
Česko;Zahájené byty - nová výstavba;01-03 2022;9116.0
Česko;Zahájené byty - nová výstavba;01-02 2022;5550.0
Česko;Zahájené byty - nová výstavba;01 2022;2388.0
Česko;Zahájené byty - nová výstavba;01-12 2021;38906.0
Česko;Zahájené byty - nová výstavba;01-11 2021;35036.0
Česko;Zahájené byty - nová výstavba;01-10 2021;32340.0
Česko;Zahájené byty - nová výstavba;01-09 2021;29086.0
Česko;Zahájené byty - nová výstavba;01-08 2021;25106.0
Česko;Zahájené byty - nová výstavba;01-07 2021;21154.0
Česko;Zahájené byty - nová výstavba;01-06 2021;17741.0
Česko;Zahájené byty - nová výstavba;01-05 2021;13856.0
Česko;Zahájené byty - nová výstavba;01-04 2021;10176.0
Česko;Zahájené byty - nová výstavba;01-03 2021;7136.0
Česko;Zahájené byty - nová výstavba;01-02 2021;4605.0
Česko;Zahájené byty - nová výstavba;01 2021;2188.0
Česko;Zahájené byty - nová výstavba;01-12 2020;29288.0
Česko;Zahájené byty - nová výstavba;01-11 2020;27342.0
Česko;Zahájené byty - nová výstavba;01-10 2020;24963.0
Česko;Zahájené byty - nová výstavba;01-09 2020;22722.0
Česko;Zahájené byty - nová výstavba;01-08 2020;20617.0
Česko;Zahájené byty - nová výstavba;01-07 2020;18200.0
Česko;Zahájené byty - nová výstavba;01-06 2020;15956.0
Česko;Zahájené byty - nová výstavba;01-05 2020;13652.0
Česko;Zahájené byty - nová výstavba;01-04 2020;10858.0
Česko;Zahájené byty - nová výstavba;01-03 2020;7857.0
Česko;Zahájené byty - nová výstavba;01-02 2020;5310.0
Česko;Zahájené byty - nová výstavba;01 2020;2463.0
Česko;Zahájené byty - nová výstavba;01-12 2019;32924.0
Česko;Zahájené byty - nová výstavba;01-11 2019;29785.0
Česko;Zahájené byty - nová výstavba;01-10 2019;27698.0
Česko;Zahájené byty - nová výstavba;01-09 2019;24665.0
Česko;Zahájené byty - nová výstavba;01-08 2019;21376.0
Česko;Zahájené byty - nová výstavba;01-07 2019;18606.0
Česko;Zahájené byty - nová výstavba;01-06 2019;15997.0
Česko;Zahájené byty - nová výstavba;01-05 2019;13640.0
Česko;Zahájené byty - nová výstavba;01-04 2019;10803.0
Česko;Zahájené byty - nová výstavba;01-03 2019;7975.0
Česko;Zahájené byty - nová výstavba;01-02 2019;4206.0
Česko;Zahájené byty - nová výstavba;01 2019;2163.0
Česko;Zahájené byty - nová výstavba;01-12 2018;27594.0
Česko;Zahájené byty - nová výstavba;01-11 2018;25395.0
Česko;Zahájené byty - nová výstavba;01-10 2018;22846.0
Česko;Zahájené byty - nová výstavba;01-09 2018;20460.0
Česko;Zahájené byty - nová výstavba;01-08 2018;18375.0
Česko;Zahájené byty - nová výstavba;01-07 2018;15692.0
Česko;Zahájené byty - nová výstavba;01-06 2018;13667.0
Česko;Zahájené byty - nová výstavba;01-05 2018;11412.0
Česko;Zahájené byty - nová výstavba;01-04 2018;8038.0
Česko;Zahájené byty - nová výstavba;01-03 2018;5956.0
Česko;Zahájené byty - nová výstavba;01-02 2018;3694.0
Česko;Zahájené byty - nová výstavba;01 2018;1872.0
Česko;Zahájené byty - nová výstavba;01-12 2017;26631.0
Česko;Zahájené byty - nová výstavba;01-11 2017;24387.0
Česko;Zahájené byty - nová výstavba;01-10 2017;22192.0
Česko;Zahájené byty - nová výstavba;01-09 2017;19737.0
Česko;Zahájené byty - nová výstavba;01-08 2017;17705.0
Česko;Zahájené byty - nová výstavba;01-07 2017;14852.0
Česko;Zahájené byty - nová výstavba;01-06 2017;12615.0
Česko;Zahájené byty - nová výstavba;01-05 2017;10503.0
Česko;Zahájené byty - nová výstavba;01-04 2017;7631.0
Česko;Zahájené byty - nová výstavba;01-03 2017;5378.0
Česko;Zahájené byty - nová výstavba;01-02 2017;3292.0
Česko;Zahájené byty - nová výstavba;01 2017;1583.0
Česko;Zahájené byty - nová výstavba;01-12 2016;22441.0
Česko;Zahájené byty - nová výstavba;01-11 2016;19977.0
Česko;Zahájené byty - nová výstavba;01-10 2016;17727.0
Česko;Zahájené byty - nová výstavba;01-09 2016;15952.0
Česko;Zahájené byty - nová výstavba;01-08 2016;13961.0
Česko;Zahájené byty - nová výstavba;01-07 2016;11856.0
Česko;Zahájené byty - nová výstavba;01-06 2016;10233.0
Česko;Zahájené byty - nová výstavba;01-05 2016;8496.0
Česko;Zahájené byty - nová výstavba;01-04 2016;6432.0
Česko;Zahájené byty - nová výstavba;01-03 2016;4120.0
Česko;Zahájené byty - nová výstavba;01-02 2016;2751.0
Česko;Zahájené byty - nová výstavba;01 2016;1468.0
Česko;Zahájené byty - nová výstavba;01-12 2015;21121.0
Česko;Zahájené byty - nová výstavba;01-11 2015;19081.0
Česko;Zahájené byty - nová výstavba;01-10 2015;17430.0
Česko;Zahájené byty - nová výstavba;01-09 2015;15772.0
Česko;Zahájené byty - nová výstavba;01-08 2015;14030.0
Česko;Zahájené byty - nová výstavba;01-07 2015;12086.0
Česko;Zahájené byty - nová výstavba;01-06 2015;10290.0
Česko;Zahájené byty - nová výstavba;01-05 2015;7507.0
Česko;Zahájené byty - nová výstavba;01-04 2015;6086.0
Česko;Zahájené byty - nová výstavba;01-03 2015;3805.0
Česko;Zahájené byty - nová výstavba;01-02 2015;2373.0
Česko;Zahájené byty - nová výstavba;01 2015;1148.0
Česko;Zahájené byty - nová výstavba;01-12 2014;20222.0
Česko;Zahájené byty - nová výstavba;01-11 2014;18662.0
Česko;Zahájené byty - nová výstavba;01-10 2014;17006.0
Česko;Zahájené byty - nová výstavba;01-09 2014;15369.0
Česko;Zahájené byty - nová výstavba;01-08 2014;13755.0
Česko;Zahájené byty - nová výstavba;01-07 2014;12247.0
Česko;Zahájené byty - nová výstavba;01-06 2014;9983.0
Česko;Zahájené byty - nová výstavba;01-05 2014;7844.0
Česko;Zahájené byty - nová výstavba;01-04 2014;5727.0
Česko;Zahájené byty - nová výstavba;01-03 2014;4204.0
Česko;Zahájené byty - nová výstavba;01-02 2014;2530.0
Česko;Zahájené byty - nová výstavba;01 2014;1622.0
Česko;Zahájené byty - nová výstavba;01-12 2013;18188.0
Česko;Zahájené byty - nová výstavba;01-11 2013;16746.0
Česko;Zahájené byty - nová výstavba;01-10 2013;15094.0
Česko;Zahájené byty - nová výstavba;01-09 2013;13843.0
Česko;Zahájené byty - nová výstavba;01-08 2013;12302.0
Česko;Zahájené byty - nová výstavba;01-07 2013;10722.0
Česko;Zahájené byty - nová výstavba;01-06 2013;8870.0
Česko;Zahájené byty - nová výstavba;01-05 2013;7535.0
Česko;Zahájené byty - nová výstavba;01-04 2013;5922.0
Česko;Zahájené byty - nová výstavba;01-03 2013;4089.0
Česko;Zahájené byty - nová výstavba;01-02 2013;2231.0
Česko;Zahájené byty - nová výstavba;01 2013;1122.0
Česko;Zahájené byty - nová výstavba;01-12 2012;19292.0
Česko;Zahájené byty - nová výstavba;01-11 2012;17937.0
Česko;Zahájené byty - nová výstavba;01-10 2012;16819.0
Česko;Zahájené byty - nová výstavba;01-09 2012;14894.0
Česko;Zahájené byty - nová výstavba;01-08 2012;13441.0
Česko;Zahájené byty - nová výstavba;01-07 2012;11832.0
