Ukazatel,Rok sčítání,Pohlaví,Území,Způsob bydlení,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Bydlící osoby celkem,10520441
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Osoby bydlící v bytech,10104385
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Osoby bydlící v zařízeních,187578
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Osoby bydlící mimo byty a zařízení,228478
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Osoby bez domova,3726
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Bydlící osoby celkem,1300821
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Osoby bydlící v bytech,1261930
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Osoby bydlící v zařízeních,23624
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Osoby bydlící mimo byty a zařízení,15267
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Osoby bez domova,611
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Bydlící osoby celkem,1415243
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Osoby bydlící v bytech,1346510
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Osoby bydlící v zařízeních,25204
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Osoby bydlící mimo byty a zařízení,43529
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Osoby bez domova,220
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Bydlící osoby celkem,631600
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Osoby bydlící v bytech,607511
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Osoby bydlící v zařízeních,10214
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Osoby bydlící mimo byty a zařízení,13875
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Osoby bez domova,203
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Bydlící osoby celkem,581369
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Osoby bydlící v bytech,552931
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Osoby bydlící v zařízeních,11387
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Osoby bydlící mimo byty a zařízení,17051
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Osoby bez domova,67
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Bydlící osoby celkem,278994
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Osoby bydlící v bytech,263589
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Osoby bydlící v zařízeních,6269
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Osoby bydlící mimo byty a zařízení,9136
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Osoby bez domova,109
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Bydlící osoby celkem,788789
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Osoby bydlící v bytech,754677
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Osoby bydlící v zařízeních,14676
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Osoby bydlící mimo byty a zařízení,19436
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Osoby bez domova,309
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Bydlící osoby celkem,435091
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Osoby bydlící v bytech,416993
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Osoby bydlící v zařízeních,8729
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Osoby bydlící mimo byty a zařízení,9369
