Území,Čtvrtletí,Velikostní skupiny podniků,Ukazatel,value
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),117.5677679564
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),886.1738520637
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),29.7579541919
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),103.474708289
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),35899.4283130608
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),5276.013607612
Česko,2. čtvrtletí 2025,1 až 19 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),117.2286913734
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),483.9153376184
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),9.964133342
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.1023542618
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42827.0108191803
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2329.8972842943
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.7532428386
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),520.1555680205
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),12.3532210538
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.4326829381
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39843.1713008816
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2045.6781537454
Česko,2. čtvrtletí 2025,20 až 49 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.4122058989
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),459.3411129489
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),6.8927977134
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.5234442214
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46059.6047159373
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2826.5698847551
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.5379862778
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),488.437029433
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),7.0516652638
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.464869061
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43315.8602179802
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2681.6506473513
Česko,2. čtvrtletí 2025,50 až 99 zaměstnanců,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5994901234
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1009.4104305796
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),7.4925416697
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.7478199314
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),47837.1817063529
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3236.3355687755
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2562201147
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1065.4091750803
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),7.482238036
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.7072547048
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),45322.8217978164
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3083.2454707387
Česko,2. čtvrtletí 2025,50 až 249 zaměstnanců ,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.299423287
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),550.0693176307
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.5997439563
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.1091496208
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),49321.5658865991
Česko,2. čtvrtletí 2025,100 až 249 zaměstnanců,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3594.4264094288
